"","SAMD_1","SAMP_1","SAMD_2","SAMP_2"
"A1CF",1.15513630026442,0.253493690001079,-1.15513630026442,0.254259518929997
"AAAS",7.19007110270606,0,-7.19007110270606,0
"AACS",3.09201645809053,0.00239132779635422,-3.09201645809053,0.00245388846942077
"AADAC",1.83067930736349,0.0709136015532305,-1.83067930736349,0.0710495092223061
"AAK1",-0.217352892814381,0.830298781145507,0.217352892814381,0.82994175385611
"AAMDC",2.99291209802571,0.00326717721928595,-2.99291209802571,0.00328659260058246
"AAMP",5.22969235587535,1.07863229425089e-06,-5.22969235587535,1.07863229425089e-06
"AARS",2.44105109819848,0.0163477510516665,-2.44105109819848,0.0163768741236113
"AASDHPPT",5.3988927926275,1.07863229425089e-06,-5.3988927926275,0
"AASS",-3.95267294595981,0.000122964081544601,3.95267294595981,0.000118649552367598
"AATF",2.19451160594486,0.0304983281199439,-2.19451160594486,0.0304357674468774
"AATK",0.584108144630554,0.563650091683745,-0.584108144630554,0.563688922446338
"ABAT",2.38166353125821,0.0190648258008845,-2.38166353125821,0.0190605112717075
"ABCA1",-7.63158395652711,0,7.63158395652711,0
"ABCA12",1.27447099165866,0.207700355948657,-1.27447099165866,0.208311940459497
"ABCA2",-0.205958266376255,0.83912954373854,0.205958266376255,0.838760651493906
"ABCA3",2.81237260561141,0.00573185201164923,-2.81237260561141,0.00577176140653651
"ABCA4",3.71186997289858,0.000306331571567253,-3.71186997289858,0.000282601661093733
"ABCA5",-0.697333513698152,0.490387228993636,0.697333513698152,0.490757199870564
"ABCA6",-10.5439070773764,0,10.5439070773764,0
"ABCA8",-6.58844122878522,0,6.58844122878522,0
"ABCB1",-5.13216451803489,1.07863229425089e-06,5.13216451803489,1.07863229425089e-06
"ABCB4",-7.10330950291996,0,7.10330950291996,0
"ABCB7",2.36808550300415,0.0197357350879085,-2.36808550300415,0.0197022974867868
"ABCB9",2.99513393349926,0.00324560457340093,-2.99513393349926,0.00327149174846295
"ABCC1",-0.50096063320172,0.6207129759465,0.50096063320172,0.620983712652357
"ABCC10",0.236258906293993,0.815768525509654,-0.236258906293993,0.815511811023622
"ABCC2",-0.485568302297628,0.631759249271923,0.485568302297628,0.631880056088879
"ABCC3",-7.78376462199325,0,7.78376462199325,0
"ABCC4",3.35827202373784,0.00104088016395211,-3.35827202373784,0.000948117786646532
"ABCC5",-5.60329431504505,0,5.60329431504505,0
"ABCC6",-0.11358355239255,0.911184338259088,0.11358355239255,0.910811131485277
"ABCC8",-1.6529094990252,0.102759141408694,1.6529094990252,0.103250997734872
"ABCC9",-9.35519821651316,0,9.35519821651316,0
"ABCD3",1.9920449061827,0.0493409556682127,-1.9920449061827,0.0494466616330493
"ABCE1",0.0994008298028662,0.922054794520548,-0.0994008298028662,0.921941538129652
