"","SAMD_1","SAMP_1","SAMD_2","SAMP_2","SAMD_3","SAMP_3","SAMD_4","SAMP_4"
"A1CF",-0.797913369064628,0.425112717074749,-0.34312848506512,0.734221766799698,-0.425692212785,0.665711357998058,1.33432323298576,0.186189192104412
"AAAS",-7.14469498983395,0,5.06514044617917,2.04940135907669e-05,0.964823123938411,0.3281425951893,2.51097147878745,0.0142185309028152
"AACS",-2.47010613956144,0.0134699600906051,-0.337700545710528,0.738215942185309,1.06467944574238,0.280681695609967,1.6459013531058,0.103533599395966
"AADAC",-1.53091009538082,0.125193614496818,-2.5136653798633,0.0167317441484198,3.53415165765163,0.000513428972063424,0.518990506201043,0.605447093085967
"AAK1",1.64891026655624,0.0986387660446554,-3.34658047094313,0.00217020817603279,0.507876945988298,0.606481501456154,0.10661353850685,0.91545032898285
"AAMDC",-2.68456546155138,0.00722683637148096,0.197180560056002,0.845239995685471,2.72238534627018,0.00646640060403408,-0.230007964091317,0.818899795059864
"AAMP",-4.94211424160244,0,1.27424796358716,0.21051774350124,2.22864327588289,0.0248074641354762,2.12250689416933,0.0369161902707367
"AARS",-2.54264511402085,0.0108887930104627,1.20659039591641,0.235301477726243,2.17674869903782,0.0282353575666055,-0.900976166171731,0.370762593032035
"AASDHPPT",-4.89073195327985,0,1.82805865316813,0.0754621939380865,0.902935340593116,0.360039909394887,2.74623106746739,0.00752130298781145
"AASS",4.82695479260921,1.07863229425089e-06,2.65195348284991,0.0120591090497249,-4.20711250450782,4.853845324129e-05,-1.51989284714558,0.132378384208823
"AATF",-1.93117902757365,0.0528864200194154,1.98591881395624,0.0544029770251321,1.90344067870223,0.0543263941322403,-1.34856887121403,0.18159098263402
"AATK",-0.590357129885184,0.554742746197821,2.73015783663029,0.0100107863229425,-0.0941552281233316,0.923790313881998,-1.58687336898133,0.116441592061266
"ABAT",-2.79682779545826,0.00512458202998598,1.91871957979203,0.0625822457124366,1.60883854117683,0.10323266098587,-0.65593734213032,0.513719124150577
"ABCA1",7.28178401022602,0,-3.48253620993992,0.00152626469636501,0.765490963570486,0.438032574695286,-5.7900937410976,0
"ABCA12",-1.22403605874398,0.220071189731421,-4.32749058642875,0.000142379462841117,1.40112602840409,0.156028475892568,1.78266193739211,0.0783691079710927
"ABCA2",0.339880232049372,0.733678136123395,1.0956440415034,0.280426059756229,-2.7128822783478,0.00665516125552799,1.77326209800176,0.0799126307841657
"ABCA3",-2.58401362909414,0.00967209578254773,-0.128641108579389,0.898610721605005,2.03253674983998,0.0401628734764319,0.780412352292004,0.437725164491425
"ABCA4",-3.68781331237839,0.000227591414086938,-0.260352107934129,0.796642217667997,1.62836542429823,0.0991985762053716,2.06982048968177,0.0417419911552152
"ABCA5",0.464531680627104,0.642137849207205,-1.19093183444527,0.241284651062453,-0.497729138064462,0.613629597670154,0.877723469107473,0.383152842196095
"ABCA6",10.3443803547973,0,-2.88460121461279,0.00687735950814367,-8.4682521929484,0,-0.597067468965603,0.551942616761946
"ABCA8",6.82625856812158,0,-0.726497689849892,0.473370725919534,-12.5724320599404,0,1.4635393859732,0.147419911552152
"ABCB1",4.54322411033465,6.47179376550534e-06,-3.47189998276468,0.00155970229748679,-2.80915875649244,0.00502642649120915,-0.430691539041685,0.668110236220472
"ABCB4",6.79394539759382,0,-0.712367252994403,0.482079603063316,-4.58278174557656,7.55042605975623e-06,-2.23506009328059,0.0282461438895481
"ABCB7",-1.8390405658584,0.065403947794197,-2.11651079829684,0.0409826340200626,1.28521309567823,0.192917700355949,2.08878832420643,0.0399493042821702
"ABCB9",-2.93763247039016,0.00330924387876173,0.0319327901520323,0.974807464135476,2.20368673061835,0.0264901305145076,0.602643174643341,0.548251537051019
"ABCC1",0.149653182977537,0.880968611800237,-1.20150544646777,0.237263509869485,0.0141145612724275,0.988525509653759,0.613170436249647,0.54136015532305
"ABCC10",-1.24569040801186,0.212097939812318,2.03057672138899,0.0494164599288103,1.91253507361628,0.053297378923525,-2.37172900923782,0.0201564016826664
"ABCC2",0.617131927275158,0.537156725272355,-0.807656133501723,0.4251407615144,-1.19174972727842,0.227109265451408,1.29499920718535,0.199301046273325
"ABCC3",6.90768793708793,0,-4.95546792180451,2.9123071944774e-05,-3.39491724047772,0.000789558839391651,0.082903707805196,0.934172149714162
"ABCC4",-3.21539509227065,0.0012781792686873,-0.326854325000804,0.746346672419372,2.43300337489496,0.0144633804336102,0.799928620580008,0.426393053608025
"ABCC5",5.09837721769286,0,2.87679827674054,0.0070283680293388,-2.10881698700809,0.0334731959874879,-4.99639862374322,0
"ABCC6",-0.695568579383972,0.486874123611261,1.3758459640588,0.177226836371481,-2.04184172119103,0.0392384856002589,1.83116276093398,0.0707733793549779
"ABCC8",2.14255911824688,0.031874662927408,0.287434940121156,0.776087800668752,-3.21080386436045,0.00144428864200194,-0.0672707922250386,0.946521410851041
"ABCC9",9.73247327512894,0,-0.772744549464695,0.445483766583972,-2.58675414113519,0.00952000862905835,-6.93510138332091,0
"ABCD3",-1.93196997855592,0.0527990508035811,0.363095594482145,0.719419695825693,-0.0130914379077191,0.989364685578686,1.62226209674295,0.108506094272463
"ABCE1",-0.889365674086957,0.373710495092223,-2.7320158664979,0.00995793334052422,0.828298703631692,0.401322403192752,1.71012508899019,0.0909006579656995
"ABCF1",-1.96475629320844,0.0489655916298134,4.11569367067346,0.000287994822564988,1.62525562055915,0.0998090820839176,-2.08722238090827,0.0400927623773056
"ABCF2",-3.74822419044046,0.000175817063962895,-0.0111878811187576,0.991150900657966,3.28082332703756,0.00115629381943695,0.379582808597459,0.705319814475245
"ABCG2",-0.488547259586593,0.62503937007874,0.621700057614616,0.539374393269334,-2.50160763112464,0.0120299859777802,2.67823297127931,0.0090950275051235
"ABCG4",0.960963868196937,0.336412468989322,0.814256799292289,0.421352604896991,-1.30140659077289,0.187339014130083,-0.228811366614211,0.819800453025564
"ABHD10",-3.02514718611537,0.00246467479236328,3.13264457619285,0.0037601121777586,-0.985282402182092,0.318139359292417,1.80569219723577,0.0747556897853522
"ABHD11",-3.84123211711775,0.000131593139898609,-3.12998446101588,0.00378276345593787,3.63206437782892,0.000358105921691295,3.95833421515216,0.000161794844137633
"ABHD14A",-2.38163411469862,0.0171987919318304,0.932603857943747,0.357404810700032,0.871249948452389,0.377211735519361,0.931462176662938,0.354604681264157
"ABHD17B",-1.21874300302199,0.222000862905835,-0.0354912147760449,0.972020278287132,1.84883106276282,0.061500377521303,-0.653216447283663,0.515424441807788
"ABHD2",4.56488480902364,5.39316147125445e-06,1.00243981629055,0.322857296947471,-4.57093787480048,9.70769064825801e-06,-1.19455566241428,0.235847265667134
"ABHD3",2.63006578626227,0.00846402761298673,-1.2906117845094,0.20474490346241,0.282075116285068,0.774575558192212,-1.54256261213236,0.126799697982958
"ABHD4",2.74322986323627,0.00607162118433826,-0.69772721986561,0.491104519469313,2.06087936957643,0.0375331679430482,-5.01225482141593,0
"ABHD5",0.763933374997635,0.44512566066228,-1.8504109629932,0.072072052637256,0.906141429391034,0.358385287455506,-0.472539678147388,0.638162010570597
"ABHD6",2.91696840115547,0.00350879085319814,-0.551353273604573,0.585722144321001,-3.75091129147645,0.000237299104735196,1.06599256527345,0.289673174414842
"ABHD8",-0.742940320909845,0.457780174738432,4.53773924982092,7.44256283033114e-05,1.76765398424271,0.0735638011002049,-4.27005732974226,5.60888793010463e-05
"ABI1",0.827275640587122,0.408158774673714,-2.62672311113671,0.0128044439650523,1.24171783094733,0.208197605436307,0.218304678004424,0.827987272138928
"ABI2",-3.90382124770264,0.000107863229425089,0.596205535861432,0.556002588717506,2.5072119711543,0.0118455398554633,0.942803005031889,0.348904109589041
"ABI3BP",4.68417751205644,3.23589688275267e-06,1.33911239070136,0.188798403624204,-1.37955740017808,0.162429079926653,-4.45461712275226,2.80444396505231e-05
"ABL1",5.74068024536899,0,4.23249014182805,0.000191996548376658,-5.49265981222344,1.07863229425089e-06,-2.81279629545072,0.00625498867436091
"ABL2",5.98958515326414,0,0.988309592942475,0.329627871858483,-1.90666901273856,0.0539661309459605,-5.51177839091818,0
"ABLIM3",-0.842091076938032,0.39967533167943,-0.846165811742248,0.403541149822026,0.807135216459175,0.413568115629382,0.764473065244811,0.447086614173228
"ABR",8.11702416003707,0,-0.749087911592407,0.459527559055118,-6.42601881972493,0,-0.255735909779049,0.79884802070974
"ABT1",-1.9813656840295,0.0471254449358214,3.77541402138558,0.000721605004853845,-0.715173506261963,0.468547082299644,0.119188485718401,0.905638011002049
"ABTB2",0.370864666912681,0.710567360586776,4.72967006541269,4.42239240642865e-05,-2.8943660115769,0.00389062668536296,-0.628208038686158,0.531486355301478
"ACAA1",-0.902976170023093,0.366402761298673,-3.82566736200238,0.000616977672311509,1.17937041697686,0.231999784273541,3.43671591077121,0.000961061374177543
"ACAA2",0.322092501486365,0.747248409017366,7.28611214694486,2.15726458850178e-06,-0.602553292299447,0.541153057922554,-3.77673806926555,0.00031496062992126
"ACACA",0.0150145131825642,0.987999137094165,0.428698821942494,0.671471254449358,1.19427648900544,0.226138496386582,-1.9583312905381,0.0537299104735196
"ACAD10",-2.0633037316544,0.0387477079063747,-0.0209700909502132,0.983413871211304,-1.28933691363795,0.191529500593248,3.96462632442512,0.00015748031496063
"ACAD8",-2.68133694442997,0.00729910473519577,-0.0940367313018516,0.925723222953295,-0.832330434686145,0.399087477079064,3.66509855360753,0.000490777693884155
"ACADL",2.84560369311102,0.00439003343760112,-0.140881371101776,0.889000107863229,-3.53701099104146,0.000504799913709417,-0.140484257607014,0.888870671987919
"ACADM",-2.9826197045447,0.00286916190270737,-1.50262166691507,0.14150469205048,2.91804221749997,0.00360263186279797,1.00580845125853,0.317576313234818
"ACADS",-1.92750875358105,0.0533211088339985,-2.16045459473943,0.0372991047351958,1.68331876942671,0.0884553985546327,2.0601438280243,0.0426728508251537
