"","V1","V2","V3"
"GSM249881","1","3","1"
"GSM249883","1","1","2"
"GSM249884","1","1","4"
"GSM249885","2","1","4"
"GSM249886","1","1","4"
"GSM249887","2","1","3"
"GSM249888","2","2","3"
"GSM249889","2","1","2"
"GSM249890","2","2","3"
"GSM249891","1","1","4"
"GSM249893","2","1","4"
"GSM249894","1","3","1"
"GSM249895","2","2","3"
"GSM249896","2","2","3"
"GSM249897","2","1","4"
"GSM249898","1","3","2"
"GSM249899","1","1","4"
"GSM249900","1","3","1"
"GSM249902","1","3","1"
"GSM249903","2","1","4"
"GSM249904","1","1","4"
"GSM249905","1","1","4"
"GSM249906","2","1","2"
"GSM249907","2","2","3"
"GSM249909","2","2","3"
"GSM249911","2","2","3"
"GSM249912","1","1","2"
"GSM249913","1","3","4"
"GSM249914","2","2","3"
"GSM249915","2","2","3"
"GSM249916","1","3","1"
"GSM249917","2","2","3"
"GSM249918","1","3","2"
"GSM249919","1","1","1"
"GSM249920","1","3","1"
"GSM249921","1","1","2"
"GSM249922","1","3","1"
"GSM249923","2","2","3"
"GSM249924","1","1","2"
"GSM249925","2","2","3"
"GSM249926","2","1","4"
"GSM249927","2","1","3"
"GSM249928","1","3","1"
"GSM249929","1","3","1"
"GSM249930","1","3","2"
"GSM249931","2","2","3"
"GSM249932","1","1","2"
"GSM249933","2","1","2"
"GSM249934","1","1","2"
"GSM249935","2","2","3"
"GSM249936","1","1","2"
"GSM249937","1","3","1"
"GSM249938","2","1","4"
"GSM249939","1","1","2"
"GSM249940","1","3","1"
"GSM249941","1","3","1"
"GSM249942","1","3","1"
"GSM249943","1","1","2"
"GSM249944","1","1","2"
"GSM249945","2","2","3"
"GSM249947","2","2","3"
"GSM249949","2","1","4"
"GSM249950","2","2","1"
"GSM249951","2","2","3"
"GSM249953","1","3","1"
"GSM249954","1","1","2"
"GSM249955","2","1","2"
"GSM249956","2","2","3"
"GSM249957","2","2","3"
"GSM249958","1","1","4"
"GSM249959","1","3","2"
"GSM249960","2","1","4"
"GSM249961","1","1","2"
"GSM249962","2","1","2"
"GSM249963","2","1","3"
"GSM249964","2","1","3"
"GSM249965","2","1","4"
"GSM249967","1","1","4"
"GSM249968","1","1","4"
"GSM249969","2","2","2"
"GSM249970","1","3","1"
"GSM249971","1","3","2"
"GSM249972","1","3","2"
"GSM249973","1","1","2"
"GSM249975","2","1","4"
"GSM249976","1","3","2"
"GSM249979","2","2","3"
"GSM249980","1","3","1"
"GSM249981","1","1","4"
"GSM249982","2","2","3"
"GSM249983","1","1","2"
"GSM249984","2","1","3"
"GSM249986","1","1","2"
"GSM249987","1","3","2"
"GSM249988","2","2","3"
"GSM249989","2","1","3"
"GSM249990","2","2","3"
"GSM249991","1","3","1"
"GSM249992","2","2","3"
"GSM249993","2","1","4"
"GSM249994","2","1","2"
"GSM249996","1","1","2"
"GSM249997","2","2","3"
"GSM249998","1","1","2"
"GSM249999","1","3","1"
"GSM250000","2","2","3"
"GSM250001","2","2","3"
