"","V1","V2","V3"
"GSM249732","1","3","1"
"GSM249734","2","1","2"
"GSM249735","2","1","3"
"GSM249736","1","3","1"
"GSM249738","1","3","1"
"GSM249739","2","2","1"
"GSM249740","2","2","1"
"GSM249741","2","2","1"
"GSM249742","2","2","1"
"GSM249743","2","2","3"
"GSM249744","1","3","1"
"GSM249745","2","1","3"
"GSM249746","1","1","2"
"GSM249747","2","2","3"
"GSM249748","2","2","3"
"GSM249749","2","1","4"
"GSM249750","2","2","3"
"GSM249751","2","1","3"
"GSM249752","1","3","1"
"GSM249754","1","3","1"
"GSM249755","1","3","1"
"GSM249756","1","3","4"
"GSM249758","1","1","4"
"GSM249759","2","2","3"
"GSM249760","1","1","4"
"GSM249762","2","1","3"
"GSM249763","2","1","2"
"GSM249764","2","2","3"
"GSM249765","2","1","4"
"GSM249766","1","1","2"
"GSM249767","2","1","2"
"GSM249768","2","2","2"
"GSM249769","1","3","1"
"GSM249770","1","1","2"
"GSM249771","2","2","3"
"GSM249773","1","1","2"
"GSM249774","1","3","4"
"GSM249775","1","1","2"
"GSM249776","1","3","2"
"GSM249777","1","3","1"
"GSM249778","1","1","4"
"GSM249780","2","1","3"
"GSM249781","1","1","4"
"GSM249782","2","2","3"
"GSM249783","1","1","2"
"GSM249784","2","2","2"
"GSM249785","1","3","1"
"GSM249786","1","3","2"
"GSM249788","1","1","2"
"GSM249789","1","3","1"
"GSM249791","1","1","2"
"GSM249793","2","1","4"
"GSM249794","1","1","2"
"GSM249795","2","1","3"
"GSM249796","1","3","2"
"GSM249797","2","2","3"
"GSM249798","1","3","1"
"GSM249799","1","3","1"
"GSM249800","1","1","4"
"GSM249801","1","3","4"
"GSM249802","1","1","4"
"GSM249803","2","2","1"
"GSM249804","1","1","4"
"GSM249805","2","1","3"
"GSM249806","2","2","3"
"GSM249807","2","1","4"
"GSM249808","2","1","4"
"GSM249809","2","2","3"
"GSM249810","2","2","3"
"GSM249811","2","1","4"
"GSM249812","1","3","1"
"GSM249813","2","1","4"
"GSM249814","2","2","3"
"GSM249815","2","1","3"
"GSM249816","2","2","1"
"GSM249817","2","2","3"
"GSM249818","2","2","1"
"GSM249819","1","3","4"
"GSM249820","2","1","4"
"GSM249821","2","2","3"
"GSM249822","1","1","4"
"GSM249823","2","2","3"
"GSM249824","1","3","1"
"GSM249825","2","1","4"
"GSM249826","1","3","2"
"GSM249827","1","3","1"
"GSM249828","2","1","4"
"GSM249829","2","2","3"
"GSM249830","1","3","1"
"GSM249831","2","2","3"
"GSM249832","1","1","2"
"GSM249833","1","1","2"
"GSM249834","2","2","1"
"GSM249835","2","1","3"
"GSM249836","2","2","3"
"GSM249837","1","1","4"
"GSM249838","2","2","3"
"GSM249839","1","3","1"
"GSM249840","2","2","3"
"GSM249841","1","3","2"
"GSM249842","2","1","4"
"GSM249843","2","2","3"
"GSM249844","1","1","2"
"GSM249845","2","2","3"
"GSM249846","2","2","3"
"GSM249847","1","1","2"
"GSM249848","2","2","3"
"GSM249849","1","3","1"
"GSM249850","1","3","1"
"GSM249851","1","3","1"
"GSM249852","2","1","4"
"GSM249854","2","2","3"
"GSM249855","1","3","1"
"GSM249857","1","3","1"
"GSM249858","2","2","3"
"GSM249859","2","2","3"
"GSM249860","2","2","3"
"GSM249861","1","1","2"
"GSM249862","2","1","4"
"GSM249863","2","2","3"
"GSM249864","1","3","1"
"GSM249865","2","1","3"
"GSM249866","1","1","2"
"GSM249867","2","2","3"
"GSM249871","2","2","3"
"GSM249872","2","2","3"
"GSM249873","2","2","3"
"GSM249874","2","1","4"
"GSM249875","1","3","1"
"GSM249876","2","2","3"
"GSM249877","2","1","4"
"GSM249878","1","1","2"
"GSM249879","2","2","3"
"GSM249880","1","1","2"
