"","ClusterK2","ClusterK3","ClusterK4"
"GSM249732",1,2,2
"GSM249734",2,3,4
"GSM249735",2,3,1
"GSM249736",1,2,2
"GSM249738",1,2,2
"GSM249739",2,1,2
"GSM249740",2,1,2
"GSM249741",2,1,2
"GSM249742",2,1,2
"GSM249743",2,1,1
"GSM249744",1,2,2
"GSM249745",2,3,1
"GSM249746",1,3,4
"GSM249747",2,1,1
"GSM249748",2,1,1
"GSM249749",2,3,3
"GSM249750",2,1,1
"GSM249751",2,3,1
"GSM249752",1,2,2
"GSM249754",1,2,2
"GSM249755",1,2,2
"GSM249756",1,2,3
"GSM249758",1,3,3
"GSM249759",2,1,1
"GSM249760",1,3,3
"GSM249762",2,3,1
"GSM249763",2,3,4
"GSM249764",2,1,1
"GSM249765",2,3,3
"GSM249766",1,3,4
"GSM249767",2,3,4
"GSM249768",2,1,4
"GSM249769",1,2,2
"GSM249770",1,3,4
"GSM249771",2,1,1
"GSM249773",1,3,4
"GSM249774",1,2,3
"GSM249775",1,3,4
"GSM249776",1,2,4
"GSM249777",1,2,2
"GSM249778",1,3,3
"GSM249780",2,3,1
"GSM249781",1,3,3
"GSM249782",2,1,1
"GSM249783",1,3,4
"GSM249784",2,1,4
"GSM249785",1,2,2
"GSM249786",1,2,4
"GSM249788",1,3,4
"GSM249789",1,2,2
"GSM249791",1,3,4
"GSM249793",2,3,3
"GSM249794",1,3,4
"GSM249795",2,3,1
"GSM249796",1,2,4
"GSM249797",2,1,1
"GSM249798",1,2,2
"GSM249799",1,2,2
"GSM249800",1,3,3
"GSM249801",1,2,3
"GSM249802",1,3,3
"GSM249803",2,1,2
"GSM249804",1,3,3
"GSM249805",2,3,1
"GSM249806",2,1,1
"GSM249807",2,3,3
"GSM249808",2,3,3
"GSM249809",2,1,1
"GSM249810",2,1,1
"GSM249811",2,3,3
"GSM249812",1,2,2
"GSM249813",2,3,3
"GSM249814",2,1,1
"GSM249815",2,3,1
"GSM249816",2,1,2
"GSM249817",2,1,1
"GSM249818",2,1,2
"GSM249819",1,2,3
"GSM249820",2,3,3
"GSM249821",2,1,1
"GSM249822",1,3,3
"GSM249823",2,1,1
"GSM249824",1,2,2
"GSM249825",2,3,3
"GSM249826",1,2,4
"GSM249827",1,2,2
"GSM249828",2,3,3
"GSM249829",2,1,1
"GSM249830",1,2,2
"GSM249831",2,1,1
"GSM249832",1,3,4
"GSM249833",1,3,4
"GSM249834",2,1,2
"GSM249835",2,3,1
"GSM249836",2,1,1
"GSM249837",1,3,3
"GSM249838",2,1,1
"GSM249839",1,2,2
"GSM249840",2,1,1
"GSM249841",1,2,4
"GSM249842",2,3,3
"GSM249843",2,1,1
"GSM249844",1,3,4
"GSM249845",2,1,1
"GSM249846",2,1,1
"GSM249847",1,3,4
"GSM249848",2,1,1
"GSM249849",1,2,2
"GSM249850",1,2,2
"GSM249851",1,2,2
"GSM249852",2,3,3
"GSM249854",2,1,1
"GSM249855",1,2,2
"GSM249857",1,2,2
"GSM249858",2,1,1
"GSM249859",2,1,1
"GSM249860",2,1,1
"GSM249861",1,3,4
"GSM249862",2,3,3
"GSM249863",2,1,1
"GSM249864",1,2,2
"GSM249865",2,3,1
"GSM249866",1,3,4
"GSM249867",2,1,1
"GSM249871",2,1,1
"GSM249872",2,1,1
"GSM249873",2,1,1
"GSM249874",2,3,3
"GSM249875",1,2,2
"GSM249876",2,1,1
"GSM249877",2,3,3
"GSM249878",1,3,4
"GSM249879",2,1,1
"GSM249880",1,3,4
"GSM249881",1,2,2
"GSM249883",1,3,4
"GSM249884",1,3,3
"GSM249885",2,3,3
"GSM249886",1,3,3
"GSM249887",2,3,1
"GSM249888",2,1,1
"GSM249889",2,3,4
