"","ClusterK2","ClusterK3","ClusterK4"
"TCGA.20.0987",2,3,3
"TCGA.23.1031",1,2,4
"TCGA.24.0979",1,3,4
"TCGA.23.1117",2,1,1
"TCGA.23.1021",1,3,4
"TCGA.04.1337",2,1,1
"TCGA.20.0990",1,2,2
"TCGA.23.1032",1,2,2
"TCGA.23.1118",2,3,4
"TCGA.23.1026",2,1,3
"TCGA.20.0991",2,3,3
"TCGA.24.1103",1,3,4
"TCGA.24.0982",1,2,4
"TCGA.23.1119",2,2,2
"TCGA.23.1028",2,3,4
"TCGA.04.1341",1,2,2
"TCGA.20.0996",1,2,4
"TCGA.24.1104",2,3,4
"TCGA.23.1107",1,3,3
"TCGA.23.1120",2,3,4
"TCGA.23.1030",1,2,4
"TCGA.04.1342",2,2,4
"TCGA.23.1022",1,2,2
"TCGA.24.1105",1,2,4
"TCGA.23.1109",1,1,1
"TCGA.23.1121",1,2,2
"TCGA.04.1331",1,2,2
"TCGA.04.1343",2,1,4
"TCGA.23.1023",2,1,1
"TCGA.24.0968",2,1,3
"TCGA.23.1110",1,2,2
"TCGA.23.1122",1,2,2
"TCGA.04.1332",2,1,1
"TCGA.04.1346",2,3,4
"TCGA.23.1024",1,2,2
"TCGA.24.0970",1,1,1
"TCGA.23.1113",1,2,4
"TCGA.23.1123",1,3,3
"TCGA.04.1335",1,3,4
"TCGA.04.1347",1,2,2
"TCGA.23.1027",2,1,4
"TCGA.24.0975",2,1,1
"TCGA.23.1116",2,1,1
"TCGA.23.1124",2,3,4
"TCGA.04.1336",2,3,4
"TCGA.04.1338",2,1,1
"TCGA.24.1425",2,1,1
"TCGA.24.1474",1,3,2
"TCGA.24.1549",2,3,3
"TCGA.24.1564",2,1,1
"TCGA.24.1469",1,2,2
"TCGA.24.1550",2,1,1
"TCGA.24.1565",2,3,4
"TCGA.24.1470",2,3,3
"TCGA.24.1551",2,3,3
"TCGA.24.1603",1,3,3
"TCGA.24.1471",1,3,4
"TCGA.24.1552",2,3,4
"TCGA.24.1604",1,3,4
"TCGA.24.1553",2,3,4
"TCGA.24.1614",1,2,4
"TCGA.04.1514",1,2,2
"TCGA.24.1555",1,3,4
"TCGA.24.1616",1,2,4
"TCGA.04.1530",2,1,1
"TCGA.24.1562",2,1,4
"TCGA.04.1542",1,2,4
"TCGA.24.1563",2,1,1
"TCGA.13.0758",2,3,3
"TCGA.09.0364",1,2,2
"TCGA.13.0723",2,3,3
"TCGA.13.0757",1,2,2
"TCGA.13.0768",2,1,1
"TCGA.13.0800",1,2,2
"TCGA.09.0365",1,2,2
"TCGA.13.0724",1,2,4
"TCGA.13.0791",2,3,3
"TCGA.13.0801",2,3,3
"TCGA.09.0366",2,3,3
"TCGA.13.0725",2,1,3
"TCGA.13.0792",2,3,3
"TCGA.13.0802",1,2,2
"TCGA.09.0367",2,3,4
"TCGA.13.0793",2,1,4
"TCGA.13.0803",2,3,4
"TCGA.09.0369",1,2,2
"TCGA.13.0727",1,2,4
"TCGA.13.0762",1,2,4
"TCGA.13.0794",1,2,2
"TCGA.13.0804",2,3,4
"TCGA.13.0714",2,1,1
"TCGA.13.0730",1,2,2
"TCGA.13.0795",2,3,3
"TCGA.13.0805",2,1,3
"TCGA.13.0717",1,2,2
"TCGA.13.0765",2,3,4
"TCGA.13.0797",2,3,4
"TCGA.13.0720",2,3,4
"TCGA.13.0755",2,3,3
"TCGA.13.0799",1,2,2
"TCGA.13.0766",1,2,2
"TCGA.13.0764",2,3,3
"TCGA.13.0761",2,1,1
"TCGA.25.1312",1,2,2
"TCGA.25.1320",2,1,1
"TCGA.25.1329",2,1,1
"TCGA.04.1361",2,3,4
"TCGA.13.0894",2,1,1
"TCGA.13.1407",1,2,2
"TCGA.25.1313",2,3,4
"TCGA.25.1321",1,3,4
"TCGA.04.1348",2,3,3
"TCGA.04.1362",1,3,4
"TCGA.13.0900",2,1,1
"TCGA.25.1314",2,3,4
"TCGA.25.1322",2,3,3
"TCGA.04.1349",2,3,4
"TCGA.04.1364",1,2,2
"TCGA.13.0901",1,2,2
"TCGA.13.1409",1,2,4
"TCGA.25.1315",1,2,2
"TCGA.25.1323",1,2,2
"TCGA.04.1350",1,2,2
"TCGA.04.1365",2,3,3
"TCGA.13.0905",2,3,4
"TCGA.25.1318",2,1,4
"TCGA.25.1326",2,1,1
"TCGA.04.1357",2,3,3
"TCGA.13.0884",2,3,4
"TCGA.13.1404",2,1,1
"TCGA.24.1413",1,3,4
"TCGA.25.1319",1,3,3
"TCGA.25.1328",2,1,1
"TCGA.04.1360",1,2,2
"TCGA.13.0893",2,3,3
"TCGA.13.1405",2,1,1
"TCGA.25.1316",1,2,2
"TCGA.25.1324",1,2,2
"TCGA.04.1351",1,2,2
"TCGA.04.1367",1,3,4
"TCGA.13.0908",2,1,1
"TCGA.13.1411",2,1,1
"TCGA.25.1317",1,2,4
"TCGA.25.1325",1,3,3
"TCGA.04.1356",1,2,4
"TCGA.04.1371",1,2,2
"TCGA.13.1403",2,3,4
"TCGA.13.1412",2,1,4
"TCGA.13.1408",2,1,1
"TCGA.09.2043",2,3,4
"TCGA.24.2262",2,1,1
"TCGA.25.2393",1,2,2
"TCGA.24.2267",2,3,3
"TCGA.24.2295",1,2,2
"TCGA.25.2396",2,3,3
"TCGA.25.2409",2,1,4
"TCGA.24.2297",1,2,4
"TCGA.25.2397",2,3,4
"TCGA.09.2049",1,2,2
"TCGA.24.2280",2,1,1
"TCGA.25.2398",2,1,1
"TCGA.29.2425",1,2,4
"TCGA.09.2050",1,2,2
"TCGA.25.2042",2,1,1
"TCGA.25.2399",2,1,3
"TCGA.29.2427",2,3,3
"TCGA.59.2355",2,3,4
"TCGA.24.2288",2,1,1
"TCGA.25.2400",1,3,2
"TCGA.59.2363",1,2,2
"TCGA.09.2055",1,3,3
"TCGA.25.2391",2,3,3
"TCGA.25.2401",2,1,1
"TCGA.59.2348",2,3,4
"TCGA.09.2053",1,2,4
"TCGA.23.2084",2,3,3
"TCGA.24.2254",2,1,1
"TCGA.61.2002",2,1,3
"TCGA.61.2087",2,3,3
"TCGA.61.2101",1,1,1
"TCGA.09.2054",1,2,2
"TCGA.24.2019",1,2,2
"TCGA.24.2260",1,2,4
"TCGA.61.2088",1,2,2
"TCGA.61.2009",2,1,1
"TCGA.09.2056",2,3,3
"TCGA.24.2024",2,1,4
"TCGA.24.2261",2,3,3
"TCGA.61.2008",2,1,4
"TCGA.61.2092",1,3,3
"TCGA.61.2104",2,3,4
"TCGA.23.2072",2,3,4
"TCGA.24.2030",1,2,2
"TCGA.61.1734",1,3,4
"TCGA.61.2018",2,3,3
"TCGA.23.2077",2,3,3
"TCGA.24.2033",1,2,1
"TCGA.61.1736",2,3,4
"TCGA.61.2012",2,3,3
"TCGA.61.2095",2,1,1
"TCGA.23.2078",2,1,1
"TCGA.24.2035",2,1,1
"TCGA.61.1995",2,3,4
"TCGA.61.2016",2,3,3
"TCGA.61.2096",1,2,2
"TCGA.61.2000",2,3,3
"TCGA.23.2079",2,3,3
"TCGA.24.2036",1,2,2
"TCGA.61.1998",2,1,1
"TCGA.61.2097",2,1,4
"TCGA.61.2113",2,1,1
"TCGA.23.2081",2,1,4
"TCGA.61.2094",2,3,3
"TCGA.61.2098",1,2,2
"TCGA.61.2109",2,3,4
"TCGA.61.2102",1,2,2
"TCGA.61.2003",2,1,1
"TCGA.61.2111",1,2,2
"TCGA.04.1654",2,3,3
"TCGA.24.2020",1,2,2
"TCGA.25.1878",2,3,3
"TCGA.31.1951",2,1,1
"TCGA.24.2023",2,3,3
"TCGA.30.1853",1,2,4
"TCGA.30.1880",2,3,4
"TCGA.31.1953",2,1,3
"TCGA.61.1724",2,3,4
"TCGA.24.1920",1,3,3
"TCGA.24.2026",2,3,3
"TCGA.30.1859",1,2,4
"TCGA.30.1887",2,1,3
"TCGA.61.1728",1,2,4
"TCGA.24.1923",1,2,4
"TCGA.24.2027",1,2,2
"TCGA.30.1860",2,3,3
"TCGA.30.1891",2,1,1
"TCGA.31.1956",2,1,1
"TCGA.61.1743",1,2,2
"TCGA.24.1924",2,3,3
"TCGA.24.2029",2,1,1
"TCGA.30.1861",2,1,1
"TCGA.30.1892",2,1,1
"TCGA.31.1959",2,1,1
"TCGA.61.1917",2,3,3
"TCGA.25.1870",1,2,4
"TCGA.30.1862",2,1,1
"TCGA.31.1944",2,3,3
"TCGA.57.1992",1,2,2
"TCGA.61.1918",2,3,4
"TCGA.24.1928",2,1,1
"TCGA.25.1871",1,2,2
"TCGA.30.1866",1,3,3
"TCGA.31.1946",2,1,3
"TCGA.57.1993",1,3,3
"TCGA.61.1919",2,1,1
"TCGA.24.1930",2,1,3
"TCGA.25.1877",1,2,2
"TCGA.31.1950",2,3,3
"TCGA.04.1517",1,2,4
"TCGA.24.1556",2,3,3
"TCGA.36.1571",1,2,2
"TCGA.57.1582",1,2,2
"TCGA.25.1628",2,1,1
"TCGA.25.1634",1,2,2
"TCGA.36.1576",2,1,1
"TCGA.24.1557",1,3,4
"TCGA.09.1659",2,3,4
"TCGA.25.1625",2,3,4
"TCGA.09.1661",1,2,4
"TCGA.09.1662",2,3,4
"TCGA.04.1525",1,3,4
"TCGA.24.1558",1,2,2
"TCGA.36.1575",1,2,2
"TCGA.57.1584",2,3,4
"TCGA.25.1631",1,3,4
"TCGA.09.1665",1,3,3
"TCGA.04.1536",2,3,4
"TCGA.36.1578",2,3,3
"TCGA.25.1627",1,2,2
"TCGA.04.1519",1,2,4
"TCGA.25.1630",2,3,3
"TCGA.24.1560",1,3,2
"TCGA.24.1544",1,2,2
"TCGA.24.1567",1,2,2
"TCGA.36.1577",1,2,2
"TCGA.25.1623",2,1,1
"TCGA.25.1633",2,1,1
"TCGA.09.1667",2,3,3
"TCGA.24.1545",2,1,1
"TCGA.36.1568",2,3,4
"TCGA.57.1583",1,2,4
"TCGA.36.1581",2,3,3
"TCGA.09.1666",2,3,3
"TCGA.25.1632",1,2,4
"TCGA.24.1546",2,1,1
"TCGA.36.1569",2,1,1
"TCGA.36.1580",2,1,1
"TCGA.25.1626",2,1,1
"TCGA.25.1635",2,1,1
"TCGA.09.1669",1,2,2
"TCGA.24.1548",1,2,2
"TCGA.36.1570",1,3,4
"TCGA.57.1585",2,1,1
"TCGA.09.1668",2,1,3
"TCGA.36.1574",2,3,3
"TCGA.29.2434",1,2,2
"TCGA.23.2643",1,2,2
"TCGA.29.2436",2,3,3
"TCGA.23.2645",2,3,3
"TCGA.42.2582",1,2,2
"TCGA.13.2059",2,1,1
"TCGA.36.2530",2,1,1
"TCGA.36.2542",1,2,2
"TCGA.42.2587",1,2,2
"TCGA.23.2649",2,1,1
"TCGA.36.2543",2,3,3
"TCGA.59.2372",2,3,3
"TCGA.13.2065",2,1,1
"TCGA.29.2429",2,1,1
"TCGA.36.2533",1,2,2
"TCGA.42.2589",1,3,3
"TCGA.29.2431",1,3,2
"TCGA.36.2534",2,1,4
"TCGA.36.2545",2,3,3
"TCGA.61.2612",2,3,4
"TCGA.23.1114",1,2,2
"TCGA.29.1691",1,2,2
"TCGA.29.1701",2,1,3
"TCGA.30.1718",2,1,3
"TCGA.29.1771",2,3,4
"TCGA.57.1586",1,3,4
"TCGA.20.1683",1,2,2
"TCGA.29.1693",2,1,1
"TCGA.29.1702",1,2,2
"TCGA.29.1761",2,3,3
"TCGA.29.1781",2,3,3
"TCGA.04.1655",1,2,4
"TCGA.20.1684",1,2,2
"TCGA.29.1703",1,3,4
"TCGA.29.1762",1,2,2
"TCGA.29.1783",2,1,4
"TCGA.09.1670",1,3,4
"TCGA.20.1685",1,3,3
"TCGA.29.1695",2,1,1
"TCGA.29.1705",2,1,1
"TCGA.29.1763",1,2,4
"TCGA.29.1784",2,3,3
"TCGA.20.1686",1,3,2
"TCGA.29.1696",1,3,3
"TCGA.29.1707",2,3,3
"TCGA.29.1764",2,1,1
"TCGA.29.1785",2,3,3
"TCGA.09.1673",1,2,2
"TCGA.20.1687",2,3,4
"TCGA.29.1697",1,2,2
"TCGA.29.1710",2,1,1
"TCGA.29.1766",2,1,1
"TCGA.23.1809",1,2,2
"TCGA.09.1674",1,2,2
"TCGA.29.1688",2,3,3
"TCGA.29.1698",2,1,1
"TCGA.29.1711",2,3,3
"TCGA.29.1768",2,1,1
"TCGA.24.1847",2,3,3
"TCGA.09.1675",1,3,4
"TCGA.29.1690",2,1,1
"TCGA.29.1699",2,3,3
"TCGA.30.1714",1,2,2
"TCGA.29.1770",2,1,1
"TCGA.04.1638",1,2,4
"TCGA.30.1856",2,3,3
"TCGA.61.1738",2,3,3
"TCGA.29.1778",1,3,4
"TCGA.24.1849",2,1,1
"TCGA.61.1906",2,3,3
"TCGA.04.1646",1,2,2
"TCGA.30.1857",2,1,1
"TCGA.61.1740",2,3,3
"TCGA.23.1029",1,3,4
"TCGA.24.1850",2,1,2
"TCGA.61.1907",2,3,3
"TCGA.04.1648",1,3,4
"TCGA.61.1722",2,1,3
"TCGA.61.1741",1,2,2
"TCGA.23.1111",1,2,4
"TCGA.61.1895",2,1,3
"TCGA.61.1910",1,3,4
"TCGA.04.1649",1,3,4
"TCGA.61.1725",2,1,3
"TCGA.29.1769",2,1,3
"TCGA.24.1842",2,3,3
"TCGA.61.1899",1,3,4
"TCGA.61.1911",2,3,3
"TCGA.04.1651",1,3,4
"TCGA.61.1727",2,3,3
"TCGA.29.1774",1,2,2
"TCGA.24.1843",2,3,3
"TCGA.61.1900",1,2,2
"TCGA.61.1913",2,3,3
"TCGA.04.1652",1,2,4
