"","V1","V2","V3"
"GSM795049","1","1","4"
"GSM795050","2","1","4"
"GSM795051","2","2","3"
"GSM795052","1","3","4"
"GSM795053","2","2","3"
"GSM795054","1","3","2"
"GSM795055","2","1","4"
"GSM795056","2","2","4"
"GSM795057","2","2","3"
"GSM795058","1","3","4"
"GSM795059","2","2","3"
"GSM795060","2","3","2"
"GSM795061","1","1","4"
"GSM795062","2","2","3"
"GSM795063","2","1","4"
"GSM795064","2","2","3"
"GSM795065","1","3","4"
"GSM795066","2","3","1"
"GSM795067","2","2","3"
"GSM795068","2","2","3"
"GSM795069","2","2","3"
"GSM795070","1","1","1"
"GSM795071","1","3","1"
"GSM795072","1","3","1"
"GSM795073","1","1","4"
"GSM795074","1","1","4"
"GSM795075","1","1","4"
"GSM795076","1","1","4"
"GSM795077","1","1","4"
"GSM795078","2","1","4"
"GSM795079","2","2","3"
"GSM795080","1","1","4"
"GSM795081","2","2","3"
"GSM795082","2","1","4"
"GSM795083","1","3","1"
"GSM795084","2","2","2"
"GSM795085","2","2","3"
"GSM795086","1","1","4"
"GSM795087","1","3","1"
"GSM795088","2","1","4"
"GSM795089","2","3","1"
"GSM795090","2","1","4"
"GSM795091","1","3","4"
"GSM795092","1","1","4"
"GSM795093","2","3","1"
"GSM795094","2","2","4"
"GSM795095","1","1","4"
"GSM795096","1","1","4"
"GSM795097","1","1","4"
"GSM795098","1","3","2"
"GSM795099","1","1","2"
"GSM795100","1","3","2"
"GSM795101","1","3","2"
"GSM795102","2","2","3"
"GSM795103","2","1","4"
"GSM795104","2","2","3"
"GSM795105","2","2","2"
"GSM795106","1","1","2"
"GSM795107","1","1","4"
"GSM795108","1","3","2"
"GSM795109","1","1","4"
"GSM795110","1","1","4"
"GSM795111","1","3","1"
"GSM795112","1","3","1"
"GSM795113","1","3","4"
"GSM795114","1","3","1"
"GSM795115","1","1","4"
"GSM795116","1","1","4"
"GSM795117","1","3","2"
"GSM795118","1","1","4"
"GSM795119","1","1","4"
"GSM795120","1","1","4"
"GSM795121","1","1","4"
"GSM795122","1","3","2"
"GSM795123","1","1","4"
"GSM795124","1","1","4"
