"","V1","V2","V3"
"GSM794865","2","2","3"
"GSM794866","1","1","4"
"GSM794867","1","1","4"
"GSM794868","1","1","4"
"GSM794869","2","2","4"
"GSM794870","2","2","3"
"GSM794871","1","1","4"
"GSM794872","1","3","1"
"GSM794873","2","2","3"
"GSM794874","1","1","4"
"GSM794875","1","1","4"
"GSM794876","2","3","2"
"GSM794877","1","3","2"
"GSM794878","1","1","4"
"GSM794879","1","1","4"
"GSM794880","2","2","3"
"GSM794881","1","1","4"
"GSM794882","2","2","3"
"GSM794883","1","3","4"
"GSM794884","1","3","1"
"GSM794885","1","1","4"
"GSM794886","2","1","4"
"GSM794887","2","2","3"
"GSM794888","1","1","2"
"GSM794889","1","1","4"
"GSM794890","1","1","4"
"GSM794891","1","1","2"
"GSM794892","1","3","2"
"GSM794893","1","1","4"
"GSM794894","2","2","3"
"GSM794895","2","2","3"
"GSM794897","2","2","3"
"GSM794898","1","3","4"
"GSM794899","1","1","4"
"GSM794900","1","1","4"
"GSM794901","1","1","4"
"GSM794902","2","2","3"
"GSM794903","1","1","4"
"GSM794904","1","1","4"
"GSM794905","1","3","1"
"GSM794906","2","2","2"
"GSM794907","2","2","4"
"GSM794908","1","1","4"
"GSM794909","2","2","1"
"GSM794910","1","3","2"
"GSM794911","2","2","3"
"GSM794912","2","3","1"
"GSM794913","2","3","2"
"GSM794914","1","1","4"
"GSM794915","1","3","2"
"GSM794916","1","1","4"
"GSM794917","2","2","1"
"GSM794918","2","2","3"
"GSM794919","2","2","3"
"GSM794920","1","1","4"
"GSM794921","2","2","3"
"GSM794922","1","1","4"
"GSM794923","2","2","3"
"GSM794924","1","1","4"
"GSM794925","2","2","2"
"GSM794926","2","2","2"
"GSM794927","1","1","4"
"GSM794928","1","1","4"
"GSM794929","2","1","4"
"GSM794930","1","1","4"
"GSM794931","2","2","3"
"GSM794932","1","1","4"
"GSM794934","2","2","3"
"GSM794936","2","2","3"
"GSM794937","2","2","3"
"GSM794938","2","2","3"
"GSM794939","1","3","2"
"GSM794940","2","2","3"
"GSM794941","1","1","4"
"GSM794942","2","2","3"
"GSM794944","1","1","4"
"GSM794945","2","3","1"
"GSM794946","2","2","2"
"GSM794947","1","3","1"
"GSM794948","1","3","1"
"GSM794949","1","3","2"
"GSM794950","1","3","1"
"GSM794951","2","2","3"
"GSM794952","2","2","3"
"GSM794953","1","3","4"
"GSM794954","1","3","1"
"GSM794955","1","1","4"
"GSM794956","2","2","3"
"GSM794957","1","1","4"
"GSM794958","1","1","4"
"GSM794959","1","1","4"
"GSM794960","1","1","1"
"GSM794961","2","3","1"
"GSM794962","1","3","4"
"GSM794963","1","1","4"
"GSM794964","1","3","1"
"GSM794965","2","2","3"
"GSM794966","1","3","1"
"GSM794967","2","2","3"
"GSM794968","1","1","4"
"GSM794969","2","3","2"
"GSM794970","1","3","1"
"GSM794971","1","3","2"
"GSM794972","1","3","1"
"GSM794973","1","1","4"
"GSM794974","1","3","2"
"GSM794975","1","3","2"
"GSM794976","1","1","1"
"GSM794977","2","1","4"
"GSM794978","2","3","1"
"GSM794979","1","3","1"
"GSM794980","1","1","4"
"GSM794981","1","1","4"
"GSM794982","1","3","1"
"GSM794983","2","2","3"
"GSM794984","1","3","1"
"GSM794985","1","1","4"
"GSM794986","1","3","2"
"GSM794987","1","1","4"
"GSM794988","2","2","3"
"GSM794989","2","2","3"
"GSM794990","1","1","4"
"GSM794991","1","3","1"
"GSM794992","1","1","4"
"GSM794993","2","2","3"
"GSM794994","1","3","2"
"GSM794995","1","3","1"
"GSM794996","1","3","4"
"GSM794997","2","2","4"
"GSM794998","1","1","4"
"GSM794999","2","2","3"
"GSM795000","2","2","3"
"GSM795001","1","3","1"
"GSM795002","1","1","4"
"GSM795003","1","1","4"
"GSM795004","2","2","3"
"GSM795005","1","1","4"
"GSM795006","2","2","3"
"GSM795007","2","1","4"
"GSM795008","1","3","1"
"GSM795009","1","3","1"
"GSM795010","1","1","4"
"GSM795011","1","1","4"
"GSM795012","1","3","1"
"GSM795014","1","1","4"
"GSM795015","2","2","3"
"GSM795016","1","3","2"
"GSM795017","2","2","3"
"GSM795018","2","1","4"
"GSM795019","1","1","4"
"GSM795020","2","2","3"
"GSM795021","1","1","4"
"GSM795022","2","2","3"
"GSM795023","1","1","4"
"GSM795024","2","2","3"
"GSM795025","1","1","4"
"GSM795026","1","1","4"
"GSM795027","1","3","4"
"GSM795028","2","2","3"
"GSM795029","1","1","2"
"GSM795030","1","3","1"
"GSM795031","1","3","2"
"GSM795032","2","2","3"
"GSM795033","1","3","1"
"GSM795034","1","1","4"
"GSM795035","2","1","4"
"GSM795036","2","2","3"
"GSM795037","1","3","2"
"GSM795038","2","2","3"
"GSM795039","2","1","4"
"GSM795040","2","2","3"
"GSM795041","2","3","1"
"GSM795042","2","2","3"
"GSM795043","1","3","1"
"GSM795044","2","1","4"
"GSM795045","1","3","1"
"GSM795046","2","2","3"
"GSM795047","1","1","4"
"GSM795048","1","3","1"
