,Sample,B.cells,Plasma.Cells,CD8.T,CD4.T,Gamma.delta.T,NK,Monocytes.and.Macrophages,Dendritic,Mast,Eos,PMNs
1,GSM249732,-0.672032438901045,-0.414971772729844,-0.649100755373245,-0.434159852990429,-0.678072795218118,-0.695670277124878,-0.621378703080222,-0.569257283288072,-0.663709244157283,-0.612038739213804,-0.75899464970851
2,GSM249734,-0.574646958031618,-0.433997677316997,-0.588062678654899,-0.399702161177367,-0.678776333975483,-0.628760359459474,-0.557672257549353,-0.539037363163828,-0.684313177652719,-0.567192106407667,-0.672036056618106
3,GSM249735,-0.560851763109795,-0.390877623202041,-0.391227938981961,-0.333976281883776,-0.474777929502574,-0.511770680120753,-0.397586973531863,-0.403084460333851,-0.620885173730425,-0.544333757478384,-0.584866271268242
4,GSM249736,-0.581580610551105,-0.363335087658303,-0.679213332102473,-0.528845509685484,-0.755534472566968,-0.696862814672859,-0.504750701594495,-0.46187225498905,-0.721454902252974,-0.701727087937771,-0.659789607859399
5,GSM249738,-0.553082622282908,-0.30874082539599,-0.685474024698399,-0.527419767233568,-0.667724612600584,-0.774371669738593,-0.645600683631931,-0.600209938900141,-0.716076043301625,-0.678381385936672,-0.711722786915045
6,GSM249739,-0.592184203412143,-0.429407891826897,-0.710013414169146,-0.448933573170284,-0.773069964018969,-0.74841867983981,-0.479695169811929,-0.382861871558314,-0.588036563331381,-0.615916893152724,-0.65914102516234
7,GSM249740,-0.569706634306806,-0.266909975636957,-0.586828472495749,-0.482536921163852,-0.646385068669413,-0.694418838158919,-0.472566978503631,-0.322916151244883,-0.761715908474252,-0.59409284049625,-0.620230415989466
8,GSM249741,-0.627604219536832,-0.501342405395902,-0.605794980518038,-0.455750781892461,-0.662290954394506,-0.71236891852433,-0.540299991355837,-0.423320071806727,-0.669792639777253,-0.663434150217581,-0.654093336955688
9,GSM249742,-0.709756935625521,-0.456454549712561,-0.658243316174702,-0.486556463495187,-0.734369947859223,-0.739829931205432,-0.521851110658068,-0.429114828367412,-0.707788162744671,-0.574479953728153,-0.620596295345567
10,GSM249743,-0.537468411266795,-0.314753192592281,-0.697008618553235,-0.431625687928513,-0.768871589923189,-0.720135315572486,-0.514050710694401,-0.437255662697396,-0.636119809488314,-0.639352655050787,-0.601893703180681
11,GSM249744,-0.621456891424549,-0.398597693736982,-0.699634173636902,-0.538797439911992,-0.734426460051612,-0.793522051513429,-0.622549101320106,-0.540732064871279,-0.831973865866902,-0.709119347504537,-0.72081156129842
12,GSM249745,-0.49071946954972,-0.234802925305502,-0.446810305682438,-0.326799193228641,-0.535403523277793,-0.536741469786526,-0.335571280160346,-0.273145721690001,-0.615338928461833,-0.523582189151857,-0.538448516413484
