,Sample,B.cells,Plasma.Cells,CD8.T,CD4.T,Gamma.delta.T,NK,Monocytes.and.Macrophages,Dendritic,Mast,Eos,PMNs
1,GSM794865,-0.263591320703385,-0.143930707371466,-0.0371749768345749,-0.0792023138576256,-0.0519901982606109,-0.138379457904043,0.0346394176101999,-0.011329952284204,-0.213804559303458,-0.157905157912817,-0.105631780531488
2,GSM794866,-0.303109899107084,-0.148408078923054,-0.338547941525762,-0.221720402904569,-0.316139651068161,-0.39043719126994,-0.195714071247074,-0.207740932346122,-0.361779902779015,-0.204403712811512,-0.244598199080744
3,GSM794867,-0.263399374515449,-0.10242041589049,-0.0368282403070382,-0.104078016105007,-0.0218679908518688,-0.124203150807647,-0.0340088820295323,-0.0768636318200398,-0.319107778477432,-0.239821823175869,-0.118960766158852
4,GSM794868,-0.306616689367667,-0.147883362852657,-0.267326793250296,-0.195325922669159,-0.253549335878498,-0.344086208078655,-0.200405317027867,-0.244340624997101,-0.401971220523818,-0.241393553094798,-0.227170505662689
5,GSM794869,-0.198679174441374,-0.0229753693290503,-0.0455205010175786,-0.118064189415994,-0.0207172057782208,-0.127811676933109,-0.066963727955699,-0.100013698843686,-0.286209839068523,-0.220570641073627,-0.174196864687409
6,GSM794870,-0.324163369471078,-0.226503474809147,-0.396392623040656,-0.283732157065381,-0.370740870825915,-0.399912238272475,-0.158574040153829,-0.125176321848532,-0.315987672695553,-0.225698903284717,-0.219676043050798
7,GSM794871,-0.170236997428995,-0.0494517927895307,0.033462581234747,-0.054014521291266,0.042591085612878,-0.0591322935389358,0.0632338184855946,0.00102975041874124,-0.281728903251548,-0.162114233072079,-0.0867800520067951
8,GSM794872,-0.315978547497493,-0.132704920235293,-0.412613888202803,-0.255201486030397,-0.377030848121422,-0.456891835487472,-0.320212813022579,-0.320773158804279,-0.452513639329015,-0.351729946266713,-0.415014345196965
9,GSM794873,-0.264729753518998,-0.137234945006248,-0.147338661921776,-0.119734830272418,-0.138968656922072,-0.230686089087482,-0.144590132213278,-0.156269987841013,-0.317546263251816,-0.21952957762133,-0.213496120255346
10,GSM794874,-0.323658460393005,-0.215043254690188,-0.413799272359395,-0.256078328878303,-0.394253570233412,-0.458685655891803,-0.207081417458268,-0.23226966336955,-0.440020984784375,-0.26001560648408,-0.285236543080958
11,GSM794875,-0.271621549712004,-0.143570522937494,-0.269019232030334,-0.171100171745539,-0.252855177762735,-0.351185841104388,-0.119345765169552,-0.108417184636946,-0.394150362027574,-0.239961198158362,-0.2082966003728
12,GSM794876,-0.160672803624998,0.0327277380921975,-0.167040959262133,-0.146102702899514,-0.168121622423818,-0.222632636947184,-0.0557840490515616,-0.0814231428040219,-0.392853932934931,-0.251844302472428,-0.214548330730588
13,GSM794877,-0.245105468795554,-0.120871810903239,-0.302750942635273,-0.218089628736838,-0.282199848056937,-0.323392689503031,-0.231990586766497,-0.208566935807243,-0.418470682202168,-0.306551629325437,-0.31281458737111
14,GSM794878,-0.151840651070351,-0.0017365616581135,0.0174841726653701,-0.0382627755035063,0.0469453143389725,-0.0458029845026007,0.00554690912491259,-0.0717470995099127,-0.323832123259179,-0.137486128316596,-0.148760778564667
15,GSM794879,-0.287703028476463,-0.19973315133892,-0.280464046194638,-0.196291249761178,-0.254630682382459,-0.288057819322686,-0.210005325875259,-0.230312053796185,-0.330461979829802,-0.276274579117278,-0.259058491038169
16,GSM794880,-0.298826715969833,-0.18945774244065,-0.198549047122091,-0.18114408033321,-0.173256678475327,-0.260658262344441,-0.163095468781251,-0.195831325356498,-0.325324204015404,-0.245074981104975,-0.239839301611222
17,GSM794881,-0.32981577132091,-0.20633615384439,-0.315799493718043,-0.197282082853349,-0.253862467910394,-0.331118794192796,-0.179710852323341,-0.21577962495843,-0.301161159256958,-0.214347452388169,-0.157397858995957
18,GSM794882,0.0372088901840224,0.0932889543060668,0.165058175286484,0.070652518543898,0.158433910683492,0.029309961241337,0.0720779373010203,-0.0150053846558926,-0.154499327180487,-0.13398270077337,-0.0741412962024824
19,GSM794883,-0.28146878593308,-0.155780299267474,-0.412544569033293,-0.26410726195738,-0.35839260042573,-0.384025627772211,-0.167197709337575,-0.165410734213477,-0.399210947102718,-0.321258649197272,-0.278315817525062
20,GSM794884,-0.309946341385327,-0.174133185167908,-0.33850401090143,-0.279215900104757,-0.292566945892012,-0.35694659852695,-0.291223852764153,-0.27590612388341,-0.319938438146231,-0.315416443256618,-0.332437395195351
21,GSM794885,-0.300319550886423,-0.209879127872058,-0.0826266836357893,-0.120899498072703,-0.0344623132423236,-0.146222077071964,-0.063680649089583,-0.0458146982985449,-0.288685622633506,-0.205177017064796,-0.173595172103274
22,GSM794886,-0.264486670809444,-0.147818957706295,-0.148237107482467,-0.148782391687481,-0.116056925396319,-0.182543276306322,-0.0793346372921191,-0.110878452793266,-0.309528746966424,-0.274394505796476,-0.238671584388182
23,GSM794887,-0.137305411278634,0.0303303965455688,0.0176208694401589,-0.037125348673199,0.0326373582343616,-0.0722362748783567,-0.0144669349458915,-0.0436337176467984,-0.343711066223524,-0.221066554895848,-0.134892730012055
24,GSM794888,-0.233668563839507,-0.257771525176147,-0.216554979557557,-0.165844090922403,-0.197425986031458,-0.208570503447872,-0.090490235588009,-0.0558167408076056,-0.232346874340732,-0.105571081140718,-0.152426104367215
25,GSM794889,-0.298405106768816,-0.151333211155826,-0.170049075952737,-0.150264486575662,-0.124416499026185,-0.205416684834008,-0.124761099397461,-0.129952900357895,-0.32113872740984,-0.254633700236249,-0.212298732180754
26,GSM794890,-0.287658471508502,-0.0915187775533667,-0.220743340574785,-0.198013286915567,-0.16841462228931,-0.265785725669053,-0.1414299366312,-0.109402672715193,-0.379283038883943,-0.244315134146803,-0.244900270957766
27,GSM794891,-0.287872133120378,-0.188715272875431,-0.273624276952874,-0.208352307831788,-0.23591308489596,-0.278327790465123,-0.138144340808039,-0.207169395776936,-0.326418177159867,-0.235953181933602,-0.173274685253129
28,GSM794892,-0.326218726081411,-0.147786303809737,-0.413446704846608,-0.299432813427648,-0.38965872443764,-0.360340984098315,-0.252592443674102,-0.281308009107485,-0.382082842245624,-0.308700374324617,-0.295078202705466
29,GSM794893,-0.251229460561044,-0.12763777815847,-0.169986976172505,-0.151615949117103,-0.162168191083438,-0.243845668292278,-0.0567154616452745,-0.0936594724198686,-0.363016131132615,-0.170299673666554,-0.130741221164441
30,GSM794894,-0.31444638859227,-0.14258299081712,-0.30270844862802,-0.230012862563759,-0.29190315674571,-0.336317501259585,-0.151094845106901,-0.186510942494259,-0.351451430930909,-0.290106326964084,-0.224390940391403
31,GSM794895,-0.251895834143734,-0.124929687770926,-0.176491460037784,-0.17429576193165,-0.149170641721274,-0.235163688701782,-0.127721762559155,-0.126820251684406,-0.309626622023841,-0.227244051817767,-0.223791773907315
32,GSM794897,-0.265647173188955,-0.154942408361376,-0.115858718798959,-0.133939643129293,-0.0878428864391067,-0.165222105494703,-0.047202159269225,-0.0835752537621504,-0.267935905388955,-0.212254239509258,-0.176702061660363
33,GSM794898,-0.317470557721732,-0.198575798009042,-0.345712731837692,-0.232762602809785,-0.291759267003867,-0.346645839093386,-0.251103030218929,-0.3125909698255,-0.412770103627106,-0.290716590538314,-0.311824663040795
34,GSM794899,-0.280559123902054,-0.242194202653129,-0.268421458109759,-0.21786935545848,-0.21257202452976,-0.315456407677908,-0.126226528000671,-0.143724336195131,-0.364200006168806,-0.235516960010214,-0.208772253606523
35,GSM794900,-0.328347476310402,-0.176438380373546,-0.252423983462012,-0.194726586149811,-0.228779474625991,-0.2898633829574,-0.0965985494613476,-0.103730412616147,-0.329625521807911,-0.260033201686136,-0.234185893720654
36,GSM794901,-0.299198944859434,-0.115753860381426,-0.175013500342749,-0.157554670596568,-0.138743408677103,-0.264609613536368,-0.0733370724351594,-0.124633854069916,-0.320084302288657,-0.264977843156578,-0.198859167364574
37,GSM794902,-0.245968828035107,-0.0963902433122043,-0.10403722179732,-0.135854363478702,-0.101133232062094,-0.189210916865799,-0.0605794542878163,-0.0708782422753814,-0.281930240871237,-0.245845326582071,-0.181133572028916
38,GSM794903,-0.282389793283442,-0.122093078827022,-0.385974235866023,-0.255354048717731,-0.34386241215756,-0.389170482765724,-0.213213458196581,-0.208349690818374,-0.366964027758145,-0.240776406440513,-0.236855279376014
39,GSM794904,-0.377088374902359,-0.222529055573601,-0.294616471209391,-0.226385299905714,-0.283690030763932,-0.337132476574132,-0.15908306806305,-0.175483205906204,-0.369917432579051,-0.280921658603791,-0.252755289740789
40,GSM794905,-0.273684570781537,-0.0627770016936247,-0.224654186757163,-0.170436983023359,-0.160696037353545,-0.244953098410748,-0.20000302270457,-0.16061599677768,-0.318481360736211,-0.273737365844021,-0.261080010718275
41,GSM794906,-0.241468059293061,-0.150199913032038,-0.265955905135776,-0.206500346571368,-0.247118576942212,-0.280131820628247,-0.153858786561887,-0.192392841777326,-0.39586271906474,-0.325351387102971,-0.297487485305633
42,GSM794907,-0.297120328800208,-0.0936667289521614,-0.152658217978235,-0.145778928393611,-0.143403695167271,-0.197208842063457,-0.0728260187249024,-0.0812846561127654,-0.338084898550644,-0.252092883784088,-0.207470684647643
43,GSM794908,-0.334802374917863,-0.123950924121003,-0.401180533699082,-0.264172710394909,-0.345795257244867,-0.430477594148055,-0.257535848748902,-0.278955984465048,-0.446258829628101,-0.292120256792768,-0.272098784766355
44,GSM794909,-0.331555387850534,-0.233779703137007,-0.359168260725795,-0.278146907303538,-0.334650555758864,-0.353793217210819,-0.198945025423628,-0.172269457246342,-0.381213646493948,-0.282293335245712,-0.278116087029321
45,GSM794910,-0.289934227690995,-0.230130330960328,-0.416390064148862,-0.249700374327147,-0.339461216352136,-0.391868167589073,-0.271894441788323,-0.324353896498318,-0.420080869531957,-0.300128220414776,-0.219816904030548
