,Sample,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
1,X4025,0.0664747518699495,0.0588447726291645,0.012082053165263,0.353578866981368,0.248920310807151,0.286922453951496,0.366150476128757,0.228703823736559,0.183542087385743,0.257790620118697,0.275263947281372,0.343208237940133,0.107043892419537,-0.0353774885728121,0.287976227450045,0.130372572785563,0.0904233427092336,0.191337531195444,0.116117827236641,0.118731561941911,0.122526808350115,0.0814654067931741
2,X4028,0.0566653267102578,0.0842665345342318,0.0656704528602344,0.147393792414656,0.0927999155466227,0.16409133844849,0.061168779790545,0.164029979571397,0.0800190017970285,0.121529649291076,0.151302613921887,0.0745644481645074,0.131195741438622,0.000720127747601003,0.0564685046888888,0.168843948886467,0.0985166428798815,0.0584251291649983,0.0224712736805784,0.0107213164913566,0.066854644402468,0.153808895908546
3,X4029,-0.0919803890849168,-0.0862096321760331,-0.104117140079197,-0.144884096461872,-0.0744230001695634,-0.0367534231739473,-0.339591479802071,-0.112273978557437,-0.167714745393018,-0.143394759995755,-0.214005140045913,-0.209457550496028,-0.146011567072877,-0.187232686243788,0.023633225886705,-0.0343771469713321,-0.0486807907204033,0.0703279101436138,0.0867916867119459,-0.00315675187350597,-0.0404855814924749,-0.142047519949262
4,X4030,0.0796087579147435,0.073482595742383,-0.00390150297363129,0.293294396948816,0.14684162050507,0.2605383579463,0.21983987710656,0.209768714619008,0.159041168233123,0.250493175720232,0.220258746914965,0.265316511225297,0.148945741263192,-0.123573515051939,0.256728413712736,0.145695427596842,0.0502701558790778,0.126800149643545,0.138004619200077,0.0375360153724914,0.0688044864648975,0.0792759126517712
5,X4031,-0.032370627387917,-0.0749675664247146,-0.0930307918477307,0.0474430784679921,0.0145230364209092,0.0869709933968452,0.11694919693951,0.143901931966532,0.107055638454496,0.134218967577932,0.121159784016336,0.10100721722405,-0.0239613516035177,-0.0726918491908382,-0.14955607471151,0.00886854605168075,-0.0352939274074465,-0.0670291129830033,0.0639150146682484,-0.000379826273039107,0.107989034992442,0.000468084967439609
6,X4032,0.0462303288833872,0.0755704294559297,0.123103528742808,0.179133253777536,0.149860333971111,0.118148859035535,0.239955512453695,0.125319299228481,0.188220375530921,0.156022222653929,0.15791900807663,0.125962943939177,0.228925685962859,0.10275269880586,0.0777028865445719,0.219331472343923,0.151233101216122,0.122068681343045,0.112173457407491,0.0920667868142403,0.218660228936863,0.175674460858572
7,X4042,-0.0285218097349373,0.0079197403466511,0.0212674899739763,0.154116279878052,0.114530607414537,0.183190278341738,0.247463000880873,0.159835414130357,0.224780343768972,0.101174438961508,0.0539567685285191,0.156480493277068,0.21146803230689,0.000535374303875788,0.0913354284935188,0.140542357300862,0.15619345528552,0.147193102161129,0.0454886500075206,-0.00380596479829439,0.178833815134026,0.144283545810662
8,X4043,-0.0802273142590592,-0.113213193376068,-0.0632044199287438,-0.0670673769789954,0.000135009817302026,-0.102087770024976,-0.214676455321256,-0.0738420250626186,-0.0761564888991874,-0.121669610923411,-0.209874738963511,-0.199744793185756,-0.00381070877590893,-0.204392115749744,-0.190236971162991,-0.0587412366481304,0.00292494494730807,0.0470863112647699,-0.105440320485635,-0.0795117992387152,0.0866074588934521,0.0220334664911677
9,X4044,-0.029597830430845,0.0165288798147297,0.102071953560586,0.18001033309841,0.135095893368191,0.217355566806039,0.347081509128897,0.224600713782837,0.197320960779992,0.185812722183242,0.118083747824619,0.119460027766795,0.172157855423647,-0.0683568127341418,0.133967194362041,0.0905817055318313,0.0895328274653527,0.120636453928997,0.108109488665465,0.13809403135845,0.165307139752689,0.188036381690189
10,X4046,-0.124101318809166,-0.141664794471654,-0.162449593100684,-0.192323597037392,-0.102841084696496,-0.147242877603906,-0.297260165413719,-0.0358050361225901,-0.182387539709742,-0.204439953278506,-0.1616132406994,-0.211074521707584,-0.17433918029179,-0.149253672334466,-0.284003279887294,-0.124565542336409,-0.0643653922257989,-0.128954563912931,-0.0232521720945761,-0.0244942588107365,-0.00388081640367015,-0.0499402502856687
