,Sample,B.cells,Plasma.Cells,CD8.T,CD4.T,Gamma.delta.T,NK,Monocytes.and.Macrophages,Dendritic,Mast,Eos,PMNs
1,TCGA.20.0987,-0.502954923344471,-0.378466291241503,-0.295929216707605,-0.338452134851788,-0.257533678759586,-0.268563472120663,0.00819627658607784,-0.181786837326872,-0.48485865079603,-0.282533241062348,-0.219239937947493
2,TCGA.23.1031,-0.652121868552916,-0.449088127523573,-0.724713929089763,-0.59732788464411,-0.712198824337279,-0.75078834141784,-0.627191222240447,-0.734910919586691,-0.81050348192199,-0.636298291958926,-0.631283202960984
3,TCGA.24.0979,-0.655919363262584,-0.455379633990428,-0.644410524277343,-0.495681961007051,-0.624493106198446,-0.684174352307698,-0.511876585288269,-0.605149398828354,-0.764732360832747,-0.601019977394031,-0.622259648918354
4,TCGA.23.1117,-0.565844700574403,-0.445279160601116,-0.508637978631058,-0.519375976065781,-0.501929968709343,-0.526342708961703,-0.3960269823956,-0.45888442036369,-0.620645061510584,-0.585541904912213,-0.497940816306958
5,TCGA.23.1021,-0.632937467321131,-0.433059250829207,-0.62284608224501,-0.54444603507489,-0.668181439186814,-0.669088499630683,-0.523135972630251,-0.621267688494609,-0.645859991174828,-0.594135187584799,-0.598379523398544
6,TCGA.04.1337,-0.658084612219707,-0.517807062067256,-0.565825609751614,-0.531575458565662,-0.605105372805647,-0.575765041401131,-0.483771606897481,-0.551261070764642,-0.658425758127202,-0.523852899859775,-0.523741721169605
7,TCGA.20.0990,-0.595355763016539,-0.504526027634479,-0.659899700070529,-0.529942636620163,-0.57428810553174,-0.747667535183873,-0.640291891366756,-0.668128255981972,-0.680364900441164,-0.543721549898627,-0.726287799994053
8,TCGA.23.1032,-0.625543484940784,-0.532954475273978,-0.660973375947263,-0.587689570171872,-0.673659006251089,-0.686394050520069,-0.559032765051932,-0.541327438576639,-0.784261230298759,-0.68111368466979,-0.568354863537236
9,TCGA.23.1118,-0.631176617054005,-0.521882082751671,-0.609891056862581,-0.513858502394936,-0.620091168833453,-0.666951686494582,-0.331078216694756,-0.373321193848269,-0.672067092284433,-0.484374021158876,-0.473596456404433
10,TCGA.23.1026,-0.614209061435546,-0.49363181174594,-0.397880495091742,-0.444429032313268,-0.390324179939994,-0.392256022699268,-0.27175831839356,-0.355807875988437,-0.551443058003618,-0.430861447638087,-0.363411729368261
11,TCGA.20.0991,-0.331091992415765,-0.160148448950043,-0.0245823190884406,-0.229447941185436,-0.0151243353167395,-0.147391219326574,0.0670236809604236,-0.042109178257091,-0.461206263583694,-0.192849422131945,-0.142747691965167
12,TCGA.24.1103,-0.758367234191777,-0.604963818597768,-0.697613246183834,-0.578232214039111,-0.665190244157934,-0.67498265857279,-0.515491900303579,-0.595137070736088,-0.679849237697572,-0.649806263705033,-0.608502589584895
13,TCGA.24.0982,-0.66068623567203,-0.430303578759463,-0.677671462727319,-0.560533152255633,-0.692593595972838,-0.697987746215102,-0.582100627885864,-0.587483567335108,-0.779335310115768,-0.675436312533616,-0.732470480838121
14,TCGA.23.1119,-0.597606547412106,-0.456042158854218,-0.5014035825533,-0.493114365920609,-0.451594003810096,-0.60114409094649,-0.406336956189699,-0.496667768794464,-0.629765750227217,-0.534148515199496,-0.477497029028306
15,TCGA.23.1028,-0.679236169659596,-0.447841971584318,-0.54073309394782,-0.486182175453633,-0.513364158837928,-0.523254253157877,-0.36894764872723,-0.473019577505872,-0.765676076227731,-0.58014107462387,-0.419319913483102
16,TCGA.04.1341,-0.675873282491449,-0.452744044176559,-0.69291558090537,-0.564652736472225,-0.669297125136206,-0.763365168986657,-0.565447099910157,-0.60682908038107,-0.745971631434326,-0.655260822363536,-0.631553218717361
17,TCGA.20.0996,-0.692068640381872,-0.488088370417746,-0.61629898599229,-0.541014021970019,-0.609535692358534,-0.61260572690878,-0.538435069468961,-0.595781051411712,-0.655008350765272,-0.48078500161159,-0.574155830197893
18,TCGA.24.1104,-0.58482467566831,-0.47229367637975,-0.42198741913075,-0.422079628961702,-0.436385908473698,-0.478950622806791,-0.392018887795976,-0.469499847325059,-0.54425647469883,-0.484841686522188,-0.509321827290693
19,TCGA.23.1107,-0.757459239761418,-0.49161726548751,-0.668821733764426,-0.559870486331205,-0.576294001452855,-0.728263852657165,-0.548013336319107,-0.656707725623619,-0.676035715606082,-0.610133960184928,-0.592984542365909
20,TCGA.23.1120,-0.585269521068405,-0.497423845372907,-0.424180733923454,-0.444629878777249,-0.357662898945262,-0.448604511666382,-0.216031699053275,-0.325175985139743,-0.62998249131215,-0.494454813185556,-0.510301766246586
21,TCGA.23.1030,-0.652421040543483,-0.474542042599742,-0.61016822520522,-0.497471942840816,-0.577732125636627,-0.655516002929391,-0.428951122166384,-0.443902059390723,-0.742158425829671,-0.485488344467775,-0.515742906376222
22,TCGA.04.1342,-0.688023923843048,-0.468167140622522,-0.624869185091206,-0.491070482046586,-0.620950150463559,-0.653644537113619,-0.479747414058983,-0.464572449227356,-0.745438732815541,-0.662446081784098,-0.656739029487164
23,TCGA.23.1022,-0.679971754860634,-0.518538694670394,-0.762065868613258,-0.58405973173726,-0.723971666169536,-0.787119983958658,-0.66192715347218,-0.754982920088479,-0.726351803727904,-0.637613560330092,-0.76150177442719
24,TCGA.24.1105,-0.643691952359301,-0.468191532934677,-0.536780423694689,-0.458405429970413,-0.49791456668,-0.607560413059581,-0.470761589754889,-0.557074700626412,-0.68891720265798,-0.566428585542028,-0.589426818515614
25,TCGA.23.1109,-0.603308945555928,-0.466901494637179,-0.620683543584944,-0.557412362236111,-0.633538042077377,-0.657191051265192,-0.440376939693491,-0.451768385122331,-0.667576724321088,-0.594179878054366,-0.538905269627726
26,TCGA.23.1121,-0.635214629457811,-0.478329659850874,-0.659719707711483,-0.582005934351758,-0.629738628796336,-0.7220481279034,-0.60649680355278,-0.619780490065576,-0.661338199826172,-0.530541643743164,-0.668553215756632
27,TCGA.04.1331,-0.741494257593449,-0.584487616406291,-0.763792546567851,-0.56232388707263,-0.739952636450487,-0.768679011419594,-0.538937064891541,-0.534034664949695,-0.756744225648242,-0.608358151504176,-0.670850459589628
28,TCGA.04.1343,-0.592722139874075,-0.37269918602375,-0.53441162094328,-0.451780444312311,-0.524851344896628,-0.629725709193518,-0.489024615986273,-0.569608210595987,-0.734936668716252,-0.608333428983698,-0.525284129874285
29,TCGA.23.1023,-0.667807515000335,-0.549548524533295,-0.584217150356973,-0.536874191964241,-0.600622899320181,-0.59808898242376,-0.386733988834833,-0.42914567617336,-0.582081878993867,-0.522781479365784,-0.474070144840507
30,TCGA.24.0968,-0.542530823671029,-0.41536508247682,-0.39915932035551,-0.446065407510484,-0.379336171412458,-0.470585822911622,-0.278234529475046,-0.384017343230748,-0.577254458528716,-0.491966273621471,-0.459429890593916
31,TCGA.23.1110,-0.694914872313815,-0.437508259779495,-0.734133393332893,-0.640080325081965,-0.719538196326791,-0.859217365798593,-0.75733572318568,-0.778185107445291,-0.852472893617499,-0.79064910696967,-0.760106921609299
32,TCGA.23.1122,-0.644616724040097,-0.434540264524418,-0.680944459647419,-0.565896716943538,-0.634277291360995,-0.705971880741949,-0.422306729969724,-0.471251223071157,-0.700746336113789,-0.553392811048281,-0.59303430722259
33,TCGA.04.1332,-0.652953060870582,-0.498336007142318,-0.719869646391496,-0.583471098537025,-0.721956861961593,-0.719901597175281,-0.488785019156232,-0.583105584289144,-0.587134824662841,-0.589070453230636,-0.591054964944438
34,TCGA.04.1346,-0.529769995968378,-0.511343557611648,-0.41606892670373,-0.38668682318214,-0.370478493257863,-0.478337073035995,-0.232000203392715,-0.286238277018129,-0.689248604634872,-0.506347663127749,-0.360199741040515
35,TCGA.23.1024,-0.696339705261629,-0.59616446730497,-0.659182627406527,-0.536350908473059,-0.627715207965763,-0.659732688522854,-0.527870512400668,-0.521514411811325,-0.768427627799819,-0.617890955523798,-0.694704313226343
36,TCGA.24.0970,-0.650499092050866,-0.452593500038189,-0.706922830815232,-0.527312083940183,-0.655752500550333,-0.77290576336673,-0.520155239019957,-0.572608934626745,-0.698812641000757,-0.533915440472898,-0.574960132546454
37,TCGA.23.1113,-0.679828096096359,-0.508949131554393,-0.750271592944675,-0.586577789647401,-0.748773125410212,-0.773366163369655,-0.653869950208007,-0.725756084041105,-0.743659715880373,-0.615795183800374,-0.635956114273166
38,TCGA.23.1123,-0.490284031394053,-0.502620952455918,-0.286422609208142,-0.377825002483665,-0.300127364887692,-0.385362466797054,-0.161982415608377,-0.247710441687598,-0.548635754556255,-0.41063946849118,-0.373746492177468
39,TCGA.04.1335,-0.747114806543604,-0.587303992502599,-0.672286601848701,-0.543140523320365,-0.634930854961031,-0.673403149984327,-0.501100745925068,-0.59666723636411,-0.721409852453074,-0.732208875646392,-0.60215260676757
40,TCGA.04.1347,-0.546109370600504,-0.561305729151352,-0.709137809118814,-0.581337214426055,-0.686521846463248,-0.830665880232085,-0.709861878796122,-0.704214545945199,-0.798210189005617,-0.597520605390474,-0.779050497217871
41,TCGA.23.1027,-0.662526550837968,-0.533723139749833,-0.657364130083941,-0.561141000261056,-0.665693322773845,-0.676229047133395,-0.357232982876483,-0.420298160530368,-0.600745435589817,-0.483209134230827,-0.452147456582701
42,TCGA.24.0975,-0.665588101009791,-0.437407039766453,-0.528401961594435,-0.54558968975223,-0.540626269114951,-0.568862890258443,-0.496211151753139,-0.592602947757428,-0.592653876475351,-0.591668801190633,-0.55301433025605
43,TCGA.23.1116,-0.604994836450392,-0.588714023808187,-0.516315012847659,-0.470600106367907,-0.548278354954317,-0.50464104492987,-0.159592402581729,-0.216470965263104,-0.459112964514942,-0.318127878964096,-0.227873409304463
44,TCGA.23.1124,-0.660199836610488,-0.554250815070126,-0.450942033285616,-0.434802004577033,-0.494554858816312,-0.474781644760838,-0.306073304555746,-0.415580530616475,-0.633646800542078,-0.551990787553459,-0.43299413144581
45,TCGA.04.1336,-0.656567715988202,-0.568106111091722,-0.595192658683966,-0.502820590043439,-0.540430800465323,-0.628148302168697,-0.240161692824303,-0.366843845775657,-0.613124856667941,-0.545138432316885,-0.3973584732755
46,TCGA.04.1338,-0.509324915734164,-0.499058196622548,-0.352664119429065,-0.396890981806489,-0.386262410115292,-0.42781333928704,-0.354329761821945,-0.471135940727052,-0.457057291801023,-0.399765429469651,-0.463900318313661
47,TCGA.24.1425,-0.638919214785979,-0.42520842452306,-0.618365646916569,-0.547875242851003,-0.563776249108029,-0.571402881695206,-0.31412544162351,-0.425227712555422,-0.525325082920239,-0.451093824617267,-0.345438910383765
48,TCGA.24.1474,-0.663366242043056,-0.557099737176975,-0.701309198027912,-0.591124026364993,-0.618829039221726,-0.728915189908476,-0.36759526964598,-0.438384326020323,-0.616514678181749,-0.491861121614714,-0.363954989940325
49,TCGA.24.1549,-0.513353817027587,-0.412328740837565,-0.29430230242888,-0.421842911830622,-0.245264292112033,-0.358205315200691,-0.337657253289858,-0.31802379531175,-0.548700037959507,-0.482319724911144,-0.51221638201328
50,TCGA.24.1564,-0.560360555954724,-0.497786151662123,-0.527144426828523,-0.478615718609332,-0.528157893354006,-0.528269105822049,-0.125818102449147,-0.256097942490097,-0.462875671699687,-0.274701477536276,-0.210567403790053
51,TCGA.24.1469,-0.649785095750485,-0.48593200898021,-0.570942899256274,-0.52895796543926,-0.524411707653215,-0.658954612488285,-0.448619384720556,-0.422744841807204,-0.661642554094666,-0.566666315717559,-0.574286977197409
52,TCGA.24.1550,-0.556389152522671,-0.393487981498096,-0.593511006722553,-0.550914881823238,-0.528666907820538,-0.504090073944246,-0.219728680839832,-0.274565717175501,-0.47387083482429,-0.392592529436979,-0.352277976707813
53,TCGA.24.1565,-0.625366242381492,-0.620878691970137,-0.539816447433082,-0.483895619754309,-0.493081451728547,-0.583052983711597,-0.342930970213926,-0.465985364373612,-0.683900969797298,-0.465899255459648,-0.400516827849094
54,TCGA.24.1470,-0.53690235502161,-0.408669417019896,-0.328457615902202,-0.373276663458002,-0.306045312070942,-0.453632578422062,-0.182544595627633,-0.241916267199864,-0.47916903012679,-0.389665186865423,-0.283323803475049
55,TCGA.24.1551,-0.620200227072156,-0.410002958476604,-0.351268081844422,-0.463067651787979,-0.362483232656102,-0.447461841109096,-0.22136470438492,-0.335922576509092,-0.56367346890092,-0.477661560788846,-0.390179186341625
56,TCGA.24.1603,-0.691264929803456,-0.504114420743961,-0.672404616166941,-0.586496977080673,-0.645413076963555,-0.65250149426802,-0.458969476725304,-0.527156249636552,-0.700917645230307,-0.598130388731833,-0.434941346309581
57,TCGA.24.1471,-0.621633163590102,-0.444584957002405,-0.676084871746942,-0.542611917897124,-0.579940993257743,-0.72074192322567,-0.445314157834049,-0.513047611858599,-0.671419394203563,-0.482360513916888,-0.453273863831065
58,TCGA.24.1552,-0.717584404250954,-0.511628847873775,-0.653213011440529,-0.533647147636937,-0.651312046080811,-0.722429172639188,-0.500809877733922,-0.538121658488446,-0.676507006366959,-0.604832181892348,-0.572787861942945
59,TCGA.24.1604,-0.616565453723681,-0.414369037421445,-0.621435834146431,-0.570427523402506,-0.618984796526711,-0.576079029463898,-0.38434225841584,-0.447437582698845,-0.676320588968946,-0.556159026438268,-0.525619943853756
60,TCGA.24.1553,-0.334735741285359,-0.303502922513763,-0.136690597370457,-0.306930559404234,-0.147398567676212,-0.281772282330393,-0.192007535981457,-0.243857938746288,-0.512743626720604,-0.315970913419645,-0.303682638632058
61,TCGA.24.1614,-0.689251542475989,-0.425055268369606,-0.626473827115057,-0.58098900656612,-0.67364344340356,-0.716982957200443,-0.653130526778076,-0.733982302530219,-0.708391865613562,-0.707551982717669,-0.694911364904144
62,TCGA.04.1514,-0.699149004933557,-0.508689267932217,-0.815581505462138,-0.66252221944798,-0.746569335800767,-0.840562969850324,-0.736294162080467,-0.760550336362691,-0.817632483962894,-0.739166484216983,-0.801706115600114
63,TCGA.24.1555,-0.658940640827617,-0.518042372510513,-0.672806642759935,-0.543032919477496,-0.599490775717234,-0.726467865885686,-0.467955532393088,-0.573669813945907,-0.676312329867747,-0.505324164318339,-0.582268925585044
64,TCGA.24.1616,-0.783754218581089,-0.595383934887755,-0.7364010133151,-0.595976399323502,-0.698960143965942,-0.688049626506848,-0.572063085434168,-0.581224331409301,-0.70567772140036,-0.536836196142346,-0.571967766895649
65,TCGA.04.1530,-0.579547635429764,-0.503174786469352,-0.433739957450183,-0.434996251540429,-0.458659666891249,-0.536399437564634,-0.341128198976596,-0.385744764459496,-0.609687871173319,-0.494157698994241,-0.446508111363406
66,TCGA.24.1562,-0.618827779434359,-0.487351051514,-0.567780938535165,-0.495384869045988,-0.527508249873358,-0.580142242921672,-0.400137121658028,-0.496875833625302,-0.598682205006532,-0.449422395747407,-0.470127161398967
67,TCGA.04.1542,-0.732947451349148,-0.567648120707109,-0.795988516603703,-0.619733634773373,-0.759221499217324,-0.812164151891976,-0.689477206815406,-0.778826212172989,-0.873391313947856,-0.630410538200683,-0.633976971474992
68,TCGA.24.1563,-0.582410308591918,-0.406209285561627,-0.509994777777658,-0.508712196101698,-0.552796009420245,-0.53291733363234,-0.288868620233847,-0.450817338219085,-0.496657091297306,-0.445025225201141,-0.374644076217334
69,TCGA.13.0758,-0.606169856110139,-0.385507524999336,-0.435054461259045,-0.499955883818793,-0.412709945003906,-0.47659237444071,-0.29636993250458,-0.345080463367524,-0.651441066989461,-0.568680967569068,-0.467670595763922
