,Sample,B.cells,Plasma.Cells,CD8.T,CD4.T,Gamma.delta.T,NK,Monocytes.and.Macrophages,Dendritic,Mast,Eos,PMNs
1,X4025,0.0617248193260595,0.0130872223991415,0.382994943369868,0.209243998595995,0.279237570945795,0.305502277285525,0.173022348280117,0.18351897365886,0.122493789829382,0.132720454777112,0.0882429403310438
2,X4028,0.0760540771877758,0.0711339215180086,0.159656253386592,0.148668049000921,0.131640336837349,0.108300767001374,0.0908931931547082,0.0594424361762746,0.0282239495245102,0.0724166321520713,0.166605062913389
3,X4029,-0.0618731737169847,-0.112779189856293,-0.156937762693077,-0.0655232216811485,-0.155324520531947,-0.206958281364328,-0.0734024633103185,0.0484403838978759,0.0563557773871104,-0.0438537888969016,-0.153865196535246
4,X4030,0.0681331284798666,-0.00422608942440564,0.317695092778354,0.157903185162463,0.271333013956866,0.231301903567833,0.168845303006779,0.114690710875446,0.100977262450101,0.0745286917801139,0.0858712907133661
5,X4031,-0.0535468736879802,-0.100770510295382,0.0513901164576624,0.0672618686176609,0.145385345921653,0.0913335307144904,-0.0410138927953339,-0.0468612418635981,0.0448118295334554,0.116973207970816,0.000507027405589448
6,X4032,0.0688086401673674,0.133345155557521,0.194036286647762,0.156001610077987,0.169002527894098,0.136128988151715,0.186762559855572,0.141473979521897,0.134147969138899,0.236851717733823,0.190289738644381
7,X4042,0.0143210613657509,0.0230368437676777,0.166938019764002,0.143548961201172,0.109591670032086,0.12758575792424,0.16571029889924,0.166725552145355,0.0566954008158711,0.193711936136395,0.15628724909023
8,X4043,-0.116037076255674,-0.0684627264010384,-0.0726470630649695,-0.0203539000861943,-0.131791942610363,-0.203272372350813,-0.0913762213027658,0.0399636224922296,-0.0861244426863324,0.0938127866563183,0.0238665458800492
9,X4044,0.0192473194154635,0.110563853567777,0.194986334787507,0.173452858026586,0.201271454986935,0.115988120863506,0.12311069327706,0.14796829868807,0.126597256453979,0.179059905838637,0.20368011236572
10,X4046,-0.140576085476589,-0.175964624925768,-0.208324003594669,-0.0606387020210282,-0.221448382922065,-0.163886435180422,-0.219392376888645,-0.107175775890993,0.0086500911134008,-0.00420368183042688,-0.0540950410677247
11,X4047,0.348137431826252,0.273403736054703,0.48131471619358,0.368160918379619,0.474205991743958,0.360971001891221,0.372859027141512,0.388700700521832,0.10164291988971,0.218118234256079,0.201664779018875
12,X4048,0.0866868496479882,-0.0457432564301478,0.174704819676595,0.128802376788143,0.232736838765015,0.165984435048809,0.271781357648834,0.203643180481113,0.206450489917345,0.245182622398268,0.198584934470277
