,Sample,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
1,GSM794865,-0.229927181906323,-0.203471623313135,-0.126775906917593,-0.0327441689748694,-0.081379146556103,-0.0791319965893294,-0.11990257910511,0.0134615722395775,-0.21342609765577,-0.0457935950964493,-0.131823996010473,-0.133379647431603,-0.00514894387832944,0.13030950209622,0.117732584452212,0.00751044472312791,0.00700608197643057,-0.022530573856014,-0.254595936725389,-0.144851552874088,-0.139084771880527,-0.0930417491914199
2,GSM794866,-0.248464992412581,-0.244455223751312,-0.130719629903646,-0.298197119334951,-0.20891387194861,-0.286582823337091,-0.409592341180202,-0.127564325545849,-0.388125580785046,-0.278459626223746,-0.363935414679046,-0.382286782663743,-0.209711362138412,-0.0561493994381558,-0.124947418248973,-0.146317209377208,-0.181082511553903,-0.200647653427389,-0.378683026200611,-0.322418139925477,-0.180041261119656,-0.215445050505039
3,GSM794867,-0.257433588731752,-0.200917242721737,-0.0902131403959742,-0.0324387592499907,-0.127581146604175,-0.0645472641646383,-0.121843794482883,-0.0198313908237227,-0.193282925390114,-0.0192615906872206,-0.0822142480406456,-0.131260446743271,-0.149436157736922,0.113286753191648,0.115761661028815,-0.0584284148533529,-0.0848515966779966,-0.0471622631986629,-0.378584530005293,-0.264472645806273,-0.211237960870184,-0.104782080855598
4,GSM794868,-0.241773032752419,-0.251143998476438,-0.130257453645961,-0.23546467099763,-0.164460098456831,-0.201433279367588,-0.374133466583706,-0.0988061645572113,-0.326763400585087,-0.223329319999733,-0.290380551486917,-0.351381150973915,-0.199935385275795,-0.0419629236346686,-0.127385107224596,-0.129609537593263,-0.201713139417376,-0.245385629499333,-0.368020443859952,-0.36640289196318,-0.21262235958218,-0.200094527472775
5,GSM794869,-0.182070988964555,-0.141003484771941,-0.0202369830361472,-0.040095007557719,-0.132750589712001,-0.0886234096109737,-0.173198067489711,-0.0127384135332948,-0.220540412321718,-0.0182479652834183,-0.10474502408596,-0.134917568427203,-0.138816957543725,0.0486633070320355,0.00349300127572778,-0.0530944208706397,-0.098005207430017,-0.0898834448617536,-0.290612516372758,-0.253677059233682,-0.194281286962171,-0.153434704145182
6,GSM794870,-0.260301242612614,-0.267283661093722,-0.199506998633765,-0.349147414052004,-0.262715858105224,-0.303198455219301,-0.47547300456446,-0.251988501078145,-0.409383189923222,-0.326553040617458,-0.369550297973244,-0.384208101959016,-0.148424940660081,-0.004083480969825,-0.112242082379724,-0.0524452175220251,-0.048567190185775,-0.154131802127327,-0.30249322479943,-0.295615012495756,-0.198798322309217,-0.193493314209574
7,GSM794871,-0.187913849522594,-0.112510287545203,-0.0435577368727402,0.0294742460543185,-0.0858399026362386,-0.0485634637767872,-0.0461421413415433,0.0539514498642181,-0.162657928865683,0.0375147430578663,-0.0610841089019542,-0.0518816153012732,-0.0209124134668011,0.112086586321695,0.192273151320386,0.013366688202312,-0.0371533988389053,0.0276864624158726,-0.329680300244294,-0.234644186331318,-0.142792176160994,-0.0764369188231923
8,GSM794872,-0.283884063411055,-0.273712323078987,-0.116888097908365,-0.363435300492904,-0.278649092784018,-0.312065258558575,-0.435975687854081,-0.16118816420146,-0.407320009682068,-0.332093328653916,-0.41538435693342,-0.448834395881992,-0.301654549698235,-0.291325842051344,-0.246944147026371,-0.207752217811794,-0.28294076986796,-0.317598930802349,-0.386735842261771,-0.42081070264284,-0.309807988457639,-0.365549652030593
9,GSM794873,-0.235876227154535,-0.211499120655649,-0.120878198486519,-0.129777674481581,-0.149618359805063,-0.111561484448797,-0.245483556179128,-0.0177201064334917,-0.243230517320304,-0.122405272899453,-0.192833760914937,-0.23713400460846,-0.179808521302355,-0.0519021293708557,-0.0398735155691893,-0.0954678389263143,-0.175323050053638,-0.145429868317559,-0.319902515917336,-0.290436178907492,-0.193364305688793,-0.188049963507127
10,GSM794874,-0.267313821212776,-0.275956129918909,-0.189412698219424,-0.364479401187204,-0.281370591265766,-0.304110148445738,-0.470159060177115,-0.179211163501453,-0.362040253804636,-0.34726331048206,-0.398060274117034,-0.446083836198119,-0.237977686567799,-0.151223790118996,-0.105329612822911,-0.118899136897528,-0.221602996504413,-0.236265290579897,-0.368807127028181,-0.441013222127867,-0.229024889314775,-0.251239795145317
11,GSM794875,-0.243856110030883,-0.209182706831671,-0.126458652114166,-0.236955391533644,-0.154005708445277,-0.220716902163202,-0.351827630684821,-0.0713847136735381,-0.317320193295561,-0.222717897140239,-0.32235408949656,-0.337391038146443,-0.184533208935068,-0.0254348552127315,0.0237233907466347,-0.0997667529255978,-0.134310332860162,-0.103509543928744,-0.360209359409479,-0.363554383226797,-0.211360724039557,-0.183470163541685
12,GSM794876,-0.16622618777494,-0.107160420448619,0.0288269873314217,-0.147131696144502,-0.154240138462205,-0.161588410022716,-0.205809275058705,-0.0184041859498991,-0.27150363885207,-0.148083557320599,-0.20883285045399,-0.231828056286774,-0.107935201347929,-0.00300831054363463,0.0568915918955182,0.0037066695330352,-0.100217852185424,-0.073550726173062,-0.379362383231294,-0.360314778623911,-0.221827505964863,-0.188976763213062
13,GSM794877,-0.191984845019895,-0.19213172684267,-0.106465352167566,-0.266666689990521,-0.216332240173988,-0.241895929998423,-0.352084082453842,-0.134491129339441,-0.347159387600302,-0.248565037459948,-0.301806151438523,-0.309794556773561,-0.27085060904193,-0.141427364468146,-0.0689858962915518,-0.190552527805199,-0.228464538572748,-0.186044520953854,-0.387781467247115,-0.404896470790132,-0.270014380770721,-0.275530869925311
14,GSM794878,-0.154035000439617,-0.0903123348278735,-0.00152958450039066,0.015400270636032,-0.0498086670696926,0.000497540167101819,-0.0690943943862875,0.102206135158023,-0.0801276071682932,0.0413500003546472,-0.0293145546033877,-0.0548818518915165,-0.0876935510972326,0.0401402651895708,0.145144208632683,0.0149498449155659,-0.0875907777018097,-0.0624802775496945,-0.305789623829677,-0.285695121165224,-0.12109944378263,-0.131030292011486
15,GSM794879,-0.254435597731574,-0.227512175995427,-0.175927374115862,-0.247036122196895,-0.220840881907068,-0.214579608232829,-0.415415624774695,-0.11781727421698,-0.293634432952194,-0.224281783071967,-0.268829089135951,-0.284848293698457,-0.189912601915814,-0.15191261461263,-0.119866614880525,-0.133065107192049,-0.200650460524371,-0.227992013481379,-0.313022327969973,-0.324185522928405,-0.243345988951994,-0.228181850460203
16,GSM794880,-0.249301893486802,-0.235696606845853,-0.166876669746951,-0.174884400807977,-0.197499277046358,-0.172929016460923,-0.264225509822922,-0.116905469533606,-0.297999112122584,-0.152606576764411,-0.208162551056343,-0.260209726943509,-0.173511524466887,-0.00489881810335045,-0.0960360148389485,-0.118586070609784,-0.138479248041532,-0.212658596253013,-0.325792427242636,-0.287725936715946,-0.215865005875424,-0.211253356087325
17,GSM794881,-0.268150055747474,-0.263695068613365,-0.18174337854117,-0.278160011517867,-0.239553166535476,-0.241670162913782,-0.400155104972002,-0.0811481699719951,-0.320459071906788,-0.223605130478634,-0.327362898301921,-0.315878857900915,-0.145850723581613,-0.0339638371692022,-0.119248378902882,-0.149067116799325,-0.165544179166901,-0.224203607601749,-0.321594142242009,-0.257090084607697,-0.1887998271408,-0.13863793686222
18,GSM794882,0.0402092647069102,0.0870150757216668,0.0821700386493772,0.145385236050438,0.0724490484748814,0.137764332423536,0.00854098363433205,0.208617358907576,-0.00190020758292142,0.139550503712613,0.0353737631527215,0.0245454125388407,0.042423490655289,0.093713617399273,0.119775506001558,0.106915440902051,-0.000672249202988957,-0.0520079190812196,-0.171412375875895,-0.143366827684831,-0.118013582452385,-0.0653045499308026
