,Sample,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
1,GSM249732,-0.500876125310024,-0.517812759296625,-0.331065267884818,-0.5178538146058,-0.431688110621674,-0.342086430498079,-0.663050084316736,-0.232226107157245,-0.581269882997244,-0.540967762981891,-0.568294613693758,-0.584060656445267,-0.483122802349189,-0.444249928843128,-0.506554551542766,-0.390552564164489,-0.505429665022857,-0.44035409453402,-0.487551626509157,-0.589389779800193,-0.488285667771473,-0.605527372080987
2,GSM249734,-0.448102377350422,-0.443617309384374,-0.346244170674905,-0.46915752115191,-0.350088997589701,-0.332780139890548,-0.661668287471976,-0.232737764932864,-0.528174526252815,-0.541529047537807,-0.560167114524217,-0.495456881049497,-0.438585572744399,-0.359335558578668,-0.55070972977615,-0.248468943042846,-0.445657099841631,-0.465092500376921,-0.499209188421817,-0.611506777984206,-0.452506939001501,-0.536151641469297
3,GSM249735,-0.398196958491052,-0.420933480600441,-0.311842909661739,-0.312122392255846,-0.366489835223232,-0.208144143611827,-0.460515230765536,-0.124972452313159,-0.480122129104463,-0.378778733267956,-0.451211641004545,-0.40152630996089,-0.329418983963327,-0.240098337845597,-0.2646429604617,-0.250471582399796,-0.364078404275707,-0.326884637635774,-0.465351796019088,-0.567280133778242,-0.434270504841425,-0.466607421272173
4,GSM249736,-0.474691264076144,-0.466162883595149,-0.28986942253024,-0.541877685472925,-0.441121813137265,-0.373857439527321,-0.598507116757305,-0.408435915596099,-0.563418183679444,-0.602766836190178,-0.632115044540431,-0.557242765713337,-0.385515706391211,-0.33227298760348,-0.485497512462727,-0.349562702123003,-0.388736928070682,-0.396966535643182,-0.545829496189904,-0.701107778088974,-0.559839202608596,-0.526381401406297
5,GSM249738,-0.410009515456105,-0.420252636498951,-0.246314016479493,-0.546872477908516,-0.465912357231021,-0.400034299576352,-0.726405148875336,-0.388283651348432,-0.572912908387627,-0.532711963249157,-0.627611213429531,-0.643992939951267,-0.545974841003731,-0.413663633960276,-0.496838497249908,-0.364033948208527,-0.545222590812878,-0.458428433588912,-0.532229270402933,-0.580235329349532,-0.541213957242847,-0.567813790224128
6,GSM249739,-0.418705071041209,-0.455621049914204,-0.342582431099662,-0.566450049403125,-0.369388539317603,-0.357302150271446,-0.710400748452913,-0.29500096859668,-0.619792759402037,-0.616756684552293,-0.635185603902234,-0.602327974605836,-0.418811265898739,-0.24813749499582,-0.3356182762182,-0.303411809026463,-0.3639465882449,-0.302562926577656,-0.425004032348468,-0.505198766791305,-0.491379666344536,-0.525863960899598
7,GSM249740,-0.40454118870898,-0.447625566818537,-0.212941285148343,-0.468172869135663,-0.408878991337317,-0.308224762796492,-0.633110123361685,-0.351027506076405,-0.569187203037233,-0.515687234599211,-0.570798663453439,-0.565533213598381,-0.395372120654563,-0.254818716640292,-0.31377065083746,-0.277771560761459,-0.321119106769587,-0.223681797269947,-0.573990315513673,-0.686253134244093,-0.473968395713962,-0.494821003050593
8,GSM249741,-0.48040540736798,-0.486120105810828,-0.399971922554038,-0.483304385233571,-0.373073595191975,-0.360267493055991,-0.643229337969115,-0.308138160419288,-0.556078340943368,-0.528376980419468,-0.584655335251474,-0.577555836113469,-0.428163878007962,-0.315931072587292,-0.403917589842425,-0.329096374092489,-0.381356176644477,-0.338657747734162,-0.493403700088027,-0.629247795219536,-0.52928902421686,-0.521836905668006
9,GSM249742,-0.514034836683531,-0.560668378432472,-0.364160306094393,-0.525147766965442,-0.43668883677268,-0.361979436375814,-0.718929318381736,-0.322784845657026,-0.595341884310841,-0.58588173820886,-0.618945118748283,-0.596564937337341,-0.400067500958262,-0.269948835381146,-0.441492852092194,-0.269135374630954,-0.377784184689504,-0.362497615518721,-0.519348042770765,-0.629818963864595,-0.458321197425847,-0.495112902295316
10,GSM249743,-0.387263199243333,-0.395092737036216,-0.251110694439943,-0.556074798778133,-0.40797931054879,-0.396891655793219,-0.706624293888253,-0.237887261805475,-0.607168542024102,-0.613407213730322,-0.641991854454167,-0.57439306828241,-0.43323159172241,-0.249188653771631,-0.384930659659919,-0.30365847005125,-0.397418490983272,-0.35573733879218,-0.466815558596846,-0.592781220488304,-0.510076761667012,-0.480191938769348
11,GSM249744,-0.46564838629186,-0.478861166807205,-0.318001996586921,-0.558169471607088,-0.474407967289145,-0.408866142531738,-0.771643776626843,-0.381074102243231,-0.612795773225509,-0.585926823743206,-0.661704653189843,-0.64893075023054,-0.540637642751535,-0.3665473339496,-0.463006084520303,-0.330500270938023,-0.453010760167547,-0.451950100820505,-0.651650205966775,-0.741643804453033,-0.565736761321194,-0.57506483167734
