"","x"
"1","JD 10003_(HTA-2_0).CEL"
"2","JD 10007_(HTA-2_0).CEL"
"3","JD 10014_(HTA-2_0).CEL"
"4","JD 10019_(HTA-2_0).CEL"
"5","JD 10020_(HTA-2_0).CEL"
"6","JD10022_(HTA-2_0).CEL"
"7","JD 10023_(HTA-2_0).CEL"
"8","JD 10040_(HTA-2_0).CEL"
"9","JD 10044_(HTA-2_0).CEL"
"10","JD 10_(HTA-2_0).CEL"
"11","JD 11_(HTA-2_0).CEL"
"12","JD 13_(HTA-2_0).CEL"
"13","JD 14_(HTA-2_0).CEL"
"14","JD 15_(HTA-2_0).CEL"
"15","JD 17_(HTA-2_0).CEL"
"16","JD 18_(HTA-2_0).CEL"
"17","JD 19_(HTA-2_0).CEL"
"18","JD 1_(HTA-2_0).CEL"
"19","JD 20_(HTA-2_0).CEL"
"20","JD 21_(HTA-2_0).CEL"
"21","JD 22_(HTA-2_0).CEL"
"22","JD 23_(HTA-2_0).CEL"
"23","JD 25_(HTA-2_0).CEL"
"24","JD 26_(HTA-2_0).CEL"
"25","JD 27_(HTA-2_0).CEL"
"26","JD 28_(HTA-2_0).CEL"
"27","JD 29_(HTA-2_0).CEL"
"28","JD 2_(HTA-2_0).CEL"
"29","JD 30_(HTA-2_0).CEL"
"30","JD 31_(HTA-2_0).CEL"
"31","JD 32_(HTA-2_0).CEL"
"32","JD 34_(HTA-2_0).CEL"
"33","JD 35_(HTA-2_0).CEL"
"34","JD 36_(HTA-2_0).CEL"
"35","JD 37_(HTA-2_0).CEL"
"36","JD 38_(HTA-2_0).CEL"
"37","JD 39_(HTA-2_0).CEL"
"38","JD 3_(HTA-2_0).CEL"
"39","JD 40_(HTA-2_0).CEL"
"40","JD 41_(HTA-2_0).CEL"
"41","JD 42_(HTA-2_0).CEL"
"42","JD 43_(HTA-2_0).CEL"
"43","JD 44_(HTA-2_0).CEL"
"44","JD 45_(HTA-2_0).CEL"
"45","JD 47_(HTA-2_0).CEL"
"46","JD 48_(HTA-2_0).CEL"
"47","JD 49_(HTA-2_0).CEL"
"48","JD 4_(HTA-2_0).CEL"
"49","JD 50_(HTA-2_0).CEL"
"50","JD 5_(HTA-2_0).CEL"
"51","JD 7_(HTA-2_0).CEL"
"52","JD 8_(HTA-2_0).CEL"
"53","JD 9_(HTA-2_0).CEL"
