"","x"
"1","GSM249732"
"2","GSM249734"
"3","GSM249735"
"4","GSM249736"
"5","GSM249738"
"6","GSM249739"
"7","GSM249740"
"8","GSM249741"
"9","GSM249742"
"10","GSM249743"
"11","GSM249744"
"12","GSM249745"
"13","GSM249746"
"14","GSM249747"
"15","GSM249748"
"16","GSM249749"
"17","GSM249750"
"18","GSM249751"
"19","GSM249752"
"20","GSM249754"
"21","GSM249755"
"22","GSM249756"
"23","GSM249758"
"24","GSM249759"
"25","GSM249760"
"26","GSM249762"
"27","GSM249763"
"28","GSM249764"
"29","GSM249765"
"30","GSM249766"
"31","GSM249767"
"32","GSM249768"
"33","GSM249769"
"34","GSM249770"
"35","GSM249771"
"36","GSM249773"
"37","GSM249774"
"38","GSM249775"
"39","GSM249776"
"40","GSM249777"
"41","GSM249778"
"42","GSM249780"
"43","GSM249781"
"44","GSM249782"
"45","GSM249783"
"46","GSM249784"
"47","GSM249785"
"48","GSM249786"
"49","GSM249788"
"50","GSM249789"
"51","GSM249791"
"52","GSM249793"
"53","GSM249794"
"54","GSM249795"
"55","GSM249796"
"56","GSM249797"
"57","GSM249798"
"58","GSM249799"
"59","GSM249800"
"60","GSM249801"
"61","GSM249802"
"62","GSM249803"
"63","GSM249804"
"64","GSM249805"
"65","GSM249806"
"66","GSM249807"
"67","GSM249808"
"68","GSM249809"
"69","GSM249810"
"70","GSM249811"
"71","GSM249812"
"72","GSM249813"
"73","GSM249814"
"74","GSM249815"
"75","GSM249816"
"76","GSM249817"
"77","GSM249818"
"78","GSM249819"
"79","GSM249820"
"80","GSM249821"
"81","GSM249822"
"82","GSM249823"
"83","GSM249824"
"84","GSM249825"
"85","GSM249826"
"86","GSM249827"
"87","GSM249828"
"88","GSM249829"
"89","GSM249830"
"90","GSM249831"
"91","GSM249832"
"92","GSM249833"
"93","GSM249834"
"94","GSM249835"
"95","GSM249836"
"96","GSM249837"
"97","GSM249838"
"98","GSM249839"
"99","GSM249840"
"100","GSM249841"
"101","GSM249842"
"102","GSM249843"
"103","GSM249844"
"104","GSM249845"
"105","GSM249846"
"106","GSM249847"
"107","GSM249848"
"108","GSM249849"
"109","GSM249850"
"110","GSM249851"
"111","GSM249852"
"112","GSM249854"
"113","GSM249855"
"114","GSM249857"
"115","GSM249858"
"116","GSM249859"
"117","GSM249860"
"118","GSM249861"
"119","GSM249862"
"120","GSM249863"
"121","GSM249864"
"122","GSM249865"
"123","GSM249866"
"124","GSM249867"
"125","GSM249871"
"126","GSM249872"
"127","GSM249873"
"128","GSM249874"
"129","GSM249875"
"130","GSM249876"
"131","GSM249877"
"132","GSM249878"
"133","GSM249879"
"134","GSM249880"
"135","GSM249881"
"136","GSM249883"
"137","GSM249884"
"138","GSM249885"
"139","GSM249886"
"140","GSM249887"
"141","GSM249888"
"142","GSM249889"
"143","GSM249890"
"144","GSM249891"
"145","GSM249893"
"146","GSM249894"
"147","GSM249895"
"148","GSM249896"
"149","GSM249897"
"150","GSM249898"
"151","GSM249899"
"152","GSM249900"
"153","GSM249902"
"154","GSM249903"
"155","GSM249904"
"156","GSM249905"
"157","GSM249906"
"158","GSM249907"
"159","GSM249909"
"160","GSM249911"
"161","GSM249912"
"162","GSM249913"
"163","GSM249914"
"164","GSM249915"
"165","GSM249916"
"166","GSM249917"
"167","GSM249918"
"168","GSM249919"
"169","GSM249920"
"170","GSM249921"
"171","GSM249922"
"172","GSM249923"
"173","GSM249924"
"174","GSM249925"
"175","GSM249926"
"176","GSM249927"
"177","GSM249928"
"178","GSM249929"
"179","GSM249930"
"180","GSM249931"
"181","GSM249932"
"182","GSM249933"
"183","GSM249934"
"184","GSM249935"
"185","GSM249936"
"186","GSM249937"
"187","GSM249938"
"188","GSM249939"
"189","GSM249940"
"190","GSM249941"
"191","GSM249942"
"192","GSM249943"
"193","GSM249944"
"194","GSM249945"
"195","GSM249947"
"196","GSM249949"
"197","GSM249950"
"198","GSM249951"
"199","GSM249953"
"200","GSM249954"
"201","GSM249955"
"202","GSM249956"
"203","GSM249957"
"204","GSM249958"
"205","GSM249959"
"206","GSM249960"
"207","GSM249961"
"208","GSM249962"
"209","GSM249963"
"210","GSM249964"
"211","GSM249965"
"212","GSM249967"
"213","GSM249968"
"214","GSM249969"
"215","GSM249970"
"216","GSM249971"
"217","GSM249972"
"218","GSM249973"
"219","GSM249975"
"220","GSM249976"
"221","GSM249979"
"222","GSM249980"
"223","GSM249981"
"224","GSM249982"
"225","GSM249983"
"226","GSM249984"
"227","GSM249986"
"228","GSM249987"
"229","GSM249988"
"230","GSM249989"
"231","GSM249990"
"232","GSM249991"
"233","GSM249992"
"234","GSM249993"
"235","GSM249994"
"236","GSM249996"
"237","GSM249997"
"238","GSM249998"
"239","GSM249999"
"240","GSM250000"
"241","GSM250001"
