"","x"
"1","GSM794865"
"2","GSM794866"
"3","GSM794867"
"4","GSM794868"
"5","GSM794869"
"6","GSM794870"
"7","GSM794871"
"8","GSM794872"
"9","GSM794873"
"10","GSM794874"
"11","GSM794875"
"12","GSM794876"
"13","GSM794877"
"14","GSM794878"
"15","GSM794879"
"16","GSM794880"
"17","GSM794881"
"18","GSM794882"
"19","GSM794883"
"20","GSM794884"
"21","GSM794885"
"22","GSM794886"
"23","GSM794887"
"24","GSM794888"
"25","GSM794889"
"26","GSM794890"
"27","GSM794891"
"28","GSM794892"
"29","GSM794893"
"30","GSM794894"
"31","GSM794895"
"32","GSM794897"
"33","GSM794898"
"34","GSM794899"
"35","GSM794900"
"36","GSM794901"
"37","GSM794902"
"38","GSM794903"
"39","GSM794904"
"40","GSM794905"
"41","GSM794906"
"42","GSM794907"
"43","GSM794908"
"44","GSM794909"
"45","GSM794910"
"46","GSM794911"
"47","GSM794912"
"48","GSM794913"
"49","GSM794914"
"50","GSM794915"
"51","GSM794916"
"52","GSM794917"
"53","GSM794918"
"54","GSM794919"
"55","GSM794920"
"56","GSM794921"
"57","GSM794922"
"58","GSM794923"
"59","GSM794924"
"60","GSM794925"
"61","GSM794926"
"62","GSM794927"
"63","GSM794928"
"64","GSM794929"
"65","GSM794930"
"66","GSM794931"
"67","GSM794932"
"68","GSM794934"
"69","GSM794936"
"70","GSM794937"
"71","GSM794938"
"72","GSM794939"
"73","GSM794940"
"74","GSM794941"
"75","GSM794942"
"76","GSM794944"
"77","GSM794945"
"78","GSM794946"
"79","GSM794947"
"80","GSM794948"
"81","GSM794949"
"82","GSM794950"
"83","GSM794951"
"84","GSM794952"
"85","GSM794953"
"86","GSM794954"
"87","GSM794955"
"88","GSM794956"
"89","GSM794957"
"90","GSM794958"
"91","GSM794959"
"92","GSM794960"
"93","GSM794961"
"94","GSM794962"
"95","GSM794963"
"96","GSM794964"
"97","GSM794965"
"98","GSM794966"
"99","GSM794967"
"100","GSM794968"
"101","GSM794969"
"102","GSM794970"
"103","GSM794971"
"104","GSM794972"
"105","GSM794973"
"106","GSM794974"
"107","GSM794975"
"108","GSM794976"
"109","GSM794977"
"110","GSM794978"
"111","GSM794979"
"112","GSM794980"
"113","GSM794981"
"114","GSM794982"
"115","GSM794983"
"116","GSM794984"
"117","GSM794985"
"118","GSM794986"
"119","GSM794987"
"120","GSM794988"
"121","GSM794989"
"122","GSM794990"
"123","GSM794991"
"124","GSM794992"
"125","GSM794993"
"126","GSM794994"
"127","GSM794995"
"128","GSM794996"
"129","GSM794997"
"130","GSM794998"
"131","GSM794999"
"132","GSM795000"
"133","GSM795001"
"134","GSM795002"
"135","GSM795003"
"136","GSM795004"
"137","GSM795005"
"138","GSM795006"
"139","GSM795007"
"140","GSM795008"
"141","GSM795009"
"142","GSM795010"
"143","GSM795011"
"144","GSM795012"
"145","GSM795014"
"146","GSM795015"
"147","GSM795016"
"148","GSM795017"
"149","GSM795018"
"150","GSM795019"
"151","GSM795020"
"152","GSM795021"
"153","GSM795022"
"154","GSM795023"
"155","GSM795024"
"156","GSM795025"
"157","GSM795026"
"158","GSM795027"
"159","GSM795028"
"160","GSM795029"
"161","GSM795030"
"162","GSM795031"
"163","GSM795032"
"164","GSM795033"
"165","GSM795034"
"166","GSM795035"
"167","GSM795036"
"168","GSM795037"
"169","GSM795038"
"170","GSM795039"
"171","GSM795040"
"172","GSM795041"
"173","GSM795042"
"174","GSM795043"
"175","GSM795044"
"176","GSM795045"
"177","GSM795046"
"178","GSM795047"
"179","GSM795048"
"180","GSM795049"
"181","GSM795050"
"182","GSM795051"
"183","GSM795052"
"184","GSM795053"
"185","GSM795054"
"186","GSM795055"
"187","GSM795056"
"188","GSM795057"
"189","GSM795058"
"190","GSM795059"
"191","GSM795060"
"192","GSM795061"
"193","GSM795062"
"194","GSM795063"
"195","GSM795064"
"196","GSM795065"
"197","GSM795066"
"198","GSM795067"
"199","GSM795068"
"200","GSM795069"
"201","GSM795070"
"202","GSM795071"
"203","GSM795072"
"204","GSM795073"
"205","GSM795074"
"206","GSM795075"
"207","GSM795076"
"208","GSM795077"
"209","GSM795078"
"210","GSM795079"
"211","GSM795080"
"212","GSM795081"
"213","GSM795082"
"214","GSM795083"
"215","GSM795084"
"216","GSM795085"
"217","GSM795086"
"218","GSM795087"
"219","GSM795088"
"220","GSM795089"
"221","GSM795090"
"222","GSM795091"
"223","GSM795092"
"224","GSM795093"
"225","GSM795094"
"226","GSM795095"
"227","GSM795096"
"228","GSM795097"
"229","GSM795098"
"230","GSM795099"
"231","GSM795100"
"232","GSM795101"
"233","GSM795102"
"234","GSM795103"
"235","GSM795104"
"236","GSM795105"
"237","GSM795106"
"238","GSM795107"
"239","GSM795108"
"240","GSM795109"
"241","GSM795110"
"242","GSM795111"
"243","GSM795112"
"244","GSM795113"
"245","GSM795114"
"246","GSM795115"
"247","GSM795116"
"248","GSM795117"
"249","GSM795118"
"250","GSM795119"
"251","GSM795120"
"252","GSM795121"
"253","GSM795122"
"254","GSM795123"
"255","GSM795124"
