"","x"
"1","X62"
"2","X151"
"3","X131"
"4","X111"
"5","X3"
"6","X122"
"7","X155"
"8","X145"
"9","X69"
"10","X123"
"11","X100"
"12","X102"
"13","X9"
"14","X149"
"15","X150"
"16","X139"
"17","X99"
"18","X85"
"19","X121"
"20","X71"
"21","X72"
"22","X81"
"23","X78"
"24","X95"
"25","X154"
"26","X65"
"27","X113"
"28","X148"
"29","X137"
"30","X51"
"31","X47"
"32","X2"
"33","X28"
"34","X125"
"35","X42"
"36","X11"
"37","X117"
"38","X86"
"39","X66"
"40","X50"
"41","X20"
"42","X138"
"43","X114"
"44","X119"
"45","X36"
"46","X12"
"47","X25"
"48","X30"
"49","X43"
"50","X10"
"51","X143"
"52","X61"
"53","X37"
"54","X4"
"55","X41"
"56","X19"
"57","X40"
"58","X1"
"59","X118"
"60","X135"
"61","X48"
"62","X63"
"63","X120"
"64","X53"
"65","X49"
"66","X144"
"67","X147"
"68","X74"
"69","X29"
"70","X8"
"71","X26"
"72","X89"
"73","X126"
"74","X14"
"75","X57"
"76","X108"
"77","X79"
"78","X76"
"79","X33"
"80","X140"
"81","X27"
"82","X13"
"83","X22"
"84","X7"
"85","X44"
"86","X59"
"87","X87"
"88","X31"
"89","X73"
"90","X127"
"91","X56"
"92","X136"
"93","X23"
"94","X153"
"95","X104"
"96","X110"
"97","X96"
"98","X142"
"99","X15"
"100","X82"
"101","X88"
"102","X130"
"103","X109"
"104","X91"
"105","X21"
"106","X133"
"107","X6"
"108","X90"
"109","X58"
"110","X128"
"111","X46"
"112","X141"
"113","X67"
"114","X75"
"115","X54"
"116","X60"
"117","X157"
"118","X134"
"119","X35"
"120","X5"
"121","X116"
"122","X17"
"123","X105"
"124","X84"
"125","X32"
"126","X101"
"127","X77"
"128","X24"
"129","X124"
"130","X93"
