"","GSE32062.GPL6480_eset_ClusterK2_SAMD_1","GSE32062.GPL6480_eset_ClusterK2_SAMD_2","GSE32062.GPL6480_eset_ClusterK3_SAMD_1","GSE32062.GPL6480_eset_ClusterK3_SAMD_2","GSE32062.GPL6480_eset_ClusterK3_SAMD_3","GSE32062.GPL6480_eset_ClusterK4_SAMD_1","GSE32062.GPL6480_eset_ClusterK4_SAMD_2","GSE32062.GPL6480_eset_ClusterK4_SAMD_3","GSE32062.GPL6480_eset_ClusterK4_SAMD_4"
"GSE32062.GPL6480_eset_ClusterK2_SAMD_1",1,-1,-0.985438260788601,0.581797140076866,0.590463553422753,-0.968626760222228,0.412435108853136,0.62924153972322,3.88248676436699e-06
"GSE32062.GPL6480_eset_ClusterK2_SAMD_2",-1,1,0.985438260788601,-0.581797140076866,-0.590463553422753,0.968626760222228,-0.412435108853136,-0.62924153972322,-3.88248676436699e-06
"GSE32062.GPL6480_eset_ClusterK3_SAMD_1",-0.985438260788601,0.985438260788601,1,-0.591038850910235,-0.594450077439176,0.982445347638179,-0.430509915885947,-0.630917065326895,0.0117150273217477
"GSE32062.GPL6480_eset_ClusterK3_SAMD_2",0.581797140076866,-0.581797140076866,-0.591038850910235,1,-0.284104844025793,-0.594207328806543,0.861986431387963,-0.2206291143005,0.293706882129485
"GSE32062.GPL6480_eset_ClusterK3_SAMD_3",0.590463553422753,-0.590463553422753,-0.594450077439176,-0.284104844025793,1,-0.565564520818091,-0.338381561205987,0.979124346292345,-0.307450868359278
"GSE32062.GPL6480_eset_ClusterK4_SAMD_1",-0.968626760222228,0.968626760222228,0.982445347638179,-0.594207328806543,-0.565564520818091,1,-0.408822644734385,-0.606845355144081,-0.0895701794223643
"GSE32062.GPL6480_eset_ClusterK4_SAMD_2",0.412435108853136,-0.412435108853136,-0.430509915885947,0.861986431387963,-0.338381561205987,-0.408822644734385,1,-0.294305417491018,-0.105675253282563
"GSE32062.GPL6480_eset_ClusterK4_SAMD_3",0.62924153972322,-0.62924153972322,-0.630917065326895,-0.2206291143005,0.979124346292345,-0.606845355144081,-0.294305417491018,1,-0.334394530996288
"GSE32062.GPL6480_eset_ClusterK4_SAMD_4",3.88248676436699e-06,-3.88248676436699e-06,0.0117150273217477,0.293706882129485,-0.307450868359278,-0.0895701794223643,-0.105675253282563,-0.334394530996288,1
