"","GSE26712_eset_ClusterK2_SAMD_1","GSE26712_eset_ClusterK2_SAMD_2","GSE26712_eset_ClusterK3_SAMD_1","GSE26712_eset_ClusterK3_SAMD_2","GSE26712_eset_ClusterK3_SAMD_3","GSE26712_eset_ClusterK4_SAMD_1","GSE26712_eset_ClusterK4_SAMD_2","GSE26712_eset_ClusterK4_SAMD_3","GSE26712_eset_ClusterK4_SAMD_4"
"GSE26712_eset_ClusterK2_SAMD_1",1,-1,-0.421318449535092,0.947457757058537,-0.869153532665343,-0.299423703062179,-0.862698607056398,0.898876223314565,-0.0575561753768626
"GSE26712_eset_ClusterK2_SAMD_2",-1,1,0.421318449535092,-0.947457757058537,0.869153532665343,0.299423703062179,0.862698607056398,-0.898876223314565,0.0575561753768626
"GSE26712_eset_ClusterK3_SAMD_1",-0.421318449535092,0.421318449535092,1,-0.610328509424313,0.0087801578349716,0.96980569139851,0.0221204937951023,-0.603222232547198,0.0820058851213087
"GSE26712_eset_ClusterK3_SAMD_2",0.947457757058537,-0.947457757058537,-0.610328509424313,1,-0.783523716636372,-0.500902711821369,-0.738490994401986,0.97161128484423,-0.146215192994331
"GSE26712_eset_ClusterK3_SAMD_3",-0.869153532665343,0.869153532665343,0.0087801578349716,-0.783523716636372,1,-0.109626982853471,0.91472770169566,-0.761490397120003,0.190982104887335
"GSE26712_eset_ClusterK4_SAMD_1",-0.299423703062179,0.299423703062179,0.96980569139851,-0.500902711821369,-0.109626982853471,1,-0.0770889902480209,-0.486373306307323,-0.0134146484087812
"GSE26712_eset_ClusterK4_SAMD_2",-0.862698607056398,0.862698607056398,0.0221204937951023,-0.738490994401986,0.91472770169566,-0.0770889902480209,1,-0.653090594318419,-0.182432297810475
"GSE26712_eset_ClusterK4_SAMD_3",0.898876223314565,-0.898876223314565,-0.603222232547198,0.97161128484423,-0.761490397120003,-0.486373306307323,-0.653090594318419,1,-0.33371585105925
"GSE26712_eset_ClusterK4_SAMD_4",-0.0575561753768626,0.0575561753768626,0.0820058851213087,-0.146215192994331,0.190982104887335,-0.0134146484087812,-0.182432297810475,-0.33371585105925,1
