"","GSE26712_eset_ClusterK2_SAMD_1","GSE26712_eset_ClusterK2_SAMD_2","GSE26712_eset_ClusterK3_SAMD_1","GSE26712_eset_ClusterK3_SAMD_2","GSE26712_eset_ClusterK3_SAMD_3","GSE26712_eset_ClusterK4_SAMD_1","GSE26712_eset_ClusterK4_SAMD_2","GSE26712_eset_ClusterK4_SAMD_3","GSE26712_eset_ClusterK4_SAMD_4"
"GSE26712_eset_ClusterK2_SAMD_1",1,-1,-0.74227466249233,-0.236077981481825,0.979254390744756,-0.251181032126419,-0.0886104708604796,-0.717083001747647,0.977784192502847
"GSE26712_eset_ClusterK2_SAMD_2",-1,1,0.74227466249233,0.236077981481825,-0.979254390744756,0.251181032126419,0.0886104708604796,0.717083001747647,-0.977784192502847
"GSE26712_eset_ClusterK3_SAMD_1",-0.74227466249233,0.74227466249233,1,-0.422462820352762,-0.695834538714855,-0.126318342025873,-0.293939957829622,0.995814377316975,-0.697502610452596
"GSE26712_eset_ClusterK3_SAMD_2",-0.236077981481825,0.236077981481825,-0.422462820352762,1,-0.311376602295802,0.506435794660173,0.635495610544696,-0.441579406790612,-0.309563919688248
"GSE26712_eset_ClusterK3_SAMD_3",0.979254390744756,-0.979254390744756,-0.695834538714855,-0.311376602295802,1,-0.286099755245603,-0.145770682492383,-0.672241905853795,0.996391671699447
"GSE26712_eset_ClusterK4_SAMD_1",-0.251181032126419,0.251181032126419,-0.126318342025873,0.506435794660173,-0.286099755245603,1,-0.306780045883515,-0.154268168207587,-0.277172337406069
"GSE26712_eset_ClusterK4_SAMD_2",-0.0886104708604796,0.0886104708604796,-0.293939957829622,0.635495610544696,-0.145770682492383,-0.306780045883515,1,-0.298944609659176,-0.15657775412455
"GSE26712_eset_ClusterK4_SAMD_3",-0.717083001747647,0.717083001747647,0.995814377316975,-0.441579406790612,-0.672241905853795,-0.154268168207587,-0.298944609659176,1,-0.674716009722687
"GSE26712_eset_ClusterK4_SAMD_4",0.977784192502847,-0.977784192502847,-0.697502610452596,-0.309563919688248,0.996391671699447,-0.277172337406069,-0.15657775412455,-0.674716009722687,1
