"","GSE32062.GPL6480_eset_ClusterK2_SAMD_1","GSE32062.GPL6480_eset_ClusterK2_SAMD_2","GSE32062.GPL6480_eset_ClusterK3_SAMD_1","GSE32062.GPL6480_eset_ClusterK3_SAMD_2","GSE32062.GPL6480_eset_ClusterK3_SAMD_3","GSE32062.GPL6480_eset_ClusterK4_SAMD_1","GSE32062.GPL6480_eset_ClusterK4_SAMD_2","GSE32062.GPL6480_eset_ClusterK4_SAMD_3","GSE32062.GPL6480_eset_ClusterK4_SAMD_4"
"GSE32062.GPL6480_eset_ClusterK2_SAMD_1",1,-1,-0.996228839079219,0.460211659305587,0.785519115926077,-0.993764161705075,0.434373119562992,0.514019986882815,0.697046904781438
"GSE32062.GPL6480_eset_ClusterK2_SAMD_2",-1,1,0.996228839079219,-0.460211659305587,-0.785519115926077,0.993764161705075,-0.434373119562992,-0.514019986882815,-0.697046904781438
"GSE32062.GPL6480_eset_ClusterK3_SAMD_1",-0.996228839079219,0.996228839079219,1,-0.466763609454649,-0.784148077837237,0.996033020044406,-0.440052291806161,-0.515748117212894,-0.691019257331829
"GSE32062.GPL6480_eset_ClusterK3_SAMD_2",0.460211659305587,-0.460211659305587,-0.466763609454649,1,-0.169518556637456,-0.438316988492911,0.966985344353383,-0.270469293571893,0.201968023342796
"GSE32062.GPL6480_eset_ClusterK3_SAMD_3",0.785519115926077,-0.785519115926077,-0.784148077837237,-0.169518556637456,1,-0.799489878060006,-0.17790249898436,0.777215722518229,0.631248596831442
"GSE32062.GPL6480_eset_ClusterK4_SAMD_1",-0.993764161705075,0.993764161705075,0.996033020044406,-0.438316988492911,-0.799489878060006,1,-0.413560473187835,-0.551162324613722,-0.679520555486606
"GSE32062.GPL6480_eset_ClusterK4_SAMD_2",0.434373119562992,-0.434373119562992,-0.440052291806161,0.966985344353383,-0.17790249898436,-0.413560473187835,1,-0.243595543939412,0.111256963691934
"GSE32062.GPL6480_eset_ClusterK4_SAMD_3",0.514019986882815,-0.514019986882815,-0.515748117212894,-0.270469293571893,0.777215722518229,-0.551162324613722,-0.243595543939412,1,0.0412859204179812
"GSE32062.GPL6480_eset_ClusterK4_SAMD_4",0.697046904781438,-0.697046904781438,-0.691019257331829,0.201968023342796,0.631248596831442,-0.679520555486606,0.111256963691934,0.0412859204179812,1
