"","TCGA_eset_ClusterK2_SAMD_1","TCGA_eset_ClusterK2_SAMD_2","TCGA_eset_ClusterK3_SAMD_1","TCGA_eset_ClusterK3_SAMD_2","TCGA_eset_ClusterK3_SAMD_3","TCGA_eset_ClusterK4_SAMD_1","TCGA_eset_ClusterK4_SAMD_2","TCGA_eset_ClusterK4_SAMD_3","TCGA_eset_ClusterK4_SAMD_4"
"TCGA_eset_ClusterK2_SAMD_1",1,-1,-0.710114290635426,0.966528378559589,-0.383307940928849,-0.645946678571606,0.931859386562475,-0.639254226223214,0.296028006734539
"TCGA_eset_ClusterK2_SAMD_2",-1,1,0.710114290635426,-0.966528378559589,0.383307940928849,0.645946678571606,-0.931859386562475,0.639254226223214,-0.296028006734539
"TCGA_eset_ClusterK3_SAMD_1",-0.710114290635426,0.710114290635426,1,-0.585488492465837,-0.330405772132516,0.984981824055962,-0.517824288673883,0.120150278496874,-0.626173944641254
"TCGA_eset_ClusterK3_SAMD_2",0.966528378559589,-0.966528378559589,-0.585488492465837,1,-0.547896720767262,-0.518318793021167,0.982721244199825,-0.676593446857847,0.128002560258396
"TCGA_eset_ClusterK3_SAMD_3",-0.383307940928849,0.383307940928849,-0.330405772132516,-0.547896720767262,1,-0.391070098158673,-0.597585395940626,0.661457719384848,0.543980747918003
"TCGA_eset_ClusterK4_SAMD_1",-0.645946678571606,0.645946678571606,0.984981824055962,-0.518318793021167,-0.391070098158673,1,-0.460366630219492,-0.00837470778433424,-0.575811119861181
"TCGA_eset_ClusterK4_SAMD_2",0.931859386562475,-0.931859386562475,-0.517824288673883,0.982721244199825,-0.597585395940626,-0.460366630219492,1,-0.63644127235924,-7.9836001490559e-05
"TCGA_eset_ClusterK4_SAMD_3",-0.639254226223214,0.639254226223214,0.120150278496874,-0.676593446857847,0.661457719384848,-0.00837470778433424,-0.63644127235924,1,-0.235218079025589
"TCGA_eset_ClusterK4_SAMD_4",0.296028006734539,-0.296028006734539,-0.626173944641254,0.128002560258396,0.543980747918003,-0.575811119861181,-7.9836001490559e-05,-0.235218079025589,1
