"","GSE9891_eset_ClusterK2_SAMD_1","GSE9891_eset_ClusterK2_SAMD_2","GSE9891_eset_ClusterK3_SAMD_1","GSE9891_eset_ClusterK3_SAMD_2","GSE9891_eset_ClusterK3_SAMD_3","GSE9891_eset_ClusterK4_SAMD_1","GSE9891_eset_ClusterK4_SAMD_2","GSE9891_eset_ClusterK4_SAMD_3","GSE9891_eset_ClusterK4_SAMD_4"
"GSE9891_eset_ClusterK2_SAMD_1",1,-1,-0.973304828574152,0.700739996704007,0.511616160461462,-0.92663124556715,0.693184174738186,-0.353313499380289,0.759862610663931
"GSE9891_eset_ClusterK2_SAMD_2",-1,1,0.973304828574152,-0.700739996704007,-0.511616160461462,0.92663124556715,-0.693184174738186,0.353313499380289,-0.759862610663931
"GSE9891_eset_ClusterK3_SAMD_1",-0.973304828574152,0.973304828574152,1,-0.591604256474106,-0.636948449306075,0.973193979131315,-0.585333040701221,0.183456145773395,-0.783180294430737
"GSE9891_eset_ClusterK3_SAMD_2",0.700739996704007,-0.700739996704007,-0.591604256474106,1,-0.217082638778612,-0.532612329063402,0.997032417114382,-0.643583358938139,0.159699474505801
"GSE9891_eset_ClusterK3_SAMD_3",0.511616160461462,-0.511616160461462,-0.636948449306075,-0.217082638778612,1,-0.653623821629629,-0.22371579075467,0.391695068818521,0.830599942733096
"GSE9891_eset_ClusterK4_SAMD_1",-0.92663124556715,0.92663124556715,0.973193979131315,-0.532612329063402,-0.653623821629629,1,-0.525579809726407,0.0232047095258863,-0.739580603707086
"GSE9891_eset_ClusterK4_SAMD_2",0.693184174738186,-0.693184174738186,-0.585333040701221,0.997032417114382,-0.22371579075467,-0.525579809726407,1,-0.641321139270097,0.14215130350611
"GSE9891_eset_ClusterK4_SAMD_3",-0.353313499380289,0.353313499380289,0.183456145773395,-0.643583358938139,0.391695068818521,0.0232047095258863,-0.641321139270097,1,-0.128464864260708
"GSE9891_eset_ClusterK4_SAMD_4",0.759862610663931,-0.759862610663931,-0.783180294430737,0.159699474505801,0.830599942733096,-0.739580603707086,0.14215130350611,-0.128464864260708,1
