B cells,Plasma Cells,CD8 T,CD4 T,Gamma delta T,NK,Monocytes and Macrophages,Dendritic,Mast,Eos,PMNs
1,3,4,5,10,11,13,17,19,21,22
2,,,6,,12,14,18,20,,
,,,7,,,15,,,,
,,,8,,,16,,,,
,,,9,,,,,,,
