,Sample,T cells,CD8 T cells,Cytotoxic lymphocytes,NK cells,B lineage,Monocytic lineage,Myeloid dendritic cells,Neutrophils,Endothelial cells,Fibroblasts
1,GSM249714,4.51086875,3.97788,4.17047333333333,3.971256875,4.743536,5.842587,4.56985714285714,4.62310684210526,4.90757979591837,7.88339611111111
2,GSM249715,4.54482791666667,4.204215,4.09707416666667,4.04023,4.784574,5.551095,5.07181142857143,4.50195526315789,4.86218673469388,7.20219888888889
3,GSM249716,4.50060583333333,4.208445,4.4219225,4.219403125,4.6716815,6.030753,5.43986714285714,4.89004736842105,4.98148408163265,7.46545166666667
4,GSM249717,4.39541958333333,4.0073,4.48198,4.07745375,4.79111,5.747967,4.42076,4.59429894736842,5.1221087755102,8.42993888888889
5,GSM249718,4.69216291666667,4.46693,4.3776875,4.0012775,4.779289,6.604528,5.03635285714286,5.08567052631579,5.23859530612245,7.83775
6,GSM249719,4.69254916666667,4.253615,4.33197583333333,4.067903125,4.73124,6.016501,5.68768428571429,5.12951947368421,5.13529510204082,7.94655444444444
7,GSM249720,4.63589166666667,4.290805,4.69262666666667,4.197568125,4.702513,6.275836,4.72771285714286,4.86769368421053,5.23466571428571,8.69162944444444
8,GSM249721,4.66872916666667,4.195755,4.10175916666667,3.96178625,4.4509555,6.677415,6.07660714285714,4.8721552631579,4.84509571428571,7.97161111111111
9,GSM249722,4.22402041666667,3.95167,3.91209416666667,3.850416875,4.8432245,5.533213,4.29813571428571,4.49584947368421,4.72811612244898,6.64083166666667
10,GSM249723,4.27786625,3.968985,3.91591833333333,4.01935875,4.7114565,5.555316,4.44666,4.66983894736842,4.97230081632653,8.12049722222222
11,GSM249724,4.34188041666667,4.195475,4.23248583333333,3.95856,4.614086,5.959303,4.69924,4.91124368421053,4.96720693877551,7.59710722222222
12,GSM249725,4.49478625,3.98001,4.20098833333333,3.994698125,4.578392,5.834406,4.68529428571429,4.74825789473684,4.98111714285714,8.25095944444444
13,GSM249726,4.51541708333333,4.098705,3.97395666666667,4.167014375,4.7200945,5.854455,4.73806285714286,4.53837578947368,5.1249387755102,8.63952888888889
14,GSM249727,4.54777791666667,3.80143,4.052725,3.977620625,4.422463,6.16353,4.83224142857143,4.81313684210526,4.94637836734694,7.46929944444444
15,GSM249728,4.56519916666667,4.057995,4.3503,4.07197625,4.653442,6.082139,5.35564428571429,4.84972736842105,5.02210285714286,8.35457333333333
16,GSM249729,4.73217791666667,4.439675,4.49342583333333,4.05753375,4.579959,5.651598,5.34615571428571,5.15340105263158,5.00667367346939,7.85498888888889
17,GSM249730,4.59207083333333,3.990235,4.05860083333333,3.95387625,4.55155,5.621475,4.48095857142857,4.64567578947368,4.86803755102041,7.99800944444444
18,GSM249731,4.357975,4.11702,4.03079583333333,3.933640625,4.706864,5.595349,4.36017714285714,4.59896789473684,4.90240673469388,7.68099111111111
19,GSM249732,4.82760166666667,4.19565,4.10221916666667,3.940683125,4.181136,5.562675,4.95802714285714,4.61502,4.90859265306122,7.96797833333333
