,Sample,T cells,CD8 T cells,Cytotoxic lymphocytes,NK cells,B lineage,Monocytic lineage,Myeloid dendritic cells,Neutrophils,Endothelial cells,Fibroblasts
1,GSM249714,0.86125738038744,0.986053897770195,NA,0.986437942085993,NA,NA,NA,0.889306708050025,NA,NA
2,GSM249715,0.84490848228615,0.959219446976487,NA,0.979446925310012,NA,NA,NA,0.926043134797494,NA,NA
3,GSM249716,0.865958439073069,0.958466056658152,NA,0.946075662015233,NA,NA,NA,0.767028887831169,NA,NA
4,GSM249717,0.907888378093329,0.983797682733021,NA,0.97454187969742,NA,NA,NA,0.899046017032453,NA,NA
5,GSM249718,0.759954605143719,0.887076631349017,NA,0.983697866869353,NA,NA,NA,0.643286946888681,NA,NA
6,GSM249719,0.759702938725124,0.949697973680047,NA,0.975885586087473,NA,NA,NA,0.612619337080313,NA,NA
7,GSM249720,0.795044544862052,0.94142211641748,NA,0.951632353862727,NA,NA,NA,0.779481760677263,NA,NA
8,GSM249721,0.774951279288981,0.960692958688943,NA,0.987215452797637,NA,NA,NA,0.777027196085315,NA,NA
9,GSM249722,0.954194642080568,0.987830399570655,NA,0.993838903358811,NA,NA,NA,0.927611930798357,NA,NA
10,GSM249723,0.942273533824002,0.986680364260068,NA,0.981828696620132,NA,NA,NA,0.872107570020107,NA,NA
11,GSM249724,0.925071006353783,0.960740976791103,NA,0.987471364082862,NA,NA,NA,0.754868617980344,NA,NA
12,GSM249725,0.868574992661968,0.985900168075817,NA,0.98433589534343,NA,NA,NA,0.839245353590746,NA,NA
13,GSM249726,0.859138465023688,0.974695730933714,NA,0.958628557885048,NA,NA,NA,0.916141075218078,NA,NA
14,GSM249727,0.843430539687323,0.994692941086841,NA,0.985892860443213,NA,NA,NA,0.808220198099812,NA,NA
15,GSM249728,0.834514085633165,0.97917503370678,NA,0.975319993646084,NA,NA,NA,0.789207917245331,NA,NA
16,GSM249729,0.73313463729556,0.897273968960322,NA,0.977276513339877,NA,NA,NA,0.595601947035696,NA,NA
17,GSM249730,0.820129685781272,0.985141699807702,NA,0.98783498895227,NA,NA,NA,0.881219346888173,NA,NA
18,GSM249731,0.920184475292197,0.972431545324889,NA,0.989302814727503,NA,NA,NA,0.897511452986603,NA,NA
19,GSM249732,0.663633051501806,0.96071097107481,NA,0.98881048770166,NA,NA,NA,0.892106257575723,NA,NA
20,GSM249733,0.935752924310506,0.642872580143175,NA,0.983184749848832,NA,NA,NA,0.915581834974711,NA,NA
21,GSM249734,0.869985330025069,0.900803600628572,NA,0.976737599203773,NA,NA,NA,0.780528095062674,NA,NA
22,GSM249735,0.558270253432855,0.907072442971833,NA,0.97145382345808,NA,NA,NA,0.912752249942244,NA,NA
23,GSM249736,0.766750825717626,0.978798791537245,NA,0.986742972031447,NA,NA,NA,0.33222641248486,NA,NA
24,GSM249737,0.800823103366234,0.940001672978654,NA,0.975958031813558,NA,NA,NA,0.876599745390917,NA,NA
25,GSM249738,0.840341958056263,0.906801805815592,NA,0.978639583274251,NA,NA,NA,0.864941270736266,NA,NA
26,GSM249739,0.788317405301452,0.981726662035107,NA,0.971569218393183,NA,NA,NA,0.913539254934257,NA,NA
27,GSM249740,0.818975239170877,0.981821537943644,NA,0.989034964205856,NA,NA,NA,0.918716463446184,NA,NA
28,GSM249741,0.829031007407602,0.966869161448479,NA,0.988280594582787,NA,NA,NA,0.895154488945581,NA,NA
29,GSM249742,0.90596993406453,0.983214020495818,NA,0.987145372133709,NA,NA,NA,0.91733252922166,NA,NA
