"","GSE32062.GPL6480_eset_ClusterK2_SAMD_1","GSE32062.GPL6480_eset_ClusterK2_SAMD_2","GSE32062.GPL6480_eset_ClusterK3_SAMD_1","GSE32062.GPL6480_eset_ClusterK3_SAMD_2","GSE32062.GPL6480_eset_ClusterK3_SAMD_3","GSE32062.GPL6480_eset_ClusterK4_SAMD_1","GSE32062.GPL6480_eset_ClusterK4_SAMD_2","GSE32062.GPL6480_eset_ClusterK4_SAMD_3","GSE32062.GPL6480_eset_ClusterK4_SAMD_4"
"A1CF",1.47890017421082,-1.47890017421082,-0.928088661793672,0.305313297786478,0.529473068020154,-1.00615615705492,-1.01332027837882,0.729411921660717,1.01660239319619
"AAAS",6.68518859964195,-6.68518859964195,-6.69415398224875,5.12083771845234,0.887633865764248,-5.93290545895142,5.10095802959685,1.27532887709347,-0.925921367900456
"AACS",3.28195789210636,-3.28195789210636,-1.84478575798527,1.18333260539169,0.567383041041323,-2.16392315429174,0.721449495923675,0.260097031199043,1.26225913618398
"AADAC",1.98198109405211,-1.98198109405211,-0.725743222818037,-3.00701004747149,3.69581284446453,-0.638719036008026,-2.87591328846311,5.01377429323228,-2.33569187027239
"AAK1",-0.415435989224324,0.415435989224324,0.961512231789616,-2.82805797228755,1.75979548748652,-0.0821001178049776,-2.45753807851446,2.97534402813687,-1.48044965648349
"AAMDC",2.8728178729964,-2.8728178729964,-2.72412612782971,0.0712032584254942,2.17781326683965,-3.28574807528242,0.130744118863841,2.58866468456937,-0.488592499873958
"AAMP",5.51062926998002,-5.51062926998002,-5.72204492523391,2.33203372397639,2.82716665954289,-5.54434576675416,1.49660578893069,3.17552070279643,0.624311802266874
"AARS",2.67150527332257,-2.67150527332257,-1.3831993579177,1.90893569019251,-0.727282935371152,-1.34916077431422,1.6097531844376,0.872709438680997,-1.61053173460962
"AASDHPPT",5.34836159707404,-5.34836159707404,-5.48496826533918,2.25974350301481,2.2550206861925,-5.61264962605517,0.835284527009912,3.18917679789323,0.239499983885359
"AASS",-4.15375913537842,4.15375913537842,4.61836175371737,2.55392362086629,-5.71766384991637,3.86272610682949,1.67339721213938,-5.35619885420269,2.35646751382833
"AATF",1.92101833147562,-1.92101833147562,-1.14824504080093,3.06524570936755,-1.78474625775223,-0.26866094044702,2.12713056094173,-1.9008833227939,0.486922360945006
"AATK",0.0529079179317668,-0.0529079179317668,-1.35129749662329,2.34674130928441,-1.30941818574469,-0.933005741630055,2.62237299696007,-1.64913613063512,0.138150239136394
"ABAT",2.40332070137768,-2.40332070137768,-2.08292803210096,2.71885164269665,-0.87063961723321,-3.03551090577362,1.36602884985248,0.578327397633036,0.669981214046792
"ABCA1",-7.17685100802859,7.17685100802859,7.65830319359344,-7.17556911609094,0.119866643506169,7.549543712652,-2.64451751980271,-1.34370791094766,-3.11005799819798
"ABCA12",1.52835577992993,-1.52835577992993,-1.03440886881514,-0.333596522398421,1.3038725140271,-1.39908589941706,-1.84250956885072,2.49179190352253,-0.0444219633913101
