"","GSE9891_eset_ClusterK2_SAMD_1","GSE9891_eset_ClusterK2_SAMD_2","GSE9891_eset_ClusterK3_SAMD_1","GSE9891_eset_ClusterK3_SAMD_2","GSE9891_eset_ClusterK3_SAMD_3","GSE9891_eset_ClusterK4_SAMD_1","GSE9891_eset_ClusterK4_SAMD_2","GSE9891_eset_ClusterK4_SAMD_3","GSE9891_eset_ClusterK4_SAMD_4"
"A1CF",2.48811974985491,-2.48811974985491,-2.41308296535352,-0.950530328296737,2.86957522165017,-2.96160347750102,-1.99485852235392,1.90783595381325,2.75113886859699
"AAAS",4.34865214480125,-4.34865214480125,-4.98107541982497,3.27808050833334,1.26364899514572,-5.02340265398311,3.01133223291864,1.18556088999221,0.768138968248746
"AACS",2.40908435132612,-2.40908435132612,-3.36824298860399,2.09811237161254,0.992593108158973,-2.10143925545134,0.209944607771915,1.00656298944801,0.974373117030549
"AADAC",-2.1338857889996,2.1338857889996,-0.575432302987906,-5.12920510373477,4.46666281496914,1.66587601602359,-4.35966234004156,1.97995859702424,-0.210860290038888
"AAK1",-2.15278444838612,2.15278444838612,0.401196056548196,-3.99004821618376,2.99318388080461,1.84462801692003,-4.44603506936427,1.43396476309113,0.607253267811507
"AAMDC",-2.20856688658546,2.20856688658546,0.609270398567505,-1.95911565960224,1.14906063446753,-0.262051886925303,-1.22044522303998,1.73623287770035,-0.824230448750017
"AAMP",3.09443572522982,-3.09443572522982,-5.30200157670113,2.21389586861055,2.50968544660663,-4.78314762904246,1.61788114060674,1.90547705486271,1.36305254307443
"AARS",1.13197072177603,-1.13197072177603,-1.65823780547743,1.29395464437181,0.372731166299427,-1.97546473231499,1.39633119672213,1.55364581572156,-0.719559677716305
"AASDHPPT",3.26460432268519,-3.26460432268519,-3.13827159989583,3.44079638004572,-0.435759093520011,-3.48166998825325,3.84311167505627,-1.46369452024064,1.23142253426259
"AASS",0.936074217460445,-0.936074217460445,2.06751159034635,4.28526309517048,-6.67151052511198,0.618206149806428,3.67916381579917,-3.17646942917048,-2.69465184068171
"AATF",3.21550401154388,-3.21550401154388,-4.37943756821911,3.94031285217125,-0.595419611984119,-3.25474766484413,3.42172845205275,-1.24256608078656,0.273737703260501
"AATK",2.53195495828378,-2.53195495828378,-1.8579863411283,-0.00523520568970541,1.72699639075025,-1.38081630228856,-0.253504294691572,-0.70819517478114,2.04370161358155
"ABAT",1.70780850880255,-1.70780850880255,-2.17771421315324,4.79438718338096,-2.05753971716838,-2.0791337842364,3.59765447188246,-0.506534609640647,-1.08112695164053
"ABCA1",-9.15821912994986,9.15821912994986,7.6130519356968,-7.00877055891918,-0.0636643909580515,8.77526667301193,-6.08051322525551,0.431363831218424,-2.59368413570841
"ABCA12",-0.329219974549205,0.329219974549205,-1.34636714205995,-0.896155964958805,1.7922362758851,-0.170077992192659,-0.972124223324217,1.43515091948268,-0.347560638556097
"ABCA2",3.41338886541761,-3.41338886541761,-2.55425328751836,3.97596257820966,-1.16347526667403,-2.40347659705587,2.64781568585977,-1.46783368471994,1.09799625731812
"ABCA3",3.5698726147517,-3.5698726147517,-4.14562284047024,3.22806278522678,0.810693236465398,-5.77030449208707,2.68253971606491,1.67793062319061,1.56205408568909
"ABCA4",3.27397721976105,-3.27397721976105,-1.43110939925063,1.48954075324895,-0.0356464634384329,-2.5377056702386,1.43985960816932,-0.375798862734164,1.61997706498357
"ABCA5",-1.23895352139684,1.23895352139684,2.68339484496535,-0.758368718710643,-1.44369872125383,2.07854623053769,-0.595893108589482,-1.10565738358969,-0.296215611935331
"ABCA6",-6.05959626521978,6.05959626521978,5.60228497011668,-3.77281773077487,-2.38712830940922,5.91886915284041,-1.81770644886603,-5.85897047968907,-1.49418990539592
"ABCA8",-5.9295172558493,5.9295172558493,6.79468595470618,-3.51650602436389,-3.00156427826618,6.83436493581638,-2.06008904868584,-7.15211081321268,-0.0123232906743869
"ABCB1",-3.14214702030829,3.14214702030829,1.37850341675256,-1.37659255003768,0.528720120856294,2.78477367434341,-3.99356786446207,-1.49081848335305,1.00694357299209
"ABCB4",-3.77105780466134,3.77105780466134,3.47554638192626,-1.14920154878014,-2.04316033767999,4.4185015455442,-0.581713750696065,-2.84642139371502,-2.34132846548409
"ABCB7",0.609228330100098,-0.609228330100098,-2.50178240763067,-1.65646936773874,3.854967440695,-2.49463065977647,-2.66640119757657,2.1826734261849,3.37766897639791
"ABCB9",1.58477383479111,-1.58477383479111,-4.34302436877544,-0.922806707720201,4.63408999730688,-1.93528376905382,-1.7328106899817,2.04264609605841,2.28835827185925
"ABCC1",-0.979200720669674,0.979200720669674,3.12125146716551,2.69458858532845,-5.29299226902959,1.5671596146316,3.90195774117086,-3.44924600587087,-1.93340101815992
"ABCC10",-1.80869924235421,1.80869924235421,3.72234389812024,-0.838110313156157,-2.34868598891627,2.2315845307145,1.13479357667936,-1.1987889556046,-2.20017575643652
"ABCC2",2.67660276603929,-2.67660276603929,-2.4282177875051,-0.246335023145085,2.24703233044025,-2.17840250638782,-1.20613335862037,1.04852542843607,2.09868159642251
"ABCC3",-4.35955410909706,4.35955410909706,3.78607176502638,-4.20220210071958,0.0611471443738991,3.77424431277214,-3.36539492079764,-1.36494860056566,0.120358341306927
"ABCC4",-0.0765380936299413,0.0765380936299413,-0.758965903490443,-1.66475826249489,2.1155234972128,-0.215633164673524,-3.43188576454776,0.874510428605946,2.35982672901291
"ABCC5",0.985130508665369,-0.985130508665369,2.35878228813752,3.21304377016457,-5.10296975842977,0.653070905470067,2.10057895188587,-1.50718421450137,-1.43158796063403
"ABCC6",0.952806561210193,-0.952806561210193,0.0457737722131228,1.56827551957178,-1.90423325513017,-0.680416902525185,0.868838972247934,-0.361025207668595,0.128684395310596
"ABCC8",3.11603202797965,-3.11603202797965,-2.92332928696364,0.887543617849739,1.58491073535872,-2.2347825358088,-0.151436199105516,0.767894432944954,1.20498593711244
"ABCC9",-4.72115802921081,4.72115802921081,4.37315020833935,-2.28058001541699,-1.73126875503183,4.82330372988167,-2.03201868706049,0.25926806317797,-3.74115929814109
"ABCD3",1.31447996131777,-1.31447996131777,0.321426430824539,-0.181539605310351,-0.14491199303488,-0.749061722740533,-0.559862345373777,0.511676481803322,0.727450387811796
"ABCE1",0.565316537401916,-0.565316537401916,-2.55022706336927,0.9331921543089,1.29404892655262,-2.1242932953941,-0.151618535378737,2.15615300691322,0.41781618201292
"ABCF1",0.142784365331331,-0.142784365331331,-0.513759106838922,0.523714030104656,-0.158653037272501,-0.932973251987446,2.62111805979522,1.54439427584278,-3.4170420121496
"ABCF2",1.3219212090641,-1.3219212090641,-1.83575228003509,0.417049174770805,1.15067769428611,-1.87321789353589,0.382872290011262,0.849178704542184,0.584307529463372
"ABCG2",2.65069771368628,-2.65069771368628,-3.82854640716539,0.777292846646233,2.2687331801993,-3.36748749290107,0.645745928855087,-1.91396498483719,3.77252217395219
"ABCG4",3.71857603770244,-3.71857603770244,-4.05961357148495,1.03906505482226,2.65186964240401,-4.2352289334491,-0.703255890576742,0.29056173099945,4.27698479654425
"ABHD10",1.64550636331946,-1.64550636331946,-1.84895479691497,1.57719624078326,0.0354709122575942,-2.62313090500258,-0.331810464218727,-0.310996674619052,3.10864613159319
"ABHD11",0.687066670963666,-0.687066670963666,-2.30781068466563,-4.17673643963101,6.0413550260732,-0.244303229656092,-4.24864459767248,2.21517304919633,1.89638192997591
"ABHD14A",1.25682477699442,-1.25682477699442,-1.35990844834695,-0.216727643665461,1.45724259725164,-0.692736273426947,-0.782140283230996,0.361823350958247,1.18907372550881
"ABHD17B",-0.122197419859165,0.122197419859165,0.267389557683166,2.98575176996658,-3.20955017560923,-0.920215442089087,3.0391010481507,-0.374398578400548,-1.89914798777858
"ABHD2",-6.21062659731873,6.21062659731873,7.07932656318445,-3.35402619658789,-2.42180304119289,7.64082203936163,-3.42965925626158,-2.43617568874318,-1.49623728134777
"ABHD3",-4.97368416822822,4.97368416822822,2.51130016051862,-3.96732389927001,2.00791816223664,3.85104339772755,-3.86856280619071,4.1358405872485,-2.9949867954675
"ABHD4",-1.24025740931906,1.24025740931906,2.43476145523133,0.144940365889342,-2.23966213478889,2.24679285427676,0.0319830516942712,-0.58208884590377,-1.81370521216287
"ABHD5",-1.54211242447177,1.54211242447177,2.22742733902811,-4.56042122351374,1.84069998211789,2.47317223322396,-2.98853878733905,1.45796834047221,-1.34518197468464
"ABHD6",-1.50014309736924,1.50014309736924,2.54931312169772,-1.12638068484851,-0.920714585175883,3.11129687574904,-1.60336095098906,-0.877966281023108,-0.182638444865134
"ABHD8",2.5199447793345,-2.5199447793345,-3.29195740987351,2.36810569849047,0.697038295884704,-3.13307546560243,1.86811183980758,2.64841465129205,-0.898269735538941
"ABI1",-5.89213798558734,5.89213798558734,2.96048756431301,-4.88788234648161,1.61175198837954,3.80223744241366,-4.18247988940841,0.453189071925497,-0.350954849886112
"ABI2",4.85464812256865,-4.85464812256865,-1.77304165083763,7.82871940918374,-4.72039211269789,-3.1678268786747,7.31173178272386,-3.89402672975469,0.929675328130972
"ABI3BP",-2.0503577096634,2.0503577096634,2.74367317107158,-0.416833818708334,-1.89426450259045,2.62980904947521,-0.596284412067278,-1.57205052385493,-0.363161461941106
"ABL1",-2.72558901100552,2.72558901100552,4.7328297164107,3.02030399330919,-7.17986376361736,4.36972104944094,5.22506011097311,-4.55012185975797,-5.11488949375449
"ABL2",-1.24965266261462,1.24965266261462,4.81605256889168,4.11902090013492,-8.66089869039348,3.70901633311663,4.28777260378492,-4.3073228233141,-3.75017068891343
"ABLIM3",-4.02199375922557,4.02199375922557,2.7625856758287,-3.18442721905129,0.513270965324755,4.76566135248802,-6.43242117916334,-1.24894717929506,1.04999971547233
"ABR",-6.49205580049911,6.49205580049911,6.46784852147661,-2.05411411790464,-2.95423956447735,6.88012239391574,-1.13168869798204,-1.33491387299141,-4.07798064212311
"ABT1",1.55846898855059,-1.55846898855059,-2.33921865349909,2.55220974654407,-0.502265144542089,-3.19358663181424,4.1599055574683,0.0432998521554188,-1.44915860260102
"ABTB2",4.24397552770433,-4.24397552770433,-1.86657752220202,4.99961744998523,-3.14856252258377,-4.19168628502066,5.2691000514495,-0.83148019503773,-0.805464205224805
"ACAA1",-2.29010512028511,2.29010512028511,0.73501068111459,-3.76081493355258,2.91337801331878,1.96749955745756,-4.58785133169485,2.3586087315065,0.593375848732131
"ACAA2",-0.554584475648303,0.554584475648303,1.66258213878353,2.19700910622341,-3.31874767857858,1.24565350389106,3.7184720499905,0.54900886659026,-4.92049412146654
"ACACA",0.168578265144386,-0.168578265144386,0.584709172496003,1.66825266031878,-1.90497918394909,0.0869038075957707,2.22325593400586,-0.394804365023429,-1.56713496511962
"ACAD10",2.93700510620405,-2.93700510620405,-4.31603970589794,1.71105690923351,2.31694655144155,-3.38847293051928,0.639438907297022,0.177732712439444,3.14042457232751
"ACAD8",3.01424546299878,-3.01424546299878,-2.20401826364496,2.88531528659289,-0.553047066497643,-3.04337467483977,1.04436821538997,-0.0612926029993881,2.06027897827279
"ACADL",-0.58645694189764,0.58645694189764,2.23837947430262,0.650635826420497,-3.021836250578,1.93683536764383,0.755920005855823,-5.82933763251379,-0.0140541573899901
"ACADM",2.58180441799834,-2.58180441799834,-2.84654031726316,1.56184481968163,0.862392076764111,-3.26920766189058,0.85632176820641,0.7799234369955,1.48724136586388
"ACADS",0.9304529723101,-0.9304529723101,-3.67435533805437,-1.56768875455086,4.51575195396708,-2.0971446232507,-2.24320295131328,2.6148442944098,1.7299395587368
"ACADSB",3.00650976484756,-3.00650976484756,-1.86320202935185,2.13692189931478,-0.555962334659879,-1.91078911113294,0.168262023560519,-1.25914891857378,2.58871080139868
"ACADVL",-1.69586252055528,1.69586252055528,1.29390634563432,-1.02569215904891,-0.075257001325594,1.50200053030394,-1.32727237076782,0.681643516998422,-0.633936019907341
"ACAN",-2.39147851285175,2.39147851285175,2.09496767291974,-2.76337081555909,0.334473880152337,1.69532271443732,-0.635520394591362,0.374149918443195,-1.53187564369141
"ACAP1",0.34426815958795,-0.34426815958795,-2.15207478201236,-1.44046612916784,3.08391000108483,-1.10357458691592,-1.28780581087382,0.143868665126809,2.14524746231712
"ACAP2",0.236640001970723,-0.236640001970723,-0.382079077918843,1.93247026011879,-1.38949073196505,-0.565052258478789,0.675746818655787,1.84514321310598,-2.12320498297951
"ACAT1",0.511321158716406,-0.511321158716406,-1.87449000883006,-1.96170759943551,3.64182613765899,-1.3300703458487,-3.51572447911312,2.38594783856663,2.66970465355054
"ACAT2",-2.19252994637487,2.19252994637487,0.152010257964384,-1.48647774181983,1.20537475966324,1.72267216998082,-0.356958183481348,4.01654948739965,-4.6520770975421
"ACBD3",-2.43464137368499,2.43464137368499,0.457467031076241,-2.14165913404338,1.66694534806084,1.03924187015301,-1.97494219008894,-0.306857484906026,1.33442103303355
"ACBD4",1.75104452472964,-1.75104452472964,-3.15619528541889,0.0267459875839166,2.69835783221456,-2.88788964114634,-1.34077696308768,0.878525420513385,3.18426411619962
"ACD",-0.12812380033982,0.12812380033982,-0.60029207642105,2.18378904159871,-1.48871338780044,-1.04369191126032,1.51350484928299,0.136794022869787,-0.427451465254104
"ACE",-1.07067097809522,1.07067097809522,-1.76347549280257,-1.77557751978559,3.044164322964,-0.237772019945903,-1.36920361015281,1.97458318523906,-0.368198404951065
"ACE2",1.04159532090196,-1.04159532090196,-2.19086930207812,-2.32485026710924,3.96244968641682,-1.46823704746764,-4.81416911642755,2.78868819159849,1.88491754860684
"ACHE",1.02377515910144,-1.02377515910144,-1.92311975779778,-0.668739398391315,2.37213057883904,-2.71517623491795,-0.124884457643289,1.1949893714929,1.68725624978319
"ACKR2",-1.72353886568837,1.72353886568837,1.72145331923656,-5.22322041139024,1.81700107773125,2.04120613282328,-4.95625347975258,-1.03940680104824,2.50825593092555
"ACKR3",-2.19453279263396,2.19453279263396,6.78243635164327,2.8059037945815,-8.22819512770464,4.56810534494129,4.63371047774022,-1.78869184923958,-7.40913438935978
"ACKR4",-6.20485927632274,6.20485927632274,4.91009724663267,-4.45429098451064,-2.39859397590454,5.78116031418452,-2.53501556407377,-2.55416844027304,-5.6585477880915
"ACO2",-3.17012480983247,3.17012480983247,-1.37001912286098,-4.75337400654784,6.25995679348246,1.11233718659278,-5.29913444197281,3.5297195990049,1.58996558130464
"ACOT11",2.38055099343395,-2.38055099343395,-2.45301461273304,0.718010650105047,1.43289868259374,-3.01584604588114,-1.00266671998206,1.06116609704533,2.32503799680466
"ACOT13",-1.55846141051688,1.55846141051688,0.561403478519247,-0.755790101910716,0.28804401506875,0.550470018204879,1.57505029569604,0.881314971470911,-3.0096472864914
"ACOT7",-0.116164614006341,0.116164614006341,-0.226799450846189,0.062992796277461,0.136081110833542,-0.447172108377535,1.75005552418176,2.18294635547789,-3.29731727074413
"ACOT8",3.6314864933637,-3.6314864933637,-2.38502195124536,3.1680702414725,-0.806762210114444,-2.14296446785488,3.50658474502966,-0.919537770728816,-0.410009687093851
"ACOT9",-6.42479562069089,6.42479562069089,6.46189817355586,-6.43998408063494,0.18867378851076,5.69516237539229,-4.39541614361709,1.99123251211809,-3.54603362489239
"ACOX1",-3.79376785020476,3.79376785020476,3.95230214406947,-1.80938417884785,-1.9553258056763,3.39205601112677,-1.33816322215519,-2.33781410797411,0.140776723626592
"ACOX2",-0.440737914788987,0.440737914788987,-1.67279747936063,-1.58955882797744,2.66843689862553,-1.05475848974242,-2.43906174376422,0.424182198702898,2.65133452804587
"ACOX3",-3.00881688435225,3.00881688435225,3.40376899928527,-1.31391934735907,-2.00988701943015,3.87043306878092,-0.399515151521066,-2.59975869404977,-1.20756378366912
"ACOXL",3.15278331727706,-3.15278331727706,-2.74221955133195,0.476761140964541,1.95174324479142,-4.45545079300628,0.580115100832531,2.9126748807446,0.300621809798656
"ACP1",4.80100873759579,-4.80100873759579,-1.50450562411273,5.3674711017939,-3.59415052276788,-4.03481892304749,5.82439796800096,-1.77281497078935,0.020014553530565
"ACP2",-5.32159400608284,5.32159400608284,1.91174315179504,-3.45797742148876,1.50109453338837,2.88948903759698,-1.8758076094444,4.36415167577163,-5.00015349106912
"ACP5",-7.63287505334641,7.63287505334641,2.29052499120814,-8.2963864739193,3.70896341379535,4.57484179499114,-8.19590279621572,4.47262159566096,-3.5591874955577
"ACP6",3.71231152925367,-3.71231152925367,-2.05911710237605,1.70030510839473,0.308046532311713,-2.72435981523886,-0.368440608484214,-1.37581285494715,4.79367139277925
"ACPP",-1.14821955568004,1.14821955568004,-3.05015583485021,-3.8126635545343,5.39393582326346,-1.00321941374046,-3.04830285366748,2.42116649731938,1.28293060095558
"ACR",0.867114893554203,-0.867114893554203,-0.628225211878235,-0.228109400624452,0.802964808386027,-0.980112576002164,-0.0788374217480855,0.513531366023774,0.773633277581897
"ACRV1",3.89462298044468,-3.89462298044468,-4.6083323900849,0.53464148668286,3.27738080674242,-4.8813005578614,0.28157746014904,2.9505627851799,1.82144779674194
