"","TCGA_eset_ClusterK2_SAMD_1","TCGA_eset_ClusterK2_SAMD_2","TCGA_eset_ClusterK3_SAMD_1","TCGA_eset_ClusterK3_SAMD_2","TCGA_eset_ClusterK3_SAMD_3","TCGA_eset_ClusterK4_SAMD_1","TCGA_eset_ClusterK4_SAMD_2","TCGA_eset_ClusterK4_SAMD_3","TCGA_eset_ClusterK4_SAMD_4"
"A1CF",1.50662394424414,-1.50662394424414,-3.17875914139015,-0.0895792881912404,2.7189506571203,-3.81880931394027,-1.37274560499092,0.607129399265082,3.60722964283749
"AAAS",9.87545646625292,-9.87545646625292,-6.89770707059521,8.11551098944763,-2.03065036190715,-6.31844130681273,7.89465572269445,-2.23521938143013,-0.500219592003629
"AACS",4.69148884314188,-4.69148884314188,-5.97479190496638,2.5224748509972,2.52900535615506,-5.07148493663401,2.80515944777255,-1.18289801447409,2.19473967535123
"AADAC",-1.60153270977934,1.60153270977934,0.935761617810288,-3.93899478125114,2.38822593182582,-1.01331200294132,-3.98214874237046,3.94515044880309,0.0217105910403035
"AAK1",0.792974018141686,-0.792974018141686,-1.85256244542392,-0.28948968431508,1.80263588211334,-0.940652453982871,-3.52584030430891,-3.4102738974421,6.83082701127605
"AAMDC",-0.0697625643760236,0.0697625643760236,-3.68179288706188,-0.429876262686158,3.34292635084453,-4.11026339702128,-0.606532275423519,1.96179569913641,1.79512193276112
"AAMP",6.14457931432047,-6.14457931432047,-6.91680117633055,4.08942707438229,2.21285102043232,-5.58969242013804,3.0238025580635,0.0988453568540537,1.6767806128733
"AARS",1.12796583754924,-1.12796583754924,-1.48799695417176,1.02482541358105,0.248925182791609,-1.44363143928732,1.58193163011464,1.41363640142929,-1.65072047547106
"AASDHPPT",2.19567640238639,-2.19567640238639,0.287066635435597,2.07722421962927,-2.37299633482051,-0.304972257557409,2.73567896263792,-2.2632186479739,-0.349339230216531
"AASS",3.58033303460297,-3.58033303460297,0.47619639681657,2.90128734641352,-3.40280094115135,2.23933947801945,1.31779926788083,-4.35188402109215,0.18714223005044
"AATF",4.99452527732091,-4.99452527732091,-3.96644010369141,4.66937977640212,-0.680816025421764,-2.39549219952438,4.68418912361601,-2.71695526483146,0.502989211863326
"AATK",2.17228265641443,-2.17228265641443,-1.47214606487099,1.00016536407525,0.225797566468719,-0.948308557837394,-0.0336489680962875,-2.9165963628192,2.69071663432335
"ABAT",6.66144120177654,-6.66144120177654,-5.69381219733174,4.90747029818435,0.162865222361635,-4.44368593930582,3.15372597458365,-1.39510916540996,1.78631389937091
"ABCA1",-6.30883328799737,6.30883328799737,7.70528440179945,-5.74971963704041,-1.0201402900917,8.29554726118856,-6.8668553412632,-1.50419936344935,1.61324175598834
"ABCA12",0.154781348293471,-0.154781348293471,0.0900207399159295,-1.03421615634863,0.857558224476625,-0.533336520216749,-0.627542377868022,1.41688004213638,-0.414053742865119
"ABCA2",3.55369332022543,-3.55369332022543,-2.0133119850228,3.3705931690874,-1.48697866357617,-0.831482338435257,0.695319412722459,-5.0757047701482,4.41099462867019
"ABCA3",3.73557364335919,-3.73557364335919,-4.87579700958017,3.36591520253077,0.853369716185056,-3.69210116931122,0.608264461114144,-2.72080249610681,4.67645418922728
"ABCA4",0.314198647318382,-0.314198647318382,-1.51133329226489,0.636958021787086,0.779210664680382,-1.00371546267392,-0.748692043161468,-3.13417371908646,3.62375024886662
"ABCA5",0.502885851758069,-0.502885851758069,-0.805386797808642,0.179222523349372,0.505064431001303,-0.770608307265788,-0.802757322434077,-0.246303718363929,1.65951455827605
"ABCA6",-3.86925984145899,3.86925984145899,6.32825984272865,-3.22464427289599,-4.47791033968494,6.26749596805299,-4.17507258980303,-4.45129774983119,-0.807016324662699
"ABCA8",-2.19977642339169,2.19977642339169,5.4558531245678,-0.118722679216455,-5.99375609329369,5.4923534472865,-0.284531341131513,-4.94804206227062,-1.85961621319975
"ABCB1",-2.46210505805644,2.46210505805644,-0.0542175507649326,-0.870940119781073,0.823096985545136,-0.0253018689860046,-1.11961570399816,1.9099423158446,-0.49123970721844
"ABCB4",-2.92511053633919,2.92511053633919,2.29883169096357,-2.650039423523,0.146572060586612,1.30472225107815,-2.81360949366824,3.29988847709303,-2.21016339115315
"ABCB7",0.301173817653929,-0.301173817653929,-3.07577722988628,-1.12205613944714,3.7051806230427,-3.64553186311271,-1.35929271692223,2.23970138758354,2.26240490117721
"ABCB9",2.40467685704223,-2.40467685704223,-2.93519115577834,1.41179111842063,1.13733442691174,-1.69602478036155,0.706663412817263,-0.77118527672655,1.45460518185357
"ABCC1",4.4661492128174,-4.4661492128174,-1.29556345989358,5.8233755863895,-4.6782544441542,-0.0315464620884436,4.41933610050714,-5.88841708274939,1.16184038383051
"ABCC10",2.38465882182062,-2.38465882182062,-1.53637930135692,1.92273242130886,-0.453321492558698,-0.682590426078215,2.21388172151317,-3.77928659804733,1.69445133569833
"ABCC2",1.57821898062338,-1.57821898062338,-1.74142449373639,0.811697278480994,1.00382024982841,-1.12560494663924,1.02709880025266,0.356086575410181,-0.0174187347343469
"ABCC3",-6.74861618427115,6.74861618427115,4.00460035779619,-6.23265289931779,1.41054757979819,3.44817237442168,-6.76679429625842,1.55195248548831,0.823362956030257
"ABCC4",-0.0194873342000769,0.0194873342000769,-2.11700079709989,-1.08423254227815,2.73638909346879,-3.40954102218447,-1.14742588945812,1.70938013224996,2.04837254837462
"ABCC5",1.62415548266677,-1.62415548266677,0.327043219305967,2.19534444186172,-2.40791971363404,0.64988022404554,2.08354208710504,-3.28777507299686,0.575217639274705
"ABCC6",3.28733763230877,-3.28733763230877,-3.18220552293241,0.82993070564557,1.86282822983651,-3.15123727438085,1.18002593594982,-0.277977570535343,1.50433661359955
"ABCC8",-0.00382301328557109,0.00382301328557109,-3.5677405285048,-1.83216928832803,4.9462549335366,-4.85553191538428,0.252952466727796,3.77722373869613,-0.00935756076783322
"ABCC9",1.70001026110389,-1.70001026110389,-0.709660783749434,0.483899518393562,0.14704309441766,-0.579173640744085,0.711282914281418,-2.45787892293349,1.63647472010054
