"","mayo.eset_ClusterK2_SAMD_1","mayo.eset_ClusterK2_SAMD_2","mayo.eset_ClusterK3_SAMD_1","mayo.eset_ClusterK3_SAMD_2","mayo.eset_ClusterK3_SAMD_3","mayo.eset_ClusterK4_SAMD_1","mayo.eset_ClusterK4_SAMD_2","mayo.eset_ClusterK4_SAMD_3","mayo.eset_ClusterK4_SAMD_4"
"A1CF",0.705663035331384,-0.705663035331384,0.245189171861165,-0.0235168005298211,-0.206433798684914,0.664423692498257,0.340874969790956,-0.211661707128382,-1.01884131717036
"AAAS",5.78941490045798,-5.78941490045798,-3.39020875950593,5.02967869860175,-2.28602873260403,-0.634617624801966,3.44088221040531,-4.7070624111344,1.20526126877864
"AACS",3.85447305054535,-3.85447305054535,-3.85339404551685,2.80839000724693,0.324562020593089,-2.17073652056428,0.67815458427275,-2.78392901312559,3.7984226836393
"AADAC",-0.108014343382665,0.108014343382665,-3.52844882430127,-2.55955921136747,5.42166161682804,-3.85031109110704,-1.42432957243594,1.14364949006285,3.5283442104883
"AAK1",-0.107223804786037,0.107223804786037,-1.74325038211302,-1.14940431594313,2.36714897767693,-1.63170561070115,-1.67229575506967,1.7493308137446,1.27319142119192
"AAMDC",0.649161891807196,-0.649161891807196,-1.86663767962602,-0.54097851019576,2.13572629056209,-0.428798506414549,-1.0973018526552,-1.8384736348888,3.20323385549235
"AAMP",5.22328391482913,-5.22328391482913,-6.16782324925315,3.55043754666606,1.84891488575861,-4.70171011113691,3.29696735690042,-3.12815556834701,4.2275983271571
"AARS",-0.154867510729406,0.154867510729406,-1.94241256351053,-0.408108954470572,2.05948078155708,-2.58147499776591,0.506794645140872,2.06088283463286,-0.126967551068354
"AASDHPPT",3.50215133892521,-3.50215133892521,-2.57173621050546,3.24679470858502,-1.13119125295581,-1.69886275960898,3.30310337000917,-1.47688796930846,-0.377186327455149
"AASS",1.50981718694259,-1.50981718694259,3.58283823259687,4.84128534709214,-8.76832343212067,6.00992991673731,3.9617486006227,-3.42804117075906,-6.74390949645184
