"","TCGA_eset_ClusterK2_SAMD_1","TCGA_eset_ClusterK2_SAMD_2","TCGA_eset_ClusterK3_SAMD_1","TCGA_eset_ClusterK3_SAMD_2","TCGA_eset_ClusterK3_SAMD_3","TCGA_eset_ClusterK4_SAMD_1","TCGA_eset_ClusterK4_SAMD_2","TCGA_eset_ClusterK4_SAMD_3","TCGA_eset_ClusterK4_SAMD_4"
"A1CF",1.45883234668362,-1.45883234668362,-3.05886847193487,-0.207780274943717,2.68305284869143,-3.7154663484644,-1.22930603913052,-0.284408382148817,3.98688808672774
"AAAS",9.4136296319982,-9.4136296319982,-6.68152979132444,7.95649467551942,-2.07573968012395,-6.18492544414388,7.57840827956332,-3.51329865978407,1.03923008535261
"AACS",3.43292572699517,-3.43292572699517,-5.5527895570326,2.33222400717338,2.32549709053654,-4.81239503043249,1.85280712417379,-1.48625615692692,3.51458845185781
"AADAC",-2.56748996748166,2.56748996748166,0.528556256273042,-3.6669857215051,2.42440746723056,-0.0395054947109382,-4.72357906541409,2.25666776233131,1.23425566980021
"AAK1",-0.299359970235998,0.299359970235998,-2.11975943689755,-1.42895159320814,3.05923008331911,-1.13171544055746,-2.97495309401809,-3.04767499429521,5.74814131406104
"AAMDC",-0.303822130454439,0.303822130454439,-3.53736516996335,-0.960048535796896,3.698415808205,-3.89034479981197,-1.17526641585287,1.2452875717489,2.84798113789373
"AAMP",5.60991922686063,-5.60991922686063,-6.56145083166981,4.08554367404244,1.94750771351571,-6.07711608377543,4.38572159700316,-1.10365368509814,2.69857796277205
"AARS",1.27637926677751,-1.27637926677751,-1.65086464938983,1.79249833327254,-0.235519197005929,-1.28285463936237,1.88046596693565,2.16946897776157,-2.4547098853394
"AASDHPPT",2.06297028619706,-2.06297028619706,0.922698048113422,1.94210276795681,-2.66158003865003,0.928324376512047,3.19331865722807,-2.48348911715936,-1.51065768204811
"AASS",3.0031182320908,-3.0031182320908,0.870972587961021,2.74900319229617,-3.53808258556893,1.43760049059143,2.36612612881206,-5.07643180015442,-0.187347829591013
"AATF",5.65982130850239,-5.65982130850239,-3.79023133863266,4.69474804574925,-0.733013595129452,-3.04543659223179,4.76108989189952,-2.39512865616728,0.977457849301397
"AATK",1.9187084278278,-1.9187084278278,-1.59588079653372,0.816117206738978,0.52165088408989,-1.01090921502811,0.408500377221695,-2.1044803381073,1.84002898403727
"ABAT",6.26276491244621,-6.26276491244621,-5.52121232885463,4.42115828454809,0.541774290505946,-4.72687074199842,4.21544399035338,-2.3259732258371,2.20655671111171
"ABCA1",-6.26411950823605,6.26411950823605,7.49793024971551,-6.41633515385661,-0.286540618180619,8.77494493978153,-5.7304150922312,-0.690698073866357,-1.42725025048347
"ABCA12",-0.117719907598703,0.117719907598703,-0.169257013673826,-0.721404077555382,0.784749952802365,-0.168798349872575,-1.38731702359843,-0.454092346990878,1.51678343349874
"ABCA2",3.93290552967632,-3.93290552967632,-2.31015111816072,2.70631998041439,-0.526642594601855,-1.17058420904672,2.80434987020309,-4.04124373661025,1.61006403246704
"ABCA3",3.52460913776762,-3.52460913776762,-4.87309330721496,2.73379905276635,1.47565160861524,-4.11046607540397,2.10583368246406,-1.99157359635917,3.24370997997787
"ABCA4",0.590882782856537,-0.590882782856537,-1.72993430244723,0.756781561925923,0.889002542368745,-1.12294549227578,-0.487057578271241,-1.91947236475674,3.04192587080443
"ABCA5",0.0929262713023139,-0.0929262713023139,-1.17431475889587,-0.230945666577446,1.2035517658434,-0.77200694206739,-1.62954089457595,-0.676121568411925,2.5452208209647
"ABCA6",-3.99349797871681,3.99349797871681,6.40868713894564,-3.50923611207458,-4.38630534313338,6.37084955743754,-3.34281955551209,-4.40252214949443,-2.00723644946832
"ABCA8",-2.06782320478425,2.06782320478425,5.67592474414188,-0.553274048959751,-5.56988658412876,5.50159752536656,-0.156024474693552,-3.79407005963201,-3.05391148402741
"ABCB1",-2.62268502915847,2.62268502915847,-0.170706793232068,-1.76030639502535,1.47015862632518,-0.477781270533519,-2.08870084700899,2.96958098809024,-0.798785087545257
"ABCB4",-2.69671533741538,2.69671533741538,2.1109635877487,-2.10179322099622,-0.256560233747189,1.38257161683865,-2.36584633631955,2.72088650538688,-2.09483289495471
"ABCB7",0.750673068603043,-0.750673068603043,-3.14638205431079,-1.02604235279412,3.59909813292856,-3.40119752690695,-2.045734546347,0.56079891699486,4.41772443079949
"ABCB9",2.07520299555984,-2.07520299555984,-2.83133219557567,1.59263775426727,0.78590651806574,-2.15713356242388,0.93375344992812,-0.676532470172193,1.55169456269037
"ABCC1",4.95303781424188,-4.95303781424188,-1.45262375746347,5.77319720072349,-4.36155485204345,-0.0732821745026278,4.19408591014333,-5.05411249711442,0.523398857192659
"ABCC10",1.8327726887217,-1.8327726887217,-1.68789234164084,1.61884134246158,0.0130899412625958,-0.971890239828178,1.36762742918581,-2.50969634227024,1.7557867255765
"ABCC2",1.97181565938371,-1.97181565938371,-1.88248873206155,0.98161308323406,1.01088602600945,-1.56681715276164,0.661282087565452,0.402392180587526,0.736295329366906
"ABCC3",-7.11365318446391,7.11365318446391,3.29970963973095,-6.76092709080279,2.08113989859447,3.16806896052804,-6.1801314332302,1.97842893676548,-0.366951888838718
"ABCC4",-0.837186510330873,0.837186510330873,-2.55822318222444,-1.73036474915578,3.58629474221189,-3.02893280461468,-2.25045289980083,0.938908834485217,3.50930817443244
"ABCC5",1.40598308566253,-1.40598308566253,-0.471819339332346,2.13427465162143,-1.62381737740129,0.234063509656479,2.15160955524916,-2.26988076044088,-0.241871081693338
"ABCC6",2.61037127645363,-2.61037127645363,-2.63582487292473,1.11795715706568,1.08618480653143,-2.23666195104957,1.37135869311878,-0.652167731570395,1.1771044090987
"ABCC8",0.0481250144954313,-0.0481250144954313,-3.30157553703367,-1.0920888259867,3.9038656347077,-4.57233722091049,-0.731407922413786,3.27159614489298,1.87530827767871
