"","mayo.eset_ClusterK2_SAMD_1","mayo.eset_ClusterK2_SAMD_2","mayo.eset_ClusterK3_SAMD_1","mayo.eset_ClusterK3_SAMD_2","mayo.eset_ClusterK3_SAMD_3","mayo.eset_ClusterK4_SAMD_1","mayo.eset_ClusterK4_SAMD_2","mayo.eset_ClusterK4_SAMD_3","mayo.eset_ClusterK4_SAMD_4"
"A1CF",0.196473790789487,-0.196473790789487,-0.324999875545202,0.283373174536648,0.0493970692758005,0.033796131198564,0.0940484525829942,0.141364180889894,-0.358053409624546
"AAAS",4.88114238772896,-4.88114238772896,-4.35330980966924,4.73589190864422,-0.245284947297948,-2.24163499503822,4.07742502985223,-4.68508206659471,2.23497711770228
"AACS",3.73197226694028,-3.73197226694028,-4.62372417057732,1.62912872261126,2.87199692015618,-3.04390878328581,1.27890199235072,-2.18927069419838,3.84044453289832
"AADAC",-0.0878006727064274,0.0878006727064274,-1.24722795973655,-2.79518869606135,3.55209451310294,-2.63986670721687,-2.51336416748746,3.30465306637355,1.42240018185656
"AAK1",0.241573452543267,-0.241573452543267,-0.955289891066861,-1.83061583031538,2.34267576113666,-1.32767239045311,-1.77766798011289,2.0630534755432,0.735978496838178
"AAMDC",0.6470418847619,-0.6470418847619,-2.3437536676272,-1.10420929734485,3.1796596449801,-1.10356537403424,-0.473558870433609,-0.317983119245936,1.84816679245012
"AAMP",5.46239902539689,-5.46239902539689,-6.87558291252708,2.46686328890704,4.42646232364082,-3.95101690405716,2.34347480106708,-1.94233928753994,3.78833652516951
"AARS",0.340094611977964,-0.340094611977964,-2.24545521092576,0.873280428484035,1.38877209081427,-1.82629137797439,1.51890585890167,0.970608316072096,-0.510466106531847
"AASDHPPT",3.04332778754338,-3.04332778754338,-3.52606774031356,3.86901879695391,0.085516684895616,-2.91385040150566,3.53902328303718,-0.723607475106782,0.225988904099151
"AASS",0.679863285616106,-0.679863285616106,2.24524695834463,4.50038645062877,-6.86594009263493,4.52061015434433,4.64823127136708,-5.56052990610582,-4.51753070816466
"AATF",3.68251371614914,-3.68251371614914,-3.20676623279212,3.81532826342918,-0.758133667971656,-2.83629714201956,3.68514835828036,-1.76240853704886,0.154224967950991
"AATK",3.38484848642563,-3.38484848642563,-2.03610555571435,1.32337798167374,0.803067316250919,-0.947794583242976,1.11214439223994,-4.17597185929133,2.98880837378599
"ABAT",2.13166485639703,-2.13166485639703,-2.12390093551682,3.07320958575862,-0.939784996851805,-2.8175395598472,3.66719261418298,-0.0515770693906214,-1.15689490504823
"ABCA1",-8.78576371688497,8.78576371688497,6.50402025476839,-6.41003863719018,-0.74047298496895,5.08080574199084,-6.26657911659327,4.18173031913375,-3.53254787638973
"ABCA12",1.61640654486767,-1.61640654486767,-1.58340838854151,0.119268487737826,1.37822986525599,-0.822073162039847,-0.108949385136988,-1.4182417689518,2.15145136348463
"ABCA2",0.682709426787293,-0.682709426787293,1.43442610504655,0.413927817341087,-1.75489339168197,1.82274189587347,-1.26818470368409,-2.70617179269416,1.85001301661149
"ABCA3",2.652299372166,-2.652299372166,-2.3330735848454,2.06321668994063,0.360489146487608,-1.51238262283785,1.5101291549638,-1.49869429374259,1.33041363289386
"ABCA4",3.81303050560067,-3.81303050560067,-4.28159873093127,2.33062002738993,1.70346488623411,-3.48258564011434,2.07326771614393,-1.07110083433215,1.80229586069465
"ABCA5",0.583345197030927,-0.583345197030927,-0.280641044970165,0.494994516559904,-0.172739578909143,0.546560530215576,-0.178335314500113,-2.08131227899292,1.29422776123871
"ABCA6",-4.06603171428213,4.06603171428213,5.34305638750629,-2.16815771554843,-3.80205744340635,5.06401480710003,-2.53687392404543,-1.71221109358008,-1.70809509865932
"ABCA8",-1.57545814983321,1.57545814983321,4.30489178111767,0.00836029384551481,-4.78859608228349,4.51590359339168,-0.277072196064724,-5.11586920325448,-0.515972109622148
"ABCB1",-3.05209632501645,3.05209632501645,3.37642500811058,-2.66116704546184,-1.18837281692057,0.450721374760733,-3.23046386514341,3.50908045702124,-0.622481212304653
"ABCB4",-2.55087866337894,2.55087866337894,2.43180847611693,-0.824211564106358,-1.93015935773995,1.33292538491136,-0.983099530769361,0.830889718268486,-1.29706545396105
"ABCB7",1.85588393772372,-1.85588393772372,-3.41686809124118,-2.16404941120092,5.29751778995192,-2.59208775779595,-1.49071712726386,1.19778005996471,2.89018073782956
"ABCB9",0.692164407445985,-0.692164407445985,-2.86889068067672,-4.3353875083529,5.44511772703074,-2.02121876125591,-3.33586159976964,0.995671786289842,2.94712647298788
"ABCC1",-0.0240746638472706,0.0240746638472706,1.19761133762155,1.2899763368846,-2.31388457267961,0.474958134365285,1.38621131183382,-0.769407277491082,-0.984012927045415
"ABCC10",0.980772411505799,-0.980772411505799,-0.501413589607115,0.549394662762461,-0.0119053439723718,-0.519198481639231,-0.162638396754161,-0.671290164435116,1.28068195372064
"ABCC2",0.0656870839895436,-0.0656870839895436,0.926549023207427,-0.885793561381668,-0.0946699981444124,-1.18394929524014,-2.84162847777235,1.65078777500319,1.05742083978484
"ABCC3",-7.15347233588612,7.15347233588612,7.95756617314363,-7.54269135180139,-1.77789416281442,5.39230065854289,-8.62637602718655,1.98523700823739,-0.481303443319694
"ABCC4",3.07282700633518,-3.07282700633518,-4.26698084931665,-0.537223399633099,4.34526885704412,-4.64385462010405,-0.93318183643005,0.778330206801514,3.79903118526013
"ABCC5",-1.08201309765725,1.08201309765725,-2.01440077852095,-0.0387915637875932,1.91591135430812,-3.62974823037151,0.950471880502832,4.94769876681499,-2.29000426434139
"ABCC6",1.85715372593759,-1.85715372593759,-0.978745726844351,1.76367849624144,-0.558525515806946,-1.59673062734928,1.95901992592932,-1.09213482719841,0.684350743890038
"ABCC8",0.633859498115446,-0.633859498115446,-0.947587567595092,1.47285838744316,-0.334741823333753,-0.483284113222235,1.06343264411927,-0.514794640154689,0.0109533131259482
"ABCC9",-6.86374306690878,6.86374306690878,8.06453518419626,-2.55859496647367,-5.11434570108664,6.83454916640529,-3.22179019288608,1.44084431357418,-4.77878916792436
"ABCD3",-2.57932092400361,2.57932092400361,-0.745280351388725,-0.683588113951445,1.27459713855741,-1.42174675382241,-0.614996804266152,3.97854858403146,-1.7586077083302
"ABCE1",-1.98265106909206,1.98265106909206,-0.195501796693417,-2.60890352339919,2.47185001563569,-2.10001922530423,-2.26668198924666,6.0579170045329,-1.66744750216133
"ABCF1",1.46645407932284,-1.46645407932284,-2.34049296857954,2.04818417396076,0.237422709429364,-2.43907137170058,2.19011915889679,1.42148075050099,-1.4431533210646
"ABCF2",1.21633765478961,-1.21633765478961,-3.33358596807981,0.455160306262511,2.66941454311793,-3.90037737227785,1.6909130514855,2.96202578015936,-0.71336307991736
"ABCG2",6.29038180206564,-6.29038180206564,-5.23697995241325,3.21615901182179,2.05935981091516,-3.6898802213835,2.93103581110019,-3.80837036866737,4.2091375248739
"ABCG4",0.747813237017684,-0.747813237017684,0.524398450453806,1.93465017277944,-2.33861581944335,1.60205580983016,2.07814415019164,-2.5448134200916,-1.30992299196132
"ABHD10",2.33663667503448,-2.33663667503448,-1.998773258413,2.68472312761951,-0.252475207009832,-2.30374160975756,2.57804965029047,0.0541416525728607,-0.110104393250058
"ABHD11",1.57104323758392,-1.57104323758392,-5.46942825300569,-4.25867652674427,9.72516989771813,-4.71964991454427,-3.82227201246224,2.74481560863257,5.52447184319683
"ABHD14A",6.62847494063707,-6.62847494063707,-6.47295390761474,3.06906133378458,3.06907080583697,-5.96359501261226,2.28228245616107,-1.98989104491939,4.92640866502169
"ABHD17B",-0.922721319435233,0.922721319435233,0.0439071625245043,-1.15495966793414,1.01733174897592,-2.6851384977013,-0.11005079551168,4.18949706894698,-1.30021880671508
"ABHD2",-7.16549109119773,7.16549109119773,6.21523160452921,-4.68519304993779,-1.33999163395167,3.07918241482893,-4.46491204516891,4.49977639102276,-2.546341515503
"ABHD3",-5.1458700716364,5.1458700716364,2.43543797630407,-4.83563002806512,2.13960985515269,-1.6587124633777,-3.88890054267271,6.83785632807132,-0.79526324876559
"ABHD4",-0.804032563730329,0.804032563730329,1.16019366283269,-1.20164145759458,0.0282241649671611,2.89756628760337,-1.44670427941304,-0.769851264283802,-0.231979035640985
"ABHD5",-1.99445916362025,1.99445916362025,0.383367217573388,-2.8540018550973,2.01942102462206,-1.27371327694187,-1.41856495884173,3.37151114665134,-0.557445293477119
"ABHD6",-1.40241338696871,1.40241338696871,2.59763427478425,0.781613552953933,-3.16209371789653,0.947788824043801,-0.0125799251881466,-0.287702220363301,-0.469263346638697
