"","GSE32062.GPL6480_eset_ClusterK2_SAMD_1","GSE32062.GPL6480_eset_ClusterK2_SAMD_2","GSE32062.GPL6480_eset_ClusterK3_SAMD_1","GSE32062.GPL6480_eset_ClusterK3_SAMD_2","GSE32062.GPL6480_eset_ClusterK3_SAMD_3","GSE32062.GPL6480_eset_ClusterK4_SAMD_1","GSE32062.GPL6480_eset_ClusterK4_SAMD_2","GSE32062.GPL6480_eset_ClusterK4_SAMD_3","GSE32062.GPL6480_eset_ClusterK4_SAMD_4"
"A1CF",1.15513630026442,-1.15513630026442,-1.280167327899,0.273023029733743,0.948675338574076,-0.797913369064628,-0.34312848506512,-0.425692212785,1.33432323298576
"AAAS",7.19007110270606,-7.19007110270606,-7.83078525103227,4.69139724238723,3.25439958354641,-7.14469498983395,5.06514044617917,0.964823123938411,2.51097147878745
"AACS",3.09201645809053,-3.09201645809053,-2.33183774885079,-0.0385001226292491,2.15853045063845,-2.47010613956144,-0.337700545710528,1.06467944574238,1.6459013531058
"AADAC",1.83067930736349,-1.83067930736349,-1.3618612621356,-2.63404038231041,3.53420647778735,-1.53091009538082,-2.5136653798633,3.53415165765163,0.518990506201043
"AAK1",-0.217352892814381,0.217352892814381,0.949095079366305,-4.13723640198974,1.95648131385703,1.64891026655624,-3.34658047094313,0.507876945988298,0.10661353850685
"AAMDC",2.99291209802571,-2.99291209802571,-3.04440007556318,0.212135732788957,2.49389942191709,-2.68456546155138,0.197180560056002,2.72238534627018,-0.230007964091317
"AAMP",5.22969235587535,-5.22969235587535,-5.16390005247169,1.37784699373221,3.95192955841762,-4.94211424160244,1.27424796358716,2.22864327588289,2.12250689416933
"AARS",2.44105109819848,-2.44105109819848,-2.38307502644287,1.29172830654781,1.06455805261697,-2.54264511402085,1.20659039591641,2.17674869903782,-0.900976166171731
"AASDHPPT",5.3988927926275,-5.3988927926275,-5.43105589262195,1.39559177534094,3.86893634057484,-4.89073195327985,1.82805865316813,0.902935340593116,2.74623106746739
"AASS",-3.95267294595981,3.95267294595981,3.99467941709613,2.28735726408553,-5.15503081132821,4.82695479260921,2.65195348284991,-4.20711250450782,-1.51989284714558
"AATF",2.19451160594486,-2.19451160594486,-1.57532742049773,2.35314873311529,-0.308275986144992,-1.93117902757365,1.98591881395624,1.90344067870223,-1.34856887121403
"AATK",0.584108144630554,-0.584108144630554,-0.983972962695165,3.66270519208231,-2.25869752049437,-0.590357129885184,2.73015783663029,-0.0941552281233316,-1.58687336898133
"ABAT",2.38166353125821,-2.38166353125821,-3.02981581721789,2.14896188913418,0.884190206100949,-2.79682779545826,1.91871957979203,1.60883854117683,-0.65593734213032
"ABCA1",-7.63158395652711,7.63158395652711,8.44112199054534,-5.15463536576779,-3.40381550562388,7.28178401022602,-3.48253620993992,0.765490963570486,-5.7900937410976
"ABCA12",1.27447099165866,-1.27447099165866,-1.29404287354129,-1.55622564850404,2.29660976974746,-1.22403605874398,-4.32749058642875,1.40112602840409,1.78266193739211
"ABCA2",-0.205958266376255,0.205958266376255,-0.0219490407879399,2.18228681306509,-1.81102377349917,0.339880232049372,1.0956440415034,-2.7128822783478,1.77326209800176
"ABCA3",2.81237260561141,-2.81237260561141,-2.65207222742757,-0.272091751038004,2.71580653281483,-2.58401362909414,-0.128641108579389,2.03253674983998,0.780412352292004
"ABCA4",3.71186997289858,-3.71186997289858,-3.67973791702528,-0.108572333553063,3.39743179167936,-3.68781331237839,-0.260352107934129,1.62836542429823,2.06982048968177
