"","aaces.eset_ClusterK2_SAMD_1","aaces.eset_ClusterK2_SAMD_2","aaces.eset_ClusterK3_SAMD_1","aaces.eset_ClusterK3_SAMD_2","aaces.eset_ClusterK3_SAMD_3","aaces.eset_ClusterK4_SAMD_1","aaces.eset_ClusterK4_SAMD_2","aaces.eset_ClusterK4_SAMD_3","aaces.eset_ClusterK4_SAMD_4"
"A1CF",1.92427757378803,-1.92427757378803,-2.05749450922358,-1.5642510079075,2.03294095487844,-3.1668433734607,-1.5642510079075,-1.74748845546467,1.82537461404624
"AAAS",-0.970818936011168,0.970818936011168,0.113948164477101,1.82811013408181,-0.9831937700548,-0.0201321317303894,1.82811013408181,0.9135474772141,-1.26294201265489
"AACS",0.810376486700515,-0.810376486700515,-0.388626684798215,-1.63831551557692,0.882054425099214,-0.0732584086425197,-1.63831551557692,-0.433824304442381,0.709686418431345
"AADAC",0.0708724765792101,-0.0708724765792101,0.307752794149927,-0.939953829603526,0.0265372644895671,-1.44845819653388,-0.939953829603526,1.24467850088219,-0.187397053575538
"AAK1",-1.89935656836908,1.89935656836908,2.25534453337784,-0.226438603479045,-1.70103012239058,2.2721423729743,-0.226438603479045,1.24156411143566,-1.6511393179552
"AAMDC",0.736096919825511,-0.736096919825511,-0.961919730932365,0.0896578278765581,0.662961320052607,-1.89798536047864,0.0896578278765581,-0.334876919271594,0.634326379792029
"AAMP",1.59333844270011,-1.59333844270011,-1.02857905757665,-2.18853840160125,1.59654586782983,-1.31056977919323,-2.18853840160125,0.124413672525584,1.17459464607262
"AARS",-2.00309396404551,2.00309396404551,1.57083948282763,1.49248511727473,-2.07452709202448,1.57378552708493,1.49248511727473,2.03212927117657,-2.59445851653418
"AASDHPPT",-0.639429955200384,0.639429955200384,0.88532434172141,-0.248252833694672,-0.613079424676603,-0.0173792598075879,-0.248252833694672,2.30707718116179,-0.727812317948152
"AASS",-0.849735292894938,0.849735292894938,-0.218806895987669,1.92441142113506,-0.936722222102009,1.72528579502855,1.92441142113506,-5.27821613197837,-0.614913941726811
"AATF",-1.52172867790914,1.52172867790914,1.25536920247465,1.71482897600985,-2.00765033327775,-0.225156027871957,1.71482897600985,3.35545468694757,-2.27737707606308
"AATK",2.33396683930294,-2.33396683930294,-1.91268853665259,-0.920972912219082,1.94469866257001,-1.71193656925557,-0.920972912219082,-2.19210952861135,1.73876015155789
"ABAT",1.218542701899,-1.218542701899,-0.982591733165327,-1.15671361001991,1.2393230488181,0.0282197371014646,-1.15671361001991,-0.388908313789003,0.614341087595927
"ABCA1",-2.16367117748735,2.16367117748735,2.58171043621623,-0.455528178410499,-1.74480922333417,3.39754262041086,-0.455528178410499,-0.0572524715149917,-1.44606174023313
"ABCA12",1.34567514510443,-1.34567514510443,-1.60994746807787,-0.406812092585515,1.32065268165299,-1.9278497730083,-0.406812092585515,-2.08746386123727,1.28552952176964
"ABCA2",0.569107247720419,-0.569107247720419,-0.870804300254695,0.751587406646539,0.380090473350313,-0.10496586942777,0.751587406646539,-3.22686533357727,0.717309157476552
