probeset,hgnc
A_23_P100001,FAM174B
A_23_P100011,AP3S2///C15orf38-AP3S2
A_23_P100022,SV2B
A_23_P100056,RBPMS2
A_23_P100074,AVEN
A_23_P100092,ZSCAN29
A_23_P100103,VPS39
A_23_P100111,CHP1
A_23_P100127,CASC5
A_23_P100133,ATMIN
A_23_P100141,UNKL
A_23_P100156,TMEM127
A_23_P100177,MMP15
A_23_P100189,PRM1
A_23_P100196,USP10
A_23_P100203,HSBP1
A_23_P100220,ESRP2
A_23_P100240,CDH16
A_23_P10025,NELL2
A_23_P100263,CMIP
A_23_P100278,GRIN2A
A_23_P100292,ZNF598
A_23_P100315,DECR2
A_23_P100326,NPRL3
A_23_P100341,ORC6
A_23_P100344,ORC6
A_23_P100355,PPP4C
A_23_P100386,IL34
A_23_P100392,TCEB2
A_23_P100408,NTN3
A_23_P100413,EXOSC6
A_23_P100420,ZCCHC14
A_23_P100441,FAM192A
A_23_P100455,MTHFSD
A_23_P100469,TXNL4B
A_23_P100478,KAT8
A_23_P100486,VKORC1
A_23_P100499,ROGDI
A_23_P100501,HMOX2
A_23_P100517,TMEM170A
A_23_P100539,ABCC6
A_23_P100556,EXOC7
A_23_P100576,PSMB3
A_23_P100583,LPO
A_23_P100602,TBCD
A_23_P10062,MGAT4C
A_23_P100632,HN1
A_23_P100642,PNMT
A_23_P100654,ZBTB4
A_23_P100660,SERPINF1
A_23_P100676,SMG6
A_23_P100693,HELZ
A_23_P100704,MAPK7
A_23_P100711,PMP22
A_23_P100730,SKAP1
A_23_P100754,SMURF2
A_23_P100764,SLC25A39
A_23_P10077,PNPLA2
A_23_P100779,UBTF
A_23_P100788,STAT5B
A_23_P100795,STAT3
A_23_P100802,COA3
A_23_P10081,ARL13B
A_23_P100868,MYO19
A_23_P100872,HOXB3
A_23_P100883,SUZ12
A_23_P10091,ALK
A_23_P100912,GIT1
A_23_P100931,AIPL1
A_23_P100935,AIPL1
A_23_P100959,ZFP3
A_23_P100963,SPNS3
A_23_P100990,KRT38
A_23_P100991,KRT38
A_23_P101007,NOTUM
A_23_P101013,TMC6
A_23_P101025,LGALS9C///LGALS9B
A_23_P101038,KRTAP9-3
A_23_P101048,KRTAP3-2
A_23_P101054,KRT34
A_23_P101073,OR1E1///OR1E2
A_23_P101084,SPATA22
A_23_P101093,COPZ2
A_23_P101111,CTDP1
A_23_P101121,KATNAL2
A_23_P101131,GRP
A_23_P101141,RNF125
A_23_P101185,NARS
A_23_P101193,MYO5B
A_23_P101208,CYB5A
A_23_P10121,SFRP1
A_23_P101237,C18orf21
A_23_P101240,VSIG10L
A_23_P101246,VSIG10L
A_23_P101253,ZNF614
A_23_P101258,ZNF614
A_23_P10127,SFRP1
A_23_P101272,ZNF446
A_23_P101281,ZNF587
A_23_P101297,EML2
A_23_P101303,PPP1R37
A_23_P101308,PPP1R37
A_23_P101319,ZNF285
A_23_P101321,ARHGEF1
A_23_P101332,KRI1
A_23_P101342,ATG4D///MIR1238
A_23_P10135,NKIRAS2
A_23_P101351,ZNF426
A_23_P101374,CYP2S1
A_23_P101380,B3GNT8
A_23_P101392,TMEM38A
A_23_P1014,LINC00467
A_23_P101407,C3
A_23_P101427,EVI5L
A_23_P101434,NLRP12
A_23_P101461,CCDC130
A_23_P101476,ZNF442
A_23_P101480,MAST1
A_23_P101505,KLK11
A_23_P101516,KCNC3
A_23_P101521,IZUMO2
A_23_P101532,RPS11P5///RPS11
A_23_P101551,BCAT2
A_23_P10156,CHMP6
A_23_P101564,FGF21
A_23_P101573,SPACA4
A_23_P101615,ZNF565
A_23_P101623,ZNF667
A_23_P101636,KIR3DL2///KIR3DL1
A_23_P101642,PTPRH
A_23_P101655,ACTN4
A_23_P101671,ATCAY
A_23_P101683,CLC
A_23_P101707,PLIN3
A_23_P10172,PRSS50
A_23_P101737,DOT1L
A_23_P101742,MRPL54
A_23_P101759,FUT5
A_23_P101761,KISS1R
A_23_P101774,SLC5A5
A_23_P101783,IL12RB1
A_23_P101796,SYDE1
A_23_P101806,HPN
A_23_P101811,ZNF14
A_23_P10182,ACOX2
A_23_P101829,LPAR2
A_23_P101871,FBXO17
A_23_P101893,FBN3
A_23_P101905,APC2
A_23_P101908,APC2
A_23_P10194,SEZ6L2
A_23_P101943,ARL5A
A_23_P101950,MDH1
A_23_P101960,ZFP36L2
A_23_P101972,CAPN13
A_23_P101992,MARCO
A_23_P102000,CXCR4
A_23_P102017,ERMN
A_23_P102037,COQ10B
A_23_P102058,MATN3
A_23_P10206,HAS2
A_23_P102060,SSFA2
A_23_P102083,BOLL
A_23_P102109,TUBA4B
A_23_P10211,SLC2A13
A_23_P102113,WNT10A
A_23_P102117,WNT10A
A_23_P102122,ARPC2
A_23_P102160,RMDN2
A_23_P102172,CPO
A_23_P102183,PNO1
A_23_P102192,MAP4K4
A_23_P102202,MSH6
A_23_P102235,SNRPGP10///SNRPG
A_23_P102242,MARCH7
A_23_P102258,MRPL53///CCDC142
A_23_P102262,MRPL19
A_23_P102278,DPP10
A_23_P102286,LHCGR
A_23_P10232,BANK1
A_23_P102320,NUP35
A_23_P102331,SCN7A
A_23_P102351,CHST10
A_23_P102364,NGEF
A_23_P102391,SLC40A1
A_23_P102404,CCT7
A_23_P102412,PLEKHA3
A_23_P102420,CCT4
A_23_P102439,ASTL
A_23_P102454,INSIG2
A_23_P102462,FBLN7
A_23_P102471,MSH2
A_23_P102481,CTLA4
A_23_P102494,SLC35F6
A_23_P102508,SLC5A6
A_23_P102517,PDE6D
A_23_P102523,SPTBN1
A_23_P102542,AFTPH
A_23_P102551,MALL
A_23_P102571,SLC2A4RG
A_23_P102575,SLC2A4RG
A_23_P102582,TGIF2-C20orf24///C20orf24
A_23_P102607,CHD6
A_23_P102611,WISP2
A_23_P102622,MATN4
A_23_P102634,WFDC6
A_23_P102694,DEFB129
A_23_P102706,SNPH
A_23_P102731,SMOX
A_23_P102743,TRMT6
A_23_P102759,BTBD3
A_23_P102769,MGME1
A_23_P102770,NAA20
A_23_P102816,TSPY26P
A_23_P102832,CEP250
A_23_P102842,NFS1
A_23_P102864,TMPRSS15
A_23_P102876,CCT8
A_23_P102884,SYNJ1
A_23_P102890,MRPS6
A_23_P1029,MFAP2
A_23_P10291,CTSE
A_23_P102917,B3GALT5
A_23_P102919,B3GALT5
A_23_P102925,PWP2
A_23_P102937,SUMO3
A_23_P102950,RSPH1
A_23_P102965,BCL2L13
A_23_P102973,DGCR14
A_23_P102988,TXNRD2
A_23_P102994,PI4KA
A_23_P103011,RAB36
A_23_P103034,CRYBA4
A_23_P103041,GAS2L1
A_23_P10305,CTPS2
A_23_P103062,RNF185
A_23_P103070,YWHAH
A_23_P103084,TOM1
A_23_P103099,RBFOX2
A_23_P103104,MFNG
A_23_P103110,MAFF
A_23_P103120,GTPBP1
A_23_P103131,MIEF1
A_23_P103149,ACO2
A_23_P103172,TYW3
A_23_P103180,TYW3
A_23_P103226,FAAH
A_23_P103232,DUSP23
A_23_P103248,PIGM
A_23_P103256,CFHR3
A_23_P103276,KTI12
A_23_P103282,TMEM59
A_23_P103310,S100A7
A_23_P103315,LCE1A
A_23_P103328,PTGER3
A_23_P103334,RC3H1
A_23_P103349,OCLM
A_23_P103361,LCK
A_23_P103371,ADC
A_23_P103398,PSEN2///ADCK3
A_23_P103414,YTHDF2
A_23_P103424,RGS8
A_23_P103433,OSCP1
A_23_P103442,MEAF6
A_23_P103454,NBPF15///NBPF16///NBPF1///NBPF9///NBPF3///NBPF10///NBPF11///NBPF12///NBPF24///NBPF14///NBPF20
A_23_P103465,PLA2G5
A_23_P103476,UBIAD1
A_23_P103486,CYP2J2
A_23_P103496,GBP4
A_23_P103503,MDM4
A_23_P103511,C1orf226
A_23_P103522,SELL
A_23_P103532,GPR161
A_23_P10356,ADAM28
A_23_P103561,NAV1
A_23_P103571,MAN1A2
A_23_P103588,HMGCS2
A_23_P103601,MAN1C1
A_23_P103617,ANXA9
A_23_P103628,HEATR1
A_23_P103631,EBNA1BP2
A_23_P103661,YY1AP1
A_23_P103672,NES
A_23_P103690,FAM189B
A_23_P103698,LAMTOR2
A_23_P103703,HSPB7
A_23_P103720,AGMAT
A_23_P10374,R3HDM2
A_23_P103756,OVGP1
A_23_P103765,FCER1A
A_23_P103775,LRRC8C
A_23_P103787,HIPK1
A_23_P103795,VANGL1
A_23_P1038,KDM5B
A_23_P103803,FCRL3
A_23_P103812,BRINP3
A_23_P103824,PI4KB
A_23_P103837,UBAP2L
A_23_P10385,DTL
A_23_P103864,TTC13
A_23_P103877,LRRC38
A_23_P103885,AURKAIP1
A_23_P103897,SPATA1
A_23_P103905,UFC1
A_23_P10391,COL5A2
A_23_P103919,B4GALT3
A_23_P103923,FAM20B
A_23_P103932,FGR
A_23_P103968,AKR7A3
A_23_P103971,CYP4Z1
A_23_P103981,HIST2H2AA3///HIST2H2AA4
A_23_P103996,GCLM
A_23_P10401,PPP2R3A
A_23_P104012,GNAT2
A_23_P104022,TSEN15
A_23_P104025,TSEN15
A_23_P104046,BPNT1
A_23_P104054,SUCO
A_23_P104065,ICMT
A_23_P104073,S100A3
A_23_P104086,CROCC
A_23_P104098,SYT2
A_23_P104109,RPS6KC1
A_23_P104116,RBM8B///RBM8A
A_23_P104138,ZNF678
A_23_P104146,ZMYM4
A_23_P104151,TMEM69
A_23_P104188,ELF3
A_23_P104193,ITGB1P1///ITGB1
A_23_P104199,ITGB1
A_23_P104201,YME1L1
A_23_P104224,A1CF
A_23_P104237,GPAM
A_23_P104252,ITIH5
A_23_P104282,FAM178A
A_23_P104295,FBXW4
A_23_P1043,C1orf106
A_23_P104318,DDIT4
A_23_P104323,MGMT
A_23_P104335,FAM13C
A_23_P104346,PIP4K2A
A_23_P104351,FAM45B///FAM45A
A_23_P104362,ECHS1
A_23_P104372,DNAJC9
A_23_P104387,GHITM
A_23_P10442,OSBPL1A
A_23_P104438,MYPN
A_23_P104445,PIK3AP1
A_23_P104451,DDX50
A_23_P104464,ALOX5
A_23_P104471,DUSP13
A_23_P104484,FFAR4
A_23_P104493,PAPSS2
A_23_P104509,FAM53B
A_23_P104522,NEBL
A_23_P104555,ANKRD2
A_23_P104563,CPT1A
A_23_P104579,CDK2AP2
A_23_P10458,C22orf26
A_23_P104583,CORO1B
A_23_P104594,SCT
A_23_P104607,PSMC3
A_23_P104617,GYLTL1B
A_23_P104624,ENDOD1
A_23_P10463,NDUFS5
A_23_P104641,VPS51
A_23_P104651,CDCA5
A_23_P104676,SF3A1
A_23_P104689,RELA
A_23_P104692,PELI3
