"","TCGA_eset_ClusterK4_SAMD_1","TCGA_eset_ClusterK4_SAMD_2","TCGA_eset_ClusterK4_SAMD_3","TCGA_eset_ClusterK4_SAMD_4","mayo.eset_ClusterK4_SAMD_1","mayo.eset_ClusterK4_SAMD_2","mayo.eset_ClusterK4_SAMD_3","mayo.eset_ClusterK4_SAMD_4","GSE32062.GPL6480_eset_ClusterK4_SAMD_1","GSE32062.GPL6480_eset_ClusterK4_SAMD_2","GSE32062.GPL6480_eset_ClusterK4_SAMD_3","GSE32062.GPL6480_eset_ClusterK4_SAMD_4","GSE9891_eset_ClusterK4_SAMD_1","GSE9891_eset_ClusterK4_SAMD_2","GSE9891_eset_ClusterK4_SAMD_3","GSE9891_eset_ClusterK4_SAMD_4","GSE26712_eset_ClusterK4_SAMD_1","GSE26712_eset_ClusterK4_SAMD_2","GSE26712_eset_ClusterK4_SAMD_3","GSE26712_eset_ClusterK4_SAMD_4","aaces.eset_ClusterK4_SAMD_1","aaces.eset_ClusterK4_SAMD_2","aaces.eset_ClusterK4_SAMD_3","aaces.eset_ClusterK4_SAMD_4"
"TCGA_eset_ClusterK4_SAMD_1",1,-0.460366630219492,-0.00837470778433424,-0.575811119861181,0.775163227031717,-0.460769270375144,0.194235338338505,-0.51275172161529,0.765304008476539,-0.341123996451248,-0.400561179501155,-0.48314540769183,0.841888419013163,-0.467914671245504,0.0833214914665787,-0.649279029024734,0.540374247896666,-0.279103761533848,0.0293704470967376,-0.179754231462653,0.445068097043293,-0.153917786311737,-0.169274788343825,-0.113184230541266
"TCGA_eset_ClusterK4_SAMD_2",-0.460366630219492,1,-0.63644127235924,-7.9836001490559e-05,-0.326958417204958,0.837737608342206,-0.560976559237485,-0.0319162807852313,-0.423809109910483,0.825048514178204,-0.189836728599827,0.159412021609929,-0.433359605552325,0.892187632725723,-0.602721186217933,0.0863890027371202,-0.106074606025479,0.0997494409105797,-0.0167481935109787,0.029625847001016,-0.330836276223318,0.501470798769728,-0.040872819686789,-0.00560853380823846
"TCGA_eset_ClusterK4_SAMD_3",-0.00837470778433424,-0.63644127235924,1,-0.235218079025589,-0.126722130203437,-0.497106166954687,0.672107484550179,0.0190303253513557,0.0567882607403571,-0.526000080697713,0.477390129098475,-0.147683864505965,0.0408829060529499,-0.584480601416092,0.709244537453371,0.00978297180455246,-0.212526766139709,-0.17877281399649,0.336998866929295,-0.0983853538409222,0.130988557241667,-0.424641162788869,0.186878803925407,0.0270655734765219
"TCGA_eset_ClusterK4_SAMD_4",-0.575811119861181,-7.9836001490559e-05,-0.235218079025589,1,-0.383017809167092,0.0597505352865742,-0.258767129532438,0.669042414358329,-0.489322104561736,-0.03866791152026,0.250493552796681,0.570496792613236,-0.494678042160994,0.0966437515664823,-0.0890297534271408,0.696400182330548,-0.264049268352889,0.465476467382277,-0.304323679414158,0.157619274356407,-0.194805771961253,0.064252338536877,0.157513005113313,0.0162042902679288
"mayo.eset_ClusterK4_SAMD_1",0.775163227031717,-0.326958417204958,-0.126722130203437,-0.383017809167092,1,-0.437591717755478,-0.0214166225325012,-0.565401507572774,0.787842336527897,-0.308287527607162,-0.545149489991424,-0.405461663216718,0.758729663672795,-0.369404449236327,-0.105392111247686,-0.514154736448686,0.524786825644045,-0.296166782538205,-0.10106124936908,-0.0222080913729149,0.338387164633571,-0.1459027866161,-0.331693581308019,0.013027792394457
"mayo.eset_ClusterK4_SAMD_2",-0.460769270375144,0.837737608342206,-0.497106166954687,0.0597505352865742,-0.437591717755478,1,-0.641087240725139,6.38719097800823e-05,-0.532666411430962,0.848125030759574,-0.108919631728106,0.241442001781237,-0.458339046467499,0.83537098850913,-0.546846813226811,0.158548774418014,-0.16190786750044,0.0746123388071448,0.0664671930359795,-0.00470637711155251,-0.34814322074995,0.475650687643382,2.28533112510432e-05,-0.00462281596634393
"mayo.eset_ClusterK4_SAMD_3",0.194235338338505,-0.560976559237485,0.672107484550179,-0.258767129532438,-0.0214166225325012,-0.641087240725139,1,-0.287203345123372,0.257835913870837,-0.535188268671444,0.441113402231158,-0.432768895486993,0.194932435616134,-0.589460130029546,0.693653525963127,-0.208655290023679,-0.0977865717115792,-0.0906519704204289,0.196835881675231,-0.0872034894725772,0.265917439140679,-0.37616153660098,0.22026892868452,-0.0831735678166465
"mayo.eset_ClusterK4_SAMD_4",-0.51275172161529,-0.0319162807852313,0.0190303253513557,0.669042414358329,-0.565401507572774,6.38719097800823e-05,-0.287203345123372,1,-0.56229764607299,-0.0803559090959235,0.307348148207577,0.67323454485962,-0.496819345122059,0.0576126126117259,0.0358430544937745,0.628653884968971,-0.27424595410652,0.38657492612797,-0.137073592444746,0.0456283561529603,-0.195927031624476,0.0470089152301625,0.210025906732395,0.00403215088343377
"GSE32062.GPL6480_eset_ClusterK4_SAMD_1",0.765304008476539,-0.423809109910483,0.0567882607403571,-0.489322104561736,0.787842336527897,-0.532666411430962,0.257835913870837,-0.56229764607299,1,-0.437884245934356,-0.560995717607017,-0.637734041050302,0.781377286572572,-0.483938651657011,0.0737778442121228,-0.604513249704069,0.49813101576775,-0.405643241119141,-0.143914636827966,0.100169749745436,0.322619320764832,-0.281549238518957,-0.395796783777806,0.104699278426611
"GSE32062.GPL6480_eset_ClusterK4_SAMD_2",-0.341123996451248,0.825048514178204,-0.526000080697713,-0.03866791152026,-0.308287527607162,0.848125030759574,-0.535188268671444,-0.0803559090959235,-0.437884245934356,1,-0.179660747982587,0.0501489556521169,-0.366153404573798,0.819437140180795,-0.535813066235872,0.0369972462121804,-0.0956072918024366,0.102661516853051,0.0232645591393965,-0.0252431013194268,-0.28161120625529,0.479904567128281,0.00991721679683372,-0.0467908509192083
"GSE32062.GPL6480_eset_ClusterK4_SAMD_3",-0.400561179501155,-0.189836728599827,0.477390129098475,0.250493552796681,-0.545149489991424,-0.108919631728106,0.441113402231158,0.307348148207577,-0.560995717607017,-0.179660747982587,1,0.0194892725944338,-0.417605515833689,-0.154373531888921,0.540694470894148,0.306659390328537,-0.428384847800616,0.361064895656729,0.203245562662166,-0.179212142967767,0.0463729222643831,-0.143188522887684,0.534065617311919,-0.184925470880595
"GSE32062.GPL6480_eset_ClusterK4_SAMD_4",-0.48314540769183,0.159412021609929,-0.147683864505965,0.570496792613236,-0.405461663216718,0.241442001781237,-0.432768895486993,0.67323454485962,-0.637734041050302,0.0501489556521169,0.0194892725944338,1,-0.465254408841173,0.228568730762065,-0.223977723868282,0.611669498859852,-0.252367698625803,0.215696860752312,0.00890589322734697,0.00795802849061412,-0.286744208438046,0.208462429978852,0.0971572061186971,0.0281798055040611
"GSE9891_eset_ClusterK4_SAMD_1",0.841888419013163,-0.433359605552325,0.0408829060529499,-0.494678042160994,0.758729663672795,-0.458339046467499,0.194932435616134,-0.496819345122059,0.781377286572572,-0.366153404573798,-0.417605515833689,-0.465254408841173,1,-0.525579809726407,0.0232047095258863,-0.739580603707086,0.584767888429581,-0.336422840603719,0.0507472139668021,-0.185071448337015,0.52761438689228,-0.101432052809212,-0.209183484174294,-0.158958934326588
