"","TCGA_eset_ClusterK3_SAMD_1","TCGA_eset_ClusterK3_SAMD_2","TCGA_eset_ClusterK3_SAMD_3","mayo.eset_ClusterK3_SAMD_1","mayo.eset_ClusterK3_SAMD_2","mayo.eset_ClusterK3_SAMD_3","GSE32062.GPL6480_eset_ClusterK3_SAMD_1","GSE32062.GPL6480_eset_ClusterK3_SAMD_2","GSE32062.GPL6480_eset_ClusterK3_SAMD_3","GSE9891_eset_ClusterK3_SAMD_1","GSE9891_eset_ClusterK3_SAMD_2","GSE9891_eset_ClusterK3_SAMD_3","GSE26712_eset_ClusterK3_SAMD_1","GSE26712_eset_ClusterK3_SAMD_2","GSE26712_eset_ClusterK3_SAMD_3","aaces.eset_ClusterK3_SAMD_1","aaces.eset_ClusterK3_SAMD_2","aaces.eset_ClusterK3_SAMD_3"
"TCGA_eset_ClusterK3_SAMD_1",1,-0.585488492465837,-0.330405772132516,0.790680653893288,-0.526247109369499,-0.413984212824895,0.769167052431043,-0.385583627662654,-0.5657841335015,0.848795972990906,-0.528216360263538,-0.506420955003728,0.126257829453406,0.0285062152204102,-0.178797086390606,0.288066580077987,-0.21306341344629,-0.136706534633255
"TCGA_eset_ClusterK3_SAMD_2",-0.585488492465837,1,-0.547896720767262,-0.537057634833227,0.838209060362994,-0.226010213499857,-0.486464003083719,0.795580351070564,-0.0360047830088858,-0.539168483685877,0.89418904119283,-0.195632935446574,-0.11149316665924,0.0932796876273235,0.0597648095972596,-0.299282807827772,0.499312512027612,0.0146205513241459
"TCGA_eset_ClusterK3_SAMD_3",-0.330405772132516,-0.547896720767262,1,-0.201699610656348,-0.416803021796975,0.713031085915076,-0.251280411016246,-0.511736956816315,0.648285316670304,-0.245541137523303,-0.474517679419072,0.763143637981692,0.0278992566983329,-0.106863797772417,0.059465789470126,0.0905230444532034,-0.332183515605146,0.084478355854299
"mayo.eset_ClusterK3_SAMD_1",0.790680653893288,-0.537057634833227,-0.201699610656348,1,-0.655621057590941,-0.558414573697817,0.864706660754065,-0.48563704448699,-0.612451522092854,0.785092908525578,-0.566481103528905,-0.42092748218875,-0.0254645195921815,0.0138453603713877,-0.00989327177138138,0.20640431084077,-0.29405495440279,-0.041521680160564
"mayo.eset_ClusterK3_SAMD_2",-0.526247109369499,0.838209060362994,-0.416803021796975,-0.655621057590941,1,-0.241399790978917,-0.564033771398829,0.821876886304233,0.0365151182966902,-0.532942418309869,0.844208187753455,-0.141707626583321,-0.0202409070149572,0.0166901221487734,0.0255961830837482,-0.315128687813884,0.475082390531975,0.0401617068561779
"mayo.eset_ClusterK3_SAMD_3",-0.413984212824895,-0.226010213499857,0.713031085915076,-0.558414573697817,-0.241399790978917,1,-0.503032095198059,-0.260847966674864,0.757608510890281,-0.40545100187158,-0.186903938187247,0.689999411354617,0.0739999989236374,-0.0080169932429236,-0.0574860331546439,0.115180695718112,-0.113019589710989,-0.0276669680955242
"GSE32062.GPL6480_eset_ClusterK3_SAMD_1",0.769167052431043,-0.486464003083719,-0.251280411016246,0.864706660754065,-0.564033771398829,-0.503032095198059,1,-0.47618925588384,-0.774206875109231,0.787551452012816,-0.519961431403932,-0.477307324293882,-0.110164781265854,-0.010357987151676,0.0901742224163629,0.131608316488512,-0.277783556779732,0.00784420566439885
"GSE32062.GPL6480_eset_ClusterK3_SAMD_2",-0.385583627662654,0.795580351070564,-0.511736956816315,-0.48563704448699,0.821876886304233,-0.260847966674864,-0.47618925588384,1,-0.175052125193083,-0.411732109526773,0.815011996107242,-0.260170186684713,0.0293796152199294,0.0391775969369451,-0.0443811319377012,-0.224674962201727,0.500536844884666,-0.0416424997996932
"GSE32062.GPL6480_eset_ClusterK3_SAMD_3",-0.5657841335015,-0.0360047830088858,0.648285316670304,-0.612451522092854,0.0365151182966902,0.757608510890281,-0.774206875109231,-0.175052125193083,1,-0.566436324326816,-0.00917552234646472,0.713985828685665,0.113582202962239,-0.00509611163109175,-0.089945110371064,0.0378859416578145,-0.0429671404467427,0.00125443817158119
"GSE9891_eset_ClusterK3_SAMD_1",0.848795972990906,-0.539168483685877,-0.245541137523303,0.785092908525578,-0.532942418309869,-0.40545100187158,0.787551452012816,-0.411732109526773,-0.566436324326816,1,-0.591604256474106,-0.636948449306075,0.124935613509649,0.0658339657189769,-0.205765841464496,0.383620148631044,-0.154478625428419,-0.237287771005138
