"","TCGA_eset_ClusterK2_SAMD_1","TCGA_eset_ClusterK2_SAMD_2","mayo.eset_ClusterK2_SAMD_1","mayo.eset_ClusterK2_SAMD_2","GSE32062.GPL6480_eset_ClusterK2_SAMD_1","GSE32062.GPL6480_eset_ClusterK2_SAMD_2","GSE9891_eset_ClusterK2_SAMD_1","GSE9891_eset_ClusterK2_SAMD_2","GSE26712_eset_ClusterK2_SAMD_1","GSE26712_eset_ClusterK2_SAMD_2","aaces.eset_ClusterK2_SAMD_1","aaces.eset_ClusterK2_SAMD_2"
"TCGA_eset_ClusterK2_SAMD_1",1,-1,0.741245793330673,-0.741245793330673,0.587846339543507,-0.587846339543507,0.736676398828478,-0.736676398828478,0.133701836738174,-0.133701836738174,0.0784614058312853,-0.0784614058312853
"TCGA_eset_ClusterK2_SAMD_2",-1,1,-0.741245793330673,0.741245793330673,-0.587846339543507,0.587846339543507,-0.736676398828478,0.736676398828478,-0.133701836738174,0.133701836738174,-0.0784614058312853,0.0784614058312853
"mayo.eset_ClusterK2_SAMD_1",0.741245793330673,-0.741245793330673,1,-1,0.799414318540961,-0.799414318540961,0.798647742230044,-0.798647742230044,0.0637374290380531,-0.0637374290380531,0.0824931785492386,-0.0824931785492386
"mayo.eset_ClusterK2_SAMD_2",-0.741245793330673,0.741245793330673,-1,1,-0.799414318540961,0.799414318540961,-0.798647742230044,0.798647742230044,-0.0637374290380531,0.0637374290380531,-0.0824931785492386,0.0824931785492386
"GSE32062.GPL6480_eset_ClusterK2_SAMD_1",0.587846339543507,-0.587846339543507,0.799414318540961,-0.799414318540961,1,-1,0.776121658804525,-0.776121658804525,-0.0887333222402558,0.0887333222402558,0.00441126235486083,-0.00441126235486083
"GSE32062.GPL6480_eset_ClusterK2_SAMD_2",-0.587846339543507,0.587846339543507,-0.799414318540961,0.799414318540961,-1,1,-0.776121658804525,0.776121658804525,0.0887333222402558,-0.0887333222402558,-0.00441126235486083,0.00441126235486083
"GSE9891_eset_ClusterK2_SAMD_1",0.736676398828478,-0.736676398828478,0.798647742230044,-0.798647742230044,0.776121658804525,-0.776121658804525,1,-1,0.220522320241801,-0.220522320241801,0.237104561226213,-0.237104561226213
"GSE9891_eset_ClusterK2_SAMD_2",-0.736676398828478,0.736676398828478,-0.798647742230044,0.798647742230044,-0.776121658804525,0.776121658804525,-1,1,-0.220522320241801,0.220522320241801,-0.237104561226213,0.237104561226213
"GSE26712_eset_ClusterK2_SAMD_1",0.133701836738174,-0.133701836738174,0.0637374290380531,-0.0637374290380531,-0.0887333222402558,0.0887333222402558,0.220522320241801,-0.220522320241801,1,-1,0.489575584116005,-0.489575584116005
"GSE26712_eset_ClusterK2_SAMD_2",-0.133701836738174,0.133701836738174,-0.0637374290380531,0.0637374290380531,0.0887333222402558,-0.0887333222402558,-0.220522320241801,0.220522320241801,-1,1,-0.489575584116005,0.489575584116005
"aaces.eset_ClusterK2_SAMD_1",0.0784614058312853,-0.0784614058312853,0.0824931785492386,-0.0824931785492386,0.00441126235486083,-0.00441126235486083,0.237104561226213,-0.237104561226213,0.489575584116005,-0.489575584116005,1,-1
"aaces.eset_ClusterK2_SAMD_2",-0.0784614058312853,0.0784614058312853,-0.0824931785492386,0.0824931785492386,-0.00441126235486083,0.00441126235486083,-0.237104561226213,0.237104561226213,-0.489575584116005,0.489575584116005,-1,1
