"","TCGA_eset_ClusterK4_SAMD_1","TCGA_eset_ClusterK4_SAMD_2","TCGA_eset_ClusterK4_SAMD_3","TCGA_eset_ClusterK4_SAMD_4","mayo.eset_ClusterK4_SAMD_1","mayo.eset_ClusterK4_SAMD_2","mayo.eset_ClusterK4_SAMD_3","mayo.eset_ClusterK4_SAMD_4","GSE32062.GPL6480_eset_ClusterK4_SAMD_1","GSE32062.GPL6480_eset_ClusterK4_SAMD_2","GSE32062.GPL6480_eset_ClusterK4_SAMD_3","GSE32062.GPL6480_eset_ClusterK4_SAMD_4","GSE9891_eset_ClusterK4_SAMD_1","GSE9891_eset_ClusterK4_SAMD_2","GSE9891_eset_ClusterK4_SAMD_3","GSE9891_eset_ClusterK4_SAMD_4","GSE26712_eset_ClusterK4_SAMD_1","GSE26712_eset_ClusterK4_SAMD_2","GSE26712_eset_ClusterK4_SAMD_3","GSE26712_eset_ClusterK4_SAMD_4","aaces.eset_ClusterK4_SAMD_1","aaces.eset_ClusterK4_SAMD_2","aaces.eset_ClusterK4_SAMD_3","aaces.eset_ClusterK4_SAMD_4"
"TCGA_eset_ClusterK4_SAMD_1",1,-0.476879979337928,-0.0684144607725666,-0.333253231540622,0.633466152707149,-0.544872249621687,0.416001243341584,-0.38266215858245,0.775297988387496,-0.296175447826017,-0.48798446617427,-0.0339304429651636,0.825911240752972,-0.325705189141716,-0.377485262671962,-0.474732740924586,0.589790024684146,-0.152319497479258,-0.195272386040913,-0.0767312013153764,0.488351630288415,-0.420198573480437,0.208640028502574,-0.109364963480414
"TCGA_eset_ClusterK4_SAMD_2",-0.476879979337928,1,-0.479488450281596,-0.186311065774006,-0.209491420357339,0.837088186822035,-0.539851792044736,-0.271153938547404,-0.447220055000095,0.804322878588331,-0.210736312233716,0.0501670951793934,-0.588530781264849,0.868113964599161,-0.17429998221556,-0.0631118665791077,-0.172969985688812,0.127612228087541,-0.0152297812170593,0.0376857863367834,-0.177906495451412,0.616569509303987,-0.221544862435513,-0.114533764761791
"TCGA_eset_ClusterK4_SAMD_3",-0.0684144607725666,-0.479488450281596,1,-0.389533804770506,-0.34104217021382,-0.37844374944762,0.552101975460049,0.208573298811692,0.0207281143474385,-0.457785684397619,0.462348982979654,-0.251749004105217,0.187941140944054,-0.560543472756472,0.594011963720591,-0.0607374591911486,-0.145328966982614,0.400832936557443,-0.0965715225907782,-0.264463168874623,-0.176248972262193,-0.32459967399331,0.221899043381906,0.10431218067312
"TCGA_eset_ClusterK4_SAMD_4",-0.333253231540622,-0.186311065774006,-0.389533804770506,1,-0.0430225992059228,-0.0276071851746983,-0.371974140458412,0.5234369131775,-0.301679366117907,-0.152804151905886,0.293590650175919,0.219383146597414,-0.320839161049264,-0.099388673251543,-0.016027658188263,0.638269045802472,-0.198398470672875,-0.348697453855079,0.206999761697363,0.382654552535313,-0.0704135656259577,0.0820504720194729,-0.086710105973412,0.0517332585551005
"mayo.eset_ClusterK4_SAMD_1",0.633466152707149,-0.209491420357339,-0.34104217021382,-0.0430225992059228,1,-0.381215434922079,-0.0254338585612345,-0.453311211091404,0.642518944497907,-0.171602479633558,-0.635798319808825,0.282604858744197,0.522235980466041,-0.0711892300175574,-0.606194305688759,-0.192689380878855,0.488356159576673,-0.326355205156329,0.0199905621386823,-0.116921850861276,0.452457086023192,-0.324241792123261,-0.117368033061769,0.0562252807365481
"mayo.eset_ClusterK4_SAMD_2",-0.544872249621687,0.837088186822035,-0.37844374944762,-0.0276071851746983,-0.381215434922079,1,-0.66833315648924,-0.156155135194821,-0.621350808793957,0.805283125933283,-0.0304311356881144,0.0405183938992623,-0.678923439558915,0.805620039093255,-0.0735241062447483,0.0817995420235252,-0.279942151331237,0.170865126103248,-0.00700448645577927,0.0806061426969451,-0.267383624941937,0.640081401434699,-0.203072418072496,-0.0997148682357973
"mayo.eset_ClusterK4_SAMD_3",0.416001243341584,-0.539851792044736,0.552101975460049,-0.371974140458412,-0.0254338585612345,-0.66833315648924,1,-0.254895378704503,0.54207312658054,-0.511027320151249,0.0665003184080144,-0.39992009474425,0.584766607902654,-0.583011095963754,0.318184644613545,-0.418001156691868,0.146028901048565,0.0891993228094183,-0.0589262798452423,-0.190729069370694,0.117138081435569,-0.438053310780151,0.299991374819859,-0.00950696474084961
"mayo.eset_ClusterK4_SAMD_4",-0.38266215858245,-0.271153938547404,0.208573298811692,0.5234369131775,-0.453311211091404,-0.156155135194821,-0.254895378704503,1,-0.469648867270138,-0.290923262572937,0.629217138013475,0.123168307298766,-0.288635522310893,-0.320274373745035,0.344605859993514,0.579625942260595,-0.25876086593115,0.0350832695875237,-0.00822893655045955,0.27355216256795,-0.20882362405566,0.0179552937912271,0.105036588703037,0.0235493946550477
"GSE32062.GPL6480_eset_ClusterK4_SAMD_1",0.775297988387496,-0.447220055000095,0.0207281143474385,-0.301679366117907,0.642518944497907,-0.621350808793957,0.54207312658054,-0.469648867270138,1,-0.408822644734385,-0.606845355144081,-0.0895701794223643,0.800055171492585,-0.365410275749269,-0.318918273892069,-0.487875942775787,0.455185564228732,-0.263684688077917,0.0438548574271356,-0.229281184694323,0.433633969508811,-0.523037234593802,0.0463920119978759,0.0622888515336927
"GSE32062.GPL6480_eset_ClusterK4_SAMD_2",-0.296175447826017,0.804322878588331,-0.457785684397619,-0.152804151905886,-0.171602479633558,0.805283125933283,-0.511027320151249,-0.290923262572937,-0.408822644734385,1,-0.294305417491018,-0.105675253282563,-0.485067195990859,0.811450210211875,-0.173264009109754,-0.127237311273169,-0.145891957669275,0.112023935301614,-0.052148444182997,0.106126613201868,-0.178783648315055,0.592856511781062,-0.129986558511905,-0.158834335409485
"GSE32062.GPL6480_eset_ClusterK4_SAMD_3",-0.48798446617427,-0.210736312233716,0.462348982979654,0.293590650175919,-0.635798319808825,-0.0304311356881144,0.0665003184080144,0.629217138013475,-0.606845355144081,-0.294305417491018,1,-0.334394530996288,-0.336560291809271,-0.301023499217513,0.668759065139303,0.351092686452196,-0.429471613162127,0.273543237139577,-0.0699775874109244,0.234347042517814,-0.379920242968186,0.103912887583604,0.220690369137287,-0.0236458835261065
"GSE32062.GPL6480_eset_ClusterK4_SAMD_4",-0.0339304429651636,0.0501670951793934,-0.251749004105217,0.219383146597414,0.282604858744197,0.0405183938992623,-0.39992009474425,0.123168307298766,-0.0895701794223643,-0.105675253282563,-0.334394530996288,1,-0.0979355715514372,0.0685166178850024,-0.43351896823863,0.41286699654154,0.211014309721235,-0.174138465948855,0.0764647777174498,-0.133394589566402,0.214436971796716,-0.0795773845609628,-0.269689089739162,0.117620818324841
"GSE9891_eset_ClusterK4_SAMD_1",0.825911240752972,-0.588530781264849,0.187941140944054,-0.320839161049264,0.522235980466041,-0.678923439558915,0.584766607902654,-0.288635522310893,0.800055171492585,-0.485067195990859,-0.336560291809271,-0.0979355715514372,1,-0.563091437456259,-0.247815425410763,-0.55175930860167,0.54506758731386,-0.066036058147845,-0.198163221525227,-0.154940505788752,0.499008263195191,-0.512777018593076,0.288736850563436,-0.111032343480265
