"","TCGA_eset_ClusterK2_SAMD_1","TCGA_eset_ClusterK2_SAMD_2","mayo.eset_ClusterK2_SAMD_1","mayo.eset_ClusterK2_SAMD_2","GSE32062.GPL6480_eset_ClusterK2_SAMD_1","GSE32062.GPL6480_eset_ClusterK2_SAMD_2","GSE9891_eset_ClusterK2_SAMD_1","GSE9891_eset_ClusterK2_SAMD_2","GSE26712_eset_ClusterK2_SAMD_1","GSE26712_eset_ClusterK2_SAMD_2","aaces.eset_ClusterK2_SAMD_1","aaces.eset_ClusterK2_SAMD_2"
"TCGA_eset_ClusterK2_SAMD_1",1,-1,0.775404978991268,-0.775404978991268,0.6111638418614,-0.6111638418614,0.771383958091316,-0.771383958091316,0.147036884342289,-0.147036884342289,0.111601541087502,-0.111601541087502
"TCGA_eset_ClusterK2_SAMD_2",-1,1,-0.775404978991268,0.775404978991268,-0.6111638418614,0.6111638418614,-0.771383958091316,0.771383958091316,-0.147036884342289,0.147036884342289,-0.111601541087502,0.111601541087502
"mayo.eset_ClusterK2_SAMD_1",0.775404978991268,-0.775404978991268,1,-1,0.817497534305384,-0.817497534305384,0.841150279399365,-0.841150279399365,0.0575638533646459,-0.0575638533646459,0.0897124197836966,-0.0897124197836966
"mayo.eset_ClusterK2_SAMD_2",-0.775404978991268,0.775404978991268,-1,1,-0.817497534305384,0.817497534305384,-0.841150279399365,0.841150279399365,-0.0575638533646459,0.0575638533646459,-0.0897124197836966,0.0897124197836966
"GSE32062.GPL6480_eset_ClusterK2_SAMD_1",0.6111638418614,-0.6111638418614,0.817497534305384,-0.817497534305384,1,-1,0.828888761318804,-0.828888761318804,-0.0834719964816486,0.0834719964816486,0.0169016806313601,-0.0169016806313601
"GSE32062.GPL6480_eset_ClusterK2_SAMD_2",-0.6111638418614,0.6111638418614,-0.817497534305384,0.817497534305384,-1,1,-0.828888761318804,0.828888761318804,0.0834719964816486,-0.0834719964816486,-0.0169016806313601,0.0169016806313601
"GSE9891_eset_ClusterK2_SAMD_1",0.771383958091316,-0.771383958091316,0.841150279399365,-0.841150279399365,0.828888761318804,-0.828888761318804,1,-1,0.167564618183482,-0.167564618183482,0.200572041645296,-0.200572041645296
"GSE9891_eset_ClusterK2_SAMD_2",-0.771383958091316,0.771383958091316,-0.841150279399365,0.841150279399365,-0.828888761318804,0.828888761318804,-1,1,-0.167564618183482,0.167564618183482,-0.200572041645296,0.200572041645296
"GSE26712_eset_ClusterK2_SAMD_1",0.147036884342289,-0.147036884342289,0.0575638533646459,-0.0575638533646459,-0.0834719964816486,0.0834719964816486,0.167564618183482,-0.167564618183482,1,-1,0.46700947856668,-0.46700947856668
"GSE26712_eset_ClusterK2_SAMD_2",-0.147036884342289,0.147036884342289,-0.0575638533646459,0.0575638533646459,0.0834719964816486,-0.0834719964816486,-0.167564618183482,0.167564618183482,-1,1,-0.46700947856668,0.46700947856668
"aaces.eset_ClusterK2_SAMD_1",0.111601541087502,-0.111601541087502,0.0897124197836966,-0.0897124197836966,0.0169016806313601,-0.0169016806313601,0.200572041645296,-0.200572041645296,0.46700947856668,-0.46700947856668,1,-1
"aaces.eset_ClusterK2_SAMD_2",-0.111601541087502,0.111601541087502,-0.0897124197836966,0.0897124197836966,-0.0169016806313601,0.0169016806313601,-0.200572041645296,0.200572041645296,-0.46700947856668,0.46700947856668,-1,1
