"","TCGA_eset_ClusterK3_SAMD_1","TCGA_eset_ClusterK3_SAMD_2","TCGA_eset_ClusterK3_SAMD_3","mayo.eset_ClusterK3_SAMD_1","mayo.eset_ClusterK3_SAMD_2","mayo.eset_ClusterK3_SAMD_3","GSE32062.GPL6480_eset_ClusterK3_SAMD_1","GSE32062.GPL6480_eset_ClusterK3_SAMD_2","GSE32062.GPL6480_eset_ClusterK3_SAMD_3","GSE9891_eset_ClusterK3_SAMD_1","GSE9891_eset_ClusterK3_SAMD_2","GSE9891_eset_ClusterK3_SAMD_3","GSE26712_eset_ClusterK3_SAMD_1","GSE26712_eset_ClusterK3_SAMD_2","GSE26712_eset_ClusterK3_SAMD_3","aaces.eset_ClusterK3_SAMD_1","aaces.eset_ClusterK3_SAMD_2","aaces.eset_ClusterK3_SAMD_3"
"TCGA_eset_ClusterK3_SAMD_1",1,-0.59866091434777,-0.306178252873533,0.767966931538483,-0.575254128436653,-0.0519472725213582,0.755139832111536,-0.506924406748334,-0.367667422185402,0.830436101071999,-0.582522689663802,-0.205279205451807,0.550885804904073,-0.212493984045979,-0.175802582329168,0.327022418003278,-0.391681658772001,0.00540690153900784
"TCGA_eset_ClusterK3_SAMD_2",-0.59866091434777,1,-0.558196866917371,-0.42176359575909,0.795036370576105,-0.53339205399973,-0.439026991303405,0.781341912118516,-0.26482757549311,-0.456342221983576,0.893867028247712,-0.484503442476976,-0.204935054347963,0.100656584136402,0.0411749297384962,-0.354432140561424,0.530624957513064,-0.0777962670875467
"TCGA_eset_ClusterK3_SAMD_3",-0.306178252873533,-0.558196866917371,1,-0.304305604644426,-0.330710240336576,0.696753489792371,-0.284210085510599,-0.385755948474398,0.717666043854795,-0.311376951061441,-0.441483678782804,0.798901106360461,-0.306110034783915,0.0533507654497141,0.182085285540707,0.116511502148411,-0.19399148671665,0.0493321083160374
"mayo.eset_ClusterK3_SAMD_1",0.767966931538483,-0.42176359575909,-0.304305604644426,1,-0.591578923941851,-0.275102829318796,0.846943512438818,-0.496067803658788,-0.504322791897415,0.756451853397428,-0.48690666726404,-0.259033046960792,0.489662461740371,-0.0358461374060485,-0.355863712452328,0.196808365350185,-0.437931010426219,0.122259498082612
"mayo.eset_ClusterK3_SAMD_2",-0.575254128436653,0.795036370576105,-0.330710240336576,-0.591578923941851,1,-0.599230416253113,-0.591123168100131,0.845057016637008,-0.136605760673268,-0.519151407350291,0.828963501614542,-0.330793616514882,-0.224532258624502,0.057997469853654,0.110253566375023,-0.390507431463445,0.512060216808707,-0.0339848753497685
"mayo.eset_ClusterK3_SAMD_3",-0.0519472725213582,-0.53339205399973,0.696753489792371,-0.275102829318796,-0.599230416253113,1,-0.142745804038977,-0.504350877621338,0.67455327853829,-0.110133407530263,-0.503298037288739,0.650981395964283,-0.195541803715734,-0.0706920275357092,0.253307466152612,0.302494989803269,-0.157143620290043,-0.111892141057443
"GSE32062.GPL6480_eset_ClusterK3_SAMD_1",0.755139832111536,-0.439026991303405,-0.284210085510599,0.846943512438818,-0.591123168100131,-0.142745804038977,1,-0.591038850910235,-0.594450077439176,0.78002279206641,-0.515607470833222,-0.264861119282263,0.456112935916381,0.0368105143055439,-0.429932652198274,0.184606074872836,-0.477132338019472,0.152916686306873
"GSE32062.GPL6480_eset_ClusterK3_SAMD_2",-0.506924406748334,0.781341912118516,-0.385755948474398,-0.496067803658788,0.845057016637008,-0.504350877621338,-0.591038850910235,1,-0.284104844025793,-0.463898874102398,0.812359316986857,-0.36962839095107,-0.178801143694601,-0.015066828808727,0.166378793288783,-0.340595927331275,0.544744781805857,-0.0912395408392292
"GSE32062.GPL6480_eset_ClusterK3_SAMD_3",-0.367667422185402,-0.26482757549311,0.717666043854795,-0.504322791897415,-0.136605760673268,0.67455327853829,-0.594450077439176,-0.284104844025793,1,-0.440187806925022,-0.200516291400169,0.677662982114694,-0.348198343914316,-0.0501043371587163,0.362183440190403,0.143694617493122,0.0289981631197765,-0.108576082045726
"GSE9891_eset_ClusterK3_SAMD_1",0.830436101071999,-0.456342221983576,-0.311376951061441,0.756451853397428,-0.519151407350291,-0.110133407530263,0.78002279206641,-0.463898874102398,-0.440187806925022,1,-0.538318003868521,-0.432649203407291,0.599368852599953,-0.254826801888438,-0.162217894694996,0.401270740325152,-0.290186226578871,-0.111781925322428
"GSE9891_eset_ClusterK3_SAMD_2",-0.582522689663802,0.893867028247712,-0.441483678782804,-0.48690666726404,0.828963501614542,-0.503298037288739,-0.515607470833222,0.812359316986857,-0.200516291400169,-0.538318003868521,1,-0.501635872529021,-0.219149122263188,0.0506803985444976,0.113807638893579,-0.35984474486569,0.583515321969824,-0.10453968270013
"GSE9891_eset_ClusterK3_SAMD_3",-0.205279205451807,-0.484503442476976,0.798901106360461,-0.259033046960792,-0.330793616514882,0.650981395964283,-0.264861119282263,-0.36962839095107,0.677662982114694,-0.432649203407291,-0.501635872529021,1,-0.358597742369722,0.169445488504147,0.0788767363768344,0.000696243342656487,-0.305132304890487,0.200105087978695
"GSE26712_eset_ClusterK3_SAMD_1",0.550885804904073,-0.204935054347963,-0.306110034783915,0.489662461740371,-0.224532258624502,-0.195541803715734,0.456112935916381,-0.178801143694601,-0.348198343914316,0.599368852599953,-0.219149122263188,-0.358597742369722,1,-0.610328509424313,0.0087801578349716,0.446022860786127,-0.00273075390309544,-0.314743152059103
"GSE26712_eset_ClusterK3_SAMD_2",-0.212493984045979,0.100656584136402,0.0533507654497141,-0.0358461374060485,0.057997469853654,-0.0706920275357092,0.0368105143055439,-0.015066828808727,-0.0501043371587163,-0.254826801888438,0.0506803985444976,0.169445488504147,-0.610328509424313,1,-0.783523716636372,-0.451758965830831,-0.298194364874232,0.49941657923899
"GSE26712_eset_ClusterK3_SAMD_3",-0.175802582329168,0.0411749297384962,0.182085285540707,-0.355863712452328,0.110253566375023,0.253307466152612,-0.429932652198274,0.166378793288783,0.362183440190403,-0.162217894694996,0.113807638893579,0.0788767363768344,0.0087801578349716,-0.783523716636372,1,0.254936305943174,0.404532062740832,-0.422247869106563
"aaces.eset_ClusterK3_SAMD_1",0.327022418003278,-0.354432140561424,0.116511502148411,0.196808365350185,-0.390507431463445,0.302494989803269,0.184606074872836,-0.340595927331275,0.143694617493122,0.401270740325152,-0.35984474486569,0.000696243342656487,0.446022860786127,-0.451758965830831,0.254936305943174,1,0.140033076036488,-0.785855107167284
"aaces.eset_ClusterK3_SAMD_2",-0.391681658772001,0.530624957513064,-0.19399148671665,-0.437931010426219,0.512060216808707,-0.157143620290043,-0.477132338019472,0.544744781805857,0.0289981631197765,-0.290186226578871,0.583515321969824,-0.305132304890487,-0.00273075390309544,-0.298194364874232,0.404532062740832,0.140033076036488,1,-0.707756711884253
"aaces.eset_ClusterK3_SAMD_3",0.00540690153900784,-0.0777962670875467,0.0493321083160374,0.122259498082612,-0.0339848753497685,-0.111892141057443,0.152916686306873,-0.0912395408392292,-0.108576082045726,-0.111781925322428,-0.10453968270013,0.200105087978695,-0.314743152059103,0.49941657923899,-0.422247869106563,-0.785855107167284,-0.707756711884253,1
